,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Williams,36:36,11,14,.786,4,5,.800,1,2,.500,0,3,3,8,2,2,2,6,27,+16
Shai Gilgeous-Alexander,34:41,8,15,.533,0,1,.000,15,17,.882,1,5,6,6,1,1,4,4,31,-1
Cason Wallace,32:29,6,7,.857,4,5,.800,0,0,,2,2,4,1,1,1,1,3,16,-1
Chet Holmgren,31:55,6,16,.375,2,6,.333,1,2,.500,0,5,5,5,0,4,3,3,15,+2
Josh Giddey,30:16,8,16,.500,1,5,.200,3,3,1.000,1,9,10,6,1,0,2,3,20,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,22:26,1,3,.333,0,1,.000,2,2,1.000,0,2,2,5,0,1,0,3,4,+5
Kenrich Williams,17:00,4,7,.571,1,3,.333,0,0,,1,3,4,2,1,0,1,2,9,-4
Isaiah Joe,11:45,2,4,.500,2,4,.500,0,0,,1,1,2,1,0,0,0,1,6,-9
Jaylin Williams,10:42,0,1,.000,0,1,.000,0,0,,1,1,2,0,2,1,1,2,0,+2
Vasilije Micić,8:57,2,2,1.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,1,6,+7
Lindy Waters III,3:11,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-2
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
Aleksej Pokusevski,Did Not Play
Olivier Sarr,Did Not Play
Team Totals,240,48,86,.558,14,32,.438,24,28,.857,7,31,38,36,8,10,15,29,134,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Williams,8:03,2,4,.500,0,1,.000,0,0,,0,0,0,2,1,1,0,0,4,+14
Shai Gilgeous-Alexander,12:00,3,6,.500,0,1,.000,4,5,.800,0,3,3,3,1,0,0,1,10,+12
Cason Wallace,8:49,3,3,1.000,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,+14
Chet Holmgren,7:13,4,7,.571,1,2,.500,0,0,,0,2,2,0,0,1,1,0,9,+3
Josh Giddey,7:30,2,3,.667,0,0,,1,1,1.000,1,2,3,3,1,0,0,0,5,+14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,3:56,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Kenrich Williams, 
Isaiah Joe,4:30,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,0,0,0,1,3,-2
Jaylin Williams,4:47,0,0,,0,0,,0,0,,1,1,2,0,2,0,1,0,0,+9
Vasilije Micić, 
Lindy Waters III,3:11,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-2
Dāvis Bertāns,Did Not Play
Tre Mann,Did Not Play
