,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,33:37,8,14,.571,4,6,.667,1,3,.333,0,5,5,5,1,0,4,1,21,+23
Tre Jones,32:13,4,9,.444,0,3,.000,3,3,1.000,3,5,8,12,3,0,1,0,11,+6
Jeremy Sochan,28:13,8,11,.727,1,2,.500,6,6,1.000,2,2,4,3,1,2,0,4,23,+27
Victor Wembanyama,27:45,10,21,.476,2,5,.400,2,4,.500,1,7,8,4,0,6,6,3,24,+4
Julian Champagnie,22:53,4,7,.571,3,6,.500,0,0,,2,5,7,0,0,2,2,2,11,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,28:14,7,15,.467,0,3,.000,5,7,.714,4,5,9,2,0,0,1,2,19,+5
Zach Collins,20:15,4,9,.444,0,1,.000,0,0,,1,2,3,3,0,0,1,2,8,0
Cedi Osman,17:21,1,3,.333,1,3,.333,0,0,,0,3,3,4,0,0,0,1,3,-18
Blake Wesley,15:08,3,4,.750,0,0,,0,0,,1,0,1,3,1,0,1,1,6,0
Doug McDermott,9:56,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,3,-17
Malaki Branham,4:25,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0
Dominick Barlow,Did Not Play
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,240,51,96,.531,12,31,.387,17,23,.739,14,35,49,38,6,10,17,19,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,8:14,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,1,8,-1
Tre Jones,7:35,1,2,.500,0,1,.000,0,0,,0,1,1,4,0,0,0,0,2,+1
Jeremy Sochan,6:15,2,4,.500,0,1,.000,0,0,,1,0,1,1,0,0,0,0,4,+4
Victor Wembanyama,6:15,2,6,.333,0,1,.000,0,0,,0,2,2,2,0,1,1,0,4,+4
Julian Champagnie,7:35,2,2,1.000,2,2,1.000,0,0,,0,3,3,0,0,0,0,1,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,5:45,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3
Zach Collins,5:45,2,4,.500,0,0,,0,0,,1,0,1,1,0,0,0,1,4,-3
Cedi Osman,4:25,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,1,3,0
Blake Wesley,3:46,0,0,,0,0,,0,0,,0,0,0,2,1,0,1,0,0,+2
Doug McDermott, 
Malaki Branham,4:25,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0
Dominick Barlow,Did Not Play
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,16,27,.593,5,8,.625,0,0,,3,8,11,13,1,1,5,6,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,6:50,3,4,.750,1,1,1.000,0,0,,0,1,1,0,0,0,1,0,7,+12
Tre Jones,6:05,0,1,.000,0,1,.000,0,0,,1,0,1,3,0,0,0,0,0,-7
Jeremy Sochan,7:50,3,4,.750,0,0,,4,4,1.000,1,1,2,0,1,0,0,0,10,+14
Victor Wembanyama,6:52,1,2,.500,0,1,.000,0,1,.000,0,0,0,1,0,2,1,0,2,-7
Julian Champagnie,5:11,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,2,0,0,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,6:49,1,3,.333,0,1,.000,2,3,.667,1,2,3,2,0,0,0,1,4,+4
Zach Collins,5:08,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+12
Cedi Osman,4:10,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-9
Blake Wesley,5:55,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,1,4,+12
Doug McDermott,5:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-7
Malaki Branham, 
Dominick Barlow,Did Not Play
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,13,22,.591,3,8,.375,6,8,.750,4,7,11,9,1,4,2,2,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,15:04,6,7,.857,3,3,1.000,0,0,,0,1,1,0,0,0,2,1,15,+11
Tre Jones,13:40,1,3,.333,0,2,.000,0,0,,1,1,2,7,0,0,0,0,2,-6
Jeremy Sochan,14:05,5,8,.625,0,1,.000,4,4,1.000,2,1,3,1,1,0,0,0,14,+18
Victor Wembanyama,13:07,3,8,.375,0,2,.000,0,1,.000,0,2,2,3,0,3,2,0,6,-3
Julian Champagnie,12:46,3,5,.600,3,5,.600,0,0,,0,4,4,0,0,2,0,1,9,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,12:34,3,7,.429,0,1,.000,2,3,.667,2,2,4,2,0,0,1,2,8,+1
Zach Collins,10:53,3,5,.600,0,0,,0,0,,1,1,2,2,0,0,0,1,6,+9
Cedi Osman,8:35,1,1,1.000,1,1,1.000,0,0,,0,2,2,3,0,0,0,1,3,-9
Blake Wesley,9:41,2,3,.667,0,0,,0,0,,1,0,1,3,1,0,1,1,4,+14
Doug McDermott,5:10,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-7
Malaki Branham,4:25,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,0
Dominick Barlow,Did Not Play
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,120,29,49,.592,8,16,.500,6,8,.750,7,15,22,22,2,5,7,8,72,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,9:36,1,5,.200,0,2,.000,0,0,,0,1,1,1,1,0,1,0,2,0
Tre Jones,9:36,1,1,1.000,0,0,,0,0,,2,3,5,2,2,0,1,0,2,0
Jeremy Sochan,5:11,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,4,2,-3
Victor Wembanyama,6:28,3,7,.429,1,1,1.000,2,3,.667,0,2,2,0,0,1,3,1,9,-4
Julian Champagnie,6:17,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keldon Johnson,6:49,3,5,.600,0,1,.000,3,4,.750,2,1,3,0,0,0,0,0,9,-3
Zach Collins,5:32,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-2
Cedi Osman,5:43,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-1
Blake Wesley,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Doug McDermott,2:24,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
Malaki Branham, 
Dominick Barlow,Did Not Play
Mamadi Diakite,Did Not Play
Devonte' Graham,Did Not Play
Sandro Mamukelashvili,Did Not Play
Team Totals,60,11,26,.423,1,7,.143,5,7,.714,5,10,15,7,3,1,5,8,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Devin Vassell,8:57,1,2,.500,1,1,1.000,1,3,.333,0,3,3,4,0,0,1,0,4,+12
Tre Jones,8:57,2,5,.400,0,1,.000,3,3,1.000,0,1,1,3,1,0,0,0,7,+12
Jeremy Sochan,8:57,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,0,0,2,0,0,7,+12
Victor Wembanyama,8:10,4,6,.667,1,2,.500,0,0,,1,3,4,1,0,2,1,2,9,+11
Julian Champagnie,3:50,0,0,,0,0,,0,0,,1,0,1,0,0,0,2,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
