,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,32:33,8,17,.471,3,4,.750,4,5,.800,1,6,7,9,0,1,1,3,23,-14
Jerami Grant,32:33,6,15,.400,0,3,.000,5,5,1.000,1,2,3,3,1,1,1,3,17,-14
Anfernee Simons,30:05,8,15,.533,3,7,.429,0,0,,0,2,2,3,0,0,4,4,19,-24
Jabari Walker,22:21,5,8,.625,1,2,.500,1,2,.500,3,4,7,0,0,0,0,0,12,-30
Deandre Ayton,22:19,3,7,.429,0,0,,0,0,,1,3,4,0,0,0,1,3,6,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,23:08,1,6,.167,0,3,.000,2,2,1.000,0,1,1,2,0,0,3,1,4,-8
Toumani Camara,22:40,2,5,.400,0,2,.000,1,2,.500,1,4,5,1,2,0,1,3,5,+5
Duop Reath,22:22,6,9,.667,2,4,.500,2,2,1.000,2,1,3,4,0,1,1,3,16,-8
Matisse Thybulle,12:18,0,1,.000,0,1,.000,0,0,,0,0,0,2,3,0,0,0,0,-8
Rayan Rupert,6:08,2,5,.400,0,2,.000,2,2,1.000,1,0,1,0,0,0,0,0,6,-1
Kris Murray,6:08,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-1
Taze Moore,4:06,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,1,2,-1
Ibou Badji,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+1
Team Totals,240,42,90,.467,9,29,.310,17,20,.850,10,25,35,24,7,5,12,21,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,9:36,3,5,.600,2,2,1.000,2,2,1.000,0,2,2,2,0,0,1,1,10,-3
Jerami Grant,9:36,2,3,.667,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,6,-3
Anfernee Simons,9:16,3,5,.600,0,2,.000,0,0,,0,0,0,2,0,0,0,1,6,-9
Jabari Walker,4:08,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-11
Deandre Ayton,3:14,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,5:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Toumani Camara,7:52,1,1,1.000,0,0,,0,0,,1,3,4,0,2,0,0,0,2,+6
Duop Reath,8:46,2,5,.400,1,3,.333,0,0,,0,0,0,3,0,0,1,1,5,+3
Matisse Thybulle,2:24,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Rayan Rupert, 
Kris Murray, 
Taze Moore, 
Ibou Badji, 
Team Totals,60,12,22,.545,3,9,.333,4,4,1.000,1,7,8,8,2,0,2,5,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,8:03,1,4,.250,0,1,.000,1,2,.500,0,2,2,3,0,0,0,0,3,-4
Jerami Grant,8:03,0,4,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,1,0,-4
Anfernee Simons,8:43,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,3,0,3,-1
Jabari Walker,7:14,3,5,.600,0,0,,0,0,,2,3,5,0,0,0,0,0,6,-11
Deandre Ayton,7:10,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,7:14,0,2,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,0,2,-11
Toumani Camara,4:46,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,+3
Duop Reath,4:50,2,2,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,5,-7
Matisse Thybulle,3:57,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
