,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,40:06,11,23,.478,6,10,.600,7,8,.875,0,10,10,6,0,1,4,1,35,-4
Jalen Johnson,37:47,4,18,.222,1,7,.143,2,4,.500,2,5,7,0,1,2,0,1,11,-24
Bogdan Bogdanović,33:36,5,12,.417,2,8,.250,6,6,1.000,0,2,2,4,0,0,2,4,18,-21
Saddiq Bey,30:18,4,11,.364,2,7,.286,3,4,.750,2,5,7,2,0,0,0,1,13,0
Clint Capela,22:00,4,10,.400,0,0,,3,4,.750,6,6,12,1,0,2,1,0,11,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,29:03,4,6,.667,0,1,.000,0,1,.000,3,6,9,3,0,2,2,6,8,-7
Garrison Mathews,23:03,3,5,.600,3,5,.600,0,0,,0,1,1,0,0,0,2,5,9,+2
Patty Mills,15:52,1,5,.200,0,2,.000,0,0,,0,0,0,2,1,0,1,0,2,-2
Trent Forrest,8:15,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,0,1,0,-11
Bruno Fernando,Did Not Play
AJ Griffin,Did Not Play
Seth Lundy,Did Not Play
Team Totals,240,36,93,.387,14,40,.350,21,27,.778,13,37,50,19,2,7,12,19,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dejounte Murray,9:25,3,6,.500,1,2,.500,0,0,,0,2,2,0,0,0,0,0,7,-3
Jalen Johnson,9:26,1,5,.200,0,2,.000,0,0,,0,2,2,0,1,1,0,0,2,-7
Bogdan Bogdanović,7:49,0,0,,0,0,,6,6,1.000,0,0,0,1,0,0,0,0,6,-7
Saddiq Bey,7:27,1,3,.333,1,3,.333,1,2,.500,0,2,2,0,0,0,0,0,4,-3
Clint Capela,6:47,1,6,.167,0,0,,1,2,.500,4,1,5,1,0,1,1,0,3,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,5:13,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,1,2,0
Garrison Mathews,6:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4
Patty Mills,4:11,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,+4
Trent Forrest,2:56,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,0
Bruno Fernando,Did Not Play
AJ Griffin,Did Not Play
Seth Lundy,Did Not Play
