,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,36:57,10,19,.526,2,2,1.000,8,8,1.000,2,7,9,7,0,0,4,3,30,-3
Jalen Brunson,35:47,11,22,.500,2,7,.286,6,7,.857,0,3,3,4,0,0,2,2,30,+7
OG Anunoby,33:27,3,8,.375,0,1,.000,4,4,1.000,1,4,5,1,4,2,3,2,10,+11
Jericho Sims,26:33,3,4,.750,0,0,,0,0,,2,2,4,2,0,4,0,1,6,-8
Donte DiVincenzo,25:18,4,10,.400,3,8,.375,0,0,,1,4,5,0,1,0,3,0,11,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,28:14,1,7,.143,0,3,.000,0,0,,1,4,5,1,2,1,1,1,2,+9
Precious Achiuwa,21:27,3,6,.500,0,1,.000,0,0,,4,5,9,2,0,0,0,1,6,+13
Quentin Grimes,20:04,2,5,.400,1,4,.250,0,0,,0,1,1,2,1,0,0,2,5,+5
Miles McBride,12:13,3,5,.600,2,3,.667,0,0,,0,1,1,2,0,1,0,1,8,-2
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,240,40,86,.465,10,29,.345,18,19,.947,11,31,42,21,8,8,13,13,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,12:00,2,7,.286,0,0,,5,5,1.000,0,3,3,1,0,0,1,1,9,-2
Jalen Brunson,10:30,4,6,.667,0,0,,0,0,,0,2,2,0,0,0,0,1,8,0
OG Anunoby,8:27,1,2,.500,0,0,,0,0,,0,1,1,0,1,0,0,1,2,0
Jericho Sims,12:00,2,3,.667,0,0,,0,0,,1,1,2,2,0,4,0,0,4,-2
Donte DiVincenzo,10:30,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,0,2,0,3,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,3:33,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-2
Precious Achiuwa, 
Quentin Grimes,1:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Miles McBride,1:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,60,10,21,.476,1,2,.500,5,5,1.000,1,10,11,4,2,4,3,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,6:35,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,1,0,4,0
Jalen Brunson,7:56,3,6,.500,1,4,.250,3,3,1.000,0,1,1,0,0,0,0,0,10,+5
OG Anunoby,8:39,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,2,0,0,+4
Jericho Sims,5:45,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0,+1
Donte DiVincenzo,4:26,0,3,.000,0,2,.000,0,0,,1,2,3,0,1,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,8:46,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,+2
Precious Achiuwa,6:15,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,0,0,2,+2
Quentin Grimes,7:34,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,0,1,5,+2
Miles McBride,4:04,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-2
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,60,9,23,.391,3,10,.300,3,3,1.000,5,8,13,4,1,0,4,3,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,18:35,4,10,.400,0,0,,5,5,1.000,1,3,4,2,0,0,2,1,13,-2
Jalen Brunson,18:26,7,12,.583,1,4,.250,3,3,1.000,0,3,3,0,0,0,0,1,18,+5
OG Anunoby,17:06,1,3,.333,0,0,,0,0,,0,3,3,0,1,0,2,1,2,+4
Jericho Sims,17:45,2,3,.667,0,0,,0,0,,2,1,3,2,0,4,0,1,4,-1
Donte DiVincenzo,14:56,1,5,.200,1,4,.250,0,0,,1,4,5,0,1,0,2,0,3,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:19,0,3,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,0,0,0
Precious Achiuwa,6:15,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,0,0,2,+2
Quentin Grimes,9:04,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,0,0,2,5,0
Miles McBride,5:34,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,-4
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,120,19,44,.432,4,12,.333,8,8,1.000,6,18,24,8,3,4,7,7,50,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,12:00,3,5,.600,1,1,1.000,1,1,1.000,0,0,0,2,0,0,1,1,8,-10
Jalen Brunson,10:25,3,4,.750,0,0,,0,0,,0,0,0,2,0,0,2,1,6,-9
OG Anunoby,8:05,0,0,,0,0,,2,2,1.000,0,0,0,0,2,1,1,0,2,-5
Jericho Sims,8:48,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-7
Donte DiVincenzo,8:48,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,1,0,8,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,3:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-5
Precious Achiuwa,3:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Quentin Grimes,3:12,0,1,.000,0,1,.000,0,0,,0,0,0,1,1,0,0,0,0,-3
Miles McBride,1:35,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,60,10,16,.625,3,6,.500,3,3,1.000,0,2,2,6,3,1,5,3,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,6:22,3,4,.750,1,1,1.000,2,2,1.000,1,4,5,3,0,0,1,1,9,+9
Jalen Brunson,6:56,1,6,.167,1,3,.333,3,4,.750,0,0,0,2,0,0,0,0,6,+11
OG Anunoby,8:16,2,5,.400,0,1,.000,2,2,1.000,1,1,2,1,1,1,0,1,6,+12
Jericho Sims, 
Donte DiVincenzo,1:34,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,1,3,.333,0,1,.000,0,0,,1,3,4,0,1,1,0,0,2,+14
Precious Achiuwa,12:00,2,3,.667,0,1,.000,0,0,,2,2,4,1,0,0,0,1,4,+14
Quentin Grimes,7:48,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+8
Miles McBride,5:04,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,1,0,0,5,+3
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,60,11,26,.423,3,11,.273,7,8,.875,5,11,16,7,2,3,1,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Julius Randle,18:22,6,9,.667,2,2,1.000,3,3,1.000,1,4,5,5,0,0,2,2,17,-1
Jalen Brunson,17:21,4,10,.400,1,3,.333,3,4,.750,0,0,0,4,0,0,2,1,12,+2
OG Anunoby,16:21,2,5,.400,0,1,.000,4,4,1.000,1,1,2,1,3,2,1,1,8,+7
Jericho Sims,8:48,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-7
Donte DiVincenzo,10:22,3,5,.600,2,4,.500,0,0,,0,0,0,0,0,0,1,0,8,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,15:55,1,4,.250,0,2,.000,0,0,,1,3,4,0,1,1,0,1,2,+9
Precious Achiuwa,15:12,2,3,.667,0,1,.000,0,0,,2,3,5,1,0,0,0,1,4,+11
Quentin Grimes,11:00,0,2,.000,0,2,.000,0,0,,0,0,0,1,1,0,0,0,0,+5
Miles McBride,6:39,2,3,.667,1,2,.500,0,0,,0,1,1,1,0,1,0,0,5,+2
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,120,21,42,.500,6,17,.353,10,11,.909,5,13,18,13,5,4,6,6,58,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Julius Randle,36:57,.666,.579,.105,.421,6.8,20.7,14.3,33.7,0.0,0.0,15.1,32.1,129,115,6.9
Jalen Brunson,35:47,.598,.545,.318,.318,0.0,9.1,4.9,21.3,0.0,0.0,7.4,33.8,123,120,0.9
OG Anunoby,33:27,.512,.375,.125,.500,3.8,13.0,8.7,4.0,6.2,5.4,23.5,17.1,91,100,-0.4
Jericho Sims,26:33,.750,.750,.000,.000,9.5,8.2,8.8,10.5,0.0,13.6,0.0,6.7,173,112,6.2
Donte DiVincenzo,25:18,.550,.550,.800,.000,5.0,17.2,11.6,0.0,2.0,0.0,23.1,23.0,87,112,-5.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,28:14,.143,.143,.429,.000,4.5,15.5,10.4,4.4,3.7,3.2,12.5,12.7,46,107,-9.0
Precious Achiuwa,21:27,.500,.500,.167,.000,23.6,25.4,24.6,13.4,0.0,0.0,0.0,12.5,140,113,0.2
Quentin Grimes,20:04,.500,.500,.800,.000,0.0,5.4,2.9,13.6,2.6,0.0,0.0,11.1,123,115,-2.0
Miles McBride,12:13,.800,.800,.600,.000,0.0,8.9,4.8,27.9,0.0,7.4,0.0,18.3,172,115,15.1
Ryan Arcidiacono,Did Not Play
Malachi Flynn,Did Not Play
Evan Fournier,Did Not Play
Team Totals,240,.572,.523,.337,.221,28.9,70.5,51.2,52.5,8.6,15.1,12.1,100.0,116.4,111.0,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,38:42,4,9,.444,0,0,,0,0,,6,11,17,1,2,1,3,1,8,-6
Dorian Finney-Smith,36:49,2,10,.200,1,7,.143,0,0,,2,0,2,7,1,1,2,3,5,+4
Mikal Bridges,36:41,14,26,.538,7,13,.538,1,2,.500,0,5,5,5,1,0,0,2,36,0
Cameron Johnson,25:24,7,14,.500,4,6,.667,1,1,1.000,2,3,5,2,0,0,0,1,19,+1
Spencer Dinwiddie,18:34,0,4,.000,0,4,.000,0,0,,0,0,0,4,0,0,1,1,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,29:01,4,9,.444,0,1,.000,0,0,,0,5,5,5,2,1,5,5,8,-11
Cam Thomas,22:08,6,11,.545,0,3,.000,2,2,1.000,0,1,1,2,0,1,1,3,14,-3
Royce O'Neale,20:29,3,4,.750,2,3,.667,0,0,,2,2,4,3,1,1,1,3,8,-8
Lonnie Walker IV,12:12,2,8,.250,1,5,.200,0,0,,1,0,1,0,0,0,0,0,5,-9
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,240,42,95,.442,15,42,.357,4,5,.800,13,27,40,29,7,5,13,19,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,8:27,0,1,.000,0,0,,0,0,,2,3,5,1,1,0,1,0,0,0
Dorian Finney-Smith,10:25,1,5,.200,0,3,.000,0,0,,1,0,1,2,0,1,0,0,2,+3
Mikal Bridges,12:00,3,9,.333,1,2,.500,0,0,,0,3,3,2,0,0,0,0,7,+2
Cameron Johnson,6:52,4,5,.800,2,2,1.000,1,1,1.000,0,1,1,0,0,0,0,1,11,+1
Spencer Dinwiddie,8:27,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,3:33,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,0,2,+2
Cam Thomas,5:08,1,3,.333,0,1,.000,1,1,1.000,0,1,1,1,0,0,0,1,3,+1
Royce O'Neale,5:08,1,1,1.000,1,1,1.000,0,0,,1,0,1,1,0,1,0,1,3,+1
Lonnie Walker IV, 
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,60,11,27,.407,4,11,.364,2,2,1.000,4,8,12,9,1,2,2,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,10:06,2,5,.400,0,0,,0,0,,2,4,6,0,0,0,2,0,4,-3
Dorian Finney-Smith,5:45,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,1,1,0,-1
Mikal Bridges,5:45,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,0,0,8,-1
Cameron Johnson,6:35,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,0,0,0
Spencer Dinwiddie,3:51,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,8:09,1,3,.333,0,1,.000,0,0,,0,0,0,0,1,1,0,2,2,-2
Cam Thomas,6:15,2,3,.667,0,1,.000,1,1,1.000,0,0,0,0,0,0,0,0,5,-2
Royce O'Neale,8:09,1,2,.500,0,1,.000,0,0,,0,1,1,1,1,0,1,1,2,-2
Lonnie Walker IV,5:25,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-3
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,60,9,24,.375,2,11,.182,1,1,1.000,5,6,11,5,2,1,4,4,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,18:33,2,6,.333,0,0,,0,0,,4,7,11,1,1,0,3,0,4,-3
Dorian Finney-Smith,16:10,1,6,.167,0,4,.000,0,0,,2,0,2,3,0,1,1,1,2,+2
Mikal Bridges,17:45,6,13,.462,3,5,.600,0,0,,0,3,3,2,0,0,0,0,15,+1
Cameron Johnson,13:27,4,6,.667,2,2,1.000,1,1,1.000,1,2,3,2,0,0,0,1,11,+1
Spencer Dinwiddie,12:18,0,4,.000,0,4,.000,0,0,,0,0,0,2,0,0,0,1,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,11:42,2,4,.500,0,1,.000,0,0,,0,0,0,1,1,1,1,2,4,0
Cam Thomas,11:23,3,6,.500,0,2,.000,2,2,1.000,0,1,1,1,0,0,0,1,8,-1
Royce O'Neale,13:17,2,3,.667,1,2,.500,0,0,,1,1,2,2,1,1,1,2,5,-1
Lonnie Walker IV,5:25,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-3
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,120,20,51,.392,6,22,.273,3,3,1.000,9,14,23,14,3,3,6,8,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,12:00,2,2,1.000,0,0,,0,0,,2,1,3,0,1,0,0,0,4,+10
Dorian Finney-Smith,12:00,0,1,.000,0,0,,0,0,,0,0,0,4,1,0,1,0,0,+10
Mikal Bridges,12:00,7,8,.875,4,5,.800,0,0,,0,1,1,3,1,0,0,2,18,+10
Cameron Johnson,6:44,3,5,.600,2,2,1.000,0,0,,0,1,1,0,0,0,0,0,8,+8
Spencer Dinwiddie,5:15,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,6:45,1,2,.500,0,0,,0,0,,0,2,2,2,0,0,1,2,2,+3
Cam Thomas,5:16,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,1,1,4,+2
Royce O'Neale, 
Lonnie Walker IV, 
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,60,15,21,.714,6,7,.857,0,0,,2,5,7,11,3,0,4,5,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,8:09,0,1,.000,0,0,,0,0,,0,3,3,0,0,1,0,1,0,-13
Dorian Finney-Smith,8:39,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,2,3,-8
Mikal Bridges,6:56,1,5,.200,0,3,.000,1,2,.500,0,1,1,0,0,0,0,0,3,-11
Cameron Johnson,5:13,0,3,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,-8
Spencer Dinwiddie,1:01,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,10:34,1,3,.333,0,0,,0,0,,0,3,3,2,1,0,3,1,2,-14
Cam Thomas,5:29,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,1,0,1,2,-4
Royce O'Neale,7:12,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,1,3,-7
Lonnie Walker IV,6:47,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,0,0,5,-6
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,60,7,23,.304,3,13,.231,1,2,.500,2,8,10,4,1,2,3,6,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Nic Claxton,20:09,2,3,.667,0,0,,0,0,,2,4,6,0,1,1,0,1,4,-3
Dorian Finney-Smith,20:39,1,4,.250,1,3,.333,0,0,,0,0,0,4,1,0,1,2,3,+2
Mikal Bridges,18:56,8,13,.615,4,8,.500,1,2,.500,0,2,2,3,1,0,0,2,21,-1
Cameron Johnson,11:57,3,8,.375,2,4,.500,0,0,,1,1,2,0,0,0,0,0,8,0
Spencer Dinwiddie,6:16,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dennis Smith Jr.,17:19,2,5,.400,0,0,,0,0,,0,5,5,4,1,0,4,3,4,-11
Cam Thomas,10:45,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,1,1,2,6,-2
Royce O'Neale,7:12,1,1,1.000,1,1,1.000,0,0,,1,1,2,1,0,0,0,1,3,-7
Lonnie Walker IV,6:47,2,5,.400,1,3,.333,0,0,,0,0,0,0,0,0,0,0,5,-6
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,120,22,44,.500,9,20,.450,1,2,.500,4,13,17,15,4,2,7,11,54,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Nic Claxton,38:42,.444,.444,.000,.000,16.9,35.9,25.7,3.3,2.7,2.2,25.0,13.5,91,108,-5.4
Dorian Finney-Smith,36:49,.250,.250,.700,.000,5.9,0.0,3.2,23.2,1.4,2.3,16.7,14.2,84,121,-5.6
Mikal Bridges,36:41,.670,.673,.500,.077,0.0,17.2,8.0,27.6,1.4,0.0,0.0,31.9,141,118,16.6
Cameron Johnson,25:24,.658,.643,.429,.071,8.6,14.9,11.5,13.1,0.0,0.0,0.0,24.8,142,122,9.3
Spencer Dinwiddie,18:34,.000,.000,1.000,.000,0.0,0.0,0.0,24.6,0.0,0.0,20.0,11.7,50,126,-16.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dennis Smith Jr.,29:01,.444,.444,.111,.000,0.0,21.8,10.1,23.4,3.6,2.9,35.7,21.0,73,110,-9.0
Cam Thomas,22:08,.589,.545,.273,.182,0.0,5.7,2.6,15.0,0.0,3.8,7.8,25.3,117,122,-1.5
Royce O'Neale,20:29,1.000,1.000,.750,.000,10.7,12.3,11.4,20.1,2.5,4.1,20.0,10.6,164,114,10.8
Lonnie Walker IV,12:12,.313,.313,.625,.000,8.9,0.0,4.8,0.0,0.0,0.0,0.0,28.6,77,126,-13.4
Harry Giles,Did Not Play
Day'Ron Sharpe,Did Not Dress
Trendon Watford,Did Not Play
Team Totals,240,.530,.521,.442,.053,29.5,71.1,48.8,69.0,7.5,8.8,11.8,100.0,111.0,116.4,
