,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,35:14,5,12,.417,2,4,.500,6,6,1.000,0,2,2,7,0,1,7,2,18,-8
Jabari Walker,33:47,6,14,.429,2,7,.286,0,0,,6,7,13,0,0,1,1,0,14,-7
Anfernee Simons,33:08,5,12,.417,4,9,.444,3,4,.750,0,3,3,5,0,1,4,3,17,-15
Jerami Grant,29:48,6,10,.600,4,5,.800,2,4,.500,0,5,5,1,1,1,1,0,18,-8
Deandre Ayton,27:04,2,7,.286,0,0,,1,2,.500,2,5,7,2,0,0,3,2,5,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,25:56,7,18,.389,2,6,.333,3,3,1.000,0,4,4,7,1,0,1,5,19,+17
Duop Reath,20:44,3,5,.600,2,3,.667,2,2,1.000,1,3,4,3,1,1,2,3,10,+7
Matisse Thybulle,19:54,3,6,.500,2,5,.400,0,0,,1,2,3,1,1,1,0,2,8,+8
Toumani Camara,14:25,0,2,.000,0,0,,0,0,,2,3,5,1,2,0,0,2,0,+5
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,240,37,86,.430,18,39,.462,17,21,.810,12,34,46,27,6,6,19,19,109,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,9:28,3,5,.600,2,3,.667,0,0,,0,0,0,2,0,0,2,1,8,-11
Jabari Walker,8:13,1,5,.200,1,4,.250,0,0,,1,2,3,0,0,0,1,0,3,-14
Anfernee Simons,7:55,1,2,.500,1,2,.500,0,0,,0,1,1,3,0,1,1,0,3,-10
Jerami Grant,7:55,2,4,.500,2,3,.667,0,0,,0,3,3,0,0,0,0,0,6,-10
Deandre Ayton,5:23,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,2,1,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,6:37,1,4,.250,0,2,.000,0,0,,0,0,0,3,0,0,0,2,2,+1
Duop Reath,6:37,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,0,1,1,1,1,5,+1
Matisse Thybulle,4:05,0,0,,0,0,,0,0,,1,1,2,0,0,1,0,0,0,0
Toumani Camara,3:47,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+4
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,9,22,.409,7,15,.467,3,4,.750,2,9,11,8,2,3,6,6,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,8:26,1,1,1.000,0,0,,2,2,1.000,0,0,0,2,0,0,2,1,4,+15
Jabari Walker,5:52,3,4,.750,1,2,.500,0,0,,2,0,2,0,0,0,0,0,7,+12
Anfernee Simons,6:08,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,1,2,3,+6
Jerami Grant,6:20,2,3,.667,1,1,1.000,1,2,.500,0,2,2,1,1,0,0,0,6,+6
Deandre Ayton,6:08,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,1,0,4,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,9:14,3,5,.600,2,2,1.000,2,2,1.000,0,3,3,1,1,0,0,1,10,+15
Duop Reath,5:40,1,3,.333,0,1,.000,0,0,,1,0,1,2,0,0,0,1,2,+12
Matisse Thybulle,5:52,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,2,+12
Toumani Camara,6:20,0,0,,0,0,,0,0,,0,2,2,1,1,0,0,2,0,+6
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,14,22,.636,5,8,.625,5,6,.833,4,8,12,10,4,0,4,7,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,17:54,4,6,.667,2,3,.667,2,2,1.000,0,0,0,4,0,0,4,2,12,+4
Jabari Walker,14:05,4,9,.444,2,6,.333,0,0,,3,2,5,0,0,0,1,0,10,-2
Anfernee Simons,14:03,2,3,.667,2,3,.667,0,0,,0,2,2,5,0,1,2,2,6,-4
Jerami Grant,14:15,4,7,.571,3,4,.750,1,2,.500,0,5,5,1,1,0,0,0,12,-4
Deandre Ayton,11:31,2,4,.500,0,0,,1,2,.500,1,0,1,1,0,0,2,2,5,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,15:51,4,9,.444,2,4,.500,2,2,1.000,0,3,3,4,1,0,0,3,12,+16
Duop Reath,12:17,2,4,.500,1,2,.500,2,2,1.000,1,2,3,2,1,1,1,2,7,+13
Matisse Thybulle,9:57,1,2,.500,0,1,.000,0,0,,1,1,2,0,1,1,0,0,2,+12
Toumani Camara,10:07,0,0,,0,0,,0,0,,0,2,2,1,2,0,0,2,0,+10
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,120,23,44,.523,12,23,.522,8,10,.800,6,17,23,18,6,3,10,13,66,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,7:56,0,2,.000,0,0,,4,4,1.000,0,1,1,3,0,0,1,0,4,-10
Jabari Walker,7:42,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,1,0,0,2,-5
Anfernee Simons,12:00,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,2,0,3,-10
Jerami Grant,9:12,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,1,1,0,6,-3
Deandre Ayton,9:12,0,3,.000,0,0,,0,0,,0,3,3,0,0,0,1,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,2:34,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2,-2
Duop Reath,2:48,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Matisse Thybulle,4:18,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,2,3,-5
Toumani Camara,4:18,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-5
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,6,21,.286,3,8,.375,5,6,.833,3,8,11,5,0,2,5,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,9:24,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,1,2,0,2,-2
Jabari Walker,12:00,1,2,.500,0,0,,0,0,,2,3,5,0,0,0,0,0,2,0
Anfernee Simons,7:05,2,4,.500,1,3,.333,3,4,.750,0,0,0,0,0,0,0,1,8,-1
Jerami Grant,6:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Deandre Ayton,6:21,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,7:31,2,7,.286,0,1,.000,1,1,1.000,0,1,1,2,0,0,1,1,5,+3
Duop Reath,5:39,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,1,3,+1
Matisse Thybulle,5:39,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,+1
Toumani Camara, 
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,8,21,.381,3,8,.375,4,5,.800,3,9,12,4,0,1,4,3,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malcolm Brogdon,17:20,1,6,.167,0,1,.000,4,4,1.000,0,2,2,3,0,1,3,0,6,-12
Jabari Walker,19:42,2,5,.400,0,1,.000,0,0,,3,5,8,0,0,1,0,0,4,-5
Anfernee Simons,19:05,3,9,.333,2,6,.333,3,4,.750,0,1,1,0,0,0,2,1,11,-11
Jerami Grant,15:33,2,3,.667,1,1,1.000,1,2,.500,0,0,0,0,0,1,1,0,6,-4
Deandre Ayton,15:33,0,3,.000,0,0,,0,0,,1,5,6,1,0,0,1,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,10:05,3,9,.333,0,2,.000,1,1,1.000,0,1,1,3,0,0,1,2,7,+1
Duop Reath,8:27,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,1,1,3,-6
Matisse Thybulle,9:57,2,4,.500,2,4,.500,0,0,,0,1,1,1,0,0,0,2,6,-4
Toumani Camara,4:18,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-5
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,120,14,42,.333,6,16,.375,9,11,.818,6,17,23,9,0,3,9,6,43,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malcolm Brogdon,35:14,.615,.500,.333,.500,0.0,6.2,3.1,31.6,0.0,2.1,32.3,25.8,98,115,-4.7
Jabari Walker,33:47,.500,.500,.500,.000,18.9,22.6,20.8,0.0,0.0,2.2,6.7,18.7,110,112,-2.1
Anfernee Simons,33:08,.618,.583,.750,.333,0.0,9.9,4.9,24.3,0.0,2.2,22.5,22.5,105,114,-1.3
Jerami Grant,29:48,.765,.800,.500,.400,0.0,18.3,9.0,5.9,1.6,2.4,7.8,18.0,132,109,8.5
Deandre Ayton,27:04,.317,.286,.000,.286,7.9,20.2,13.9,10.6,0.0,0.0,27.6,16.9,68,114,-11.5
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scoot Henderson,25:56,.492,.444,.333,.167,0.0,16.8,8.3,53.9,1.8,0.0,4.9,32.9,116,110,2.0
Duop Reath,20:44,.850,.800,.600,.400,5.1,15.8,10.4,23.1,2.3,3.5,25.4,16.0,135,106,8.4
Matisse Thybulle,19:54,.667,.667,.833,.000,5.4,11.0,8.1,8.1,2.4,3.7,0.0,12.7,142,108,6.9
Toumani Camara,14:25,.000,.000,.000,.000,14.8,22.7,18.7,9.0,6.6,0.0,0.0,5.8,85,99,0.0
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,240,.572,.535,.453,.244,26.7,77.3,51.7,73.0,6.0,9.1,16.6,100.0,108.8,110.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,35:05,10,24,.417,0,3,.000,13,17,.765,2,4,6,10,5,0,3,3,33,+17
Chet Holmgren,32:26,3,6,.500,0,2,.000,2,4,.500,1,9,10,3,0,6,1,1,8,+8
Jalen Williams,32:08,9,20,.450,1,3,.333,0,0,,0,4,4,2,2,2,0,1,19,+8
Josh Giddey,24:52,3,6,.500,0,0,,1,2,.500,2,3,5,3,0,0,0,2,7,-2
Luguentz Dort,23:40,2,6,.333,1,5,.200,1,2,.500,1,2,3,1,0,0,3,4,6,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,19:52,4,5,.800,1,2,.500,0,0,,0,1,1,2,0,0,0,2,9,+3
Aaron Wiggins,17:26,6,8,.750,1,1,1.000,0,0,,2,1,3,0,0,0,1,3,13,-2
Jaylin Williams,14:50,3,5,.600,1,2,.500,0,1,.000,0,2,2,1,1,1,0,1,7,0
Kenrich Williams,13:19,2,5,.400,1,2,.500,0,0,,1,3,4,0,1,0,1,0,5,-18
Cason Wallace,12:11,1,2,.500,1,2,.500,0,0,,0,4,4,0,0,0,2,0,3,-4
Vasilije Micić,6:41,0,1,.000,0,0,,1,2,.500,0,0,0,0,0,0,1,0,1,-8
Keyontae Johnson,4:44,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,1,0,-4
Dāvis Bertāns,2:46,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-3
Tre Mann,Did Not Play
Aleksej Pokusevski,Did Not Play
Team Totals,240,43,89,.483,7,23,.304,18,28,.643,10,33,43,23,9,10,12,18,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,4,10,.400,0,1,.000,2,5,.400,1,2,3,4,2,0,1,0,10,+10
Chet Holmgren,6:45,1,1,1.000,0,0,,2,4,.500,0,4,4,0,0,1,0,0,4,+10
Jalen Williams,6:27,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,5,+10
Josh Giddey,7:22,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,2,2,+8
Luguentz Dort,7:55,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,0,1,1,5,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Isaiah Joe,4:38,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+2
Aaron Wiggins,4:05,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,0,2,0
Jaylin Williams,5:07,2,2,1.000,1,1,1.000,0,1,.000,0,1,1,1,1,0,0,1,5,+3
Kenrich Williams,0:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Cason Wallace,5:33,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,0
Vasilije Micić, 
Keyontae Johnson, 
Dāvis Bertāns, 
Tre Mann,Did Not Play
Aleksej Pokusevski,Did Not Play
Team Totals,60,15,25,.600,4,7,.571,4,10,.400,4,11,15,7,4,1,3,4,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,4:44,1,3,.333,0,0,,4,4,1.000,0,0,0,0,0,0,0,0,6,-4
Chet Holmgren,5:40,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-12
Jalen Williams,5:40,2,4,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,0,4,-12
Josh Giddey,4:01,0,0,,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,-7
Luguentz Dort,3:34,0,0,,0,0,,1,2,.500,1,0,1,0,0,0,2,0,1,-3
