,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,42:44,5,12,.417,2,5,.400,9,11,.818,0,5,5,9,0,2,1,0,21,+15
Malcolm Brogdon,41:27,8,19,.421,3,7,.429,0,0,,1,1,2,6,0,0,2,2,19,+2
Anfernee Simons,40:44,13,20,.650,4,9,.444,3,3,1.000,2,4,6,5,0,0,3,3,33,+15
Deandre Ayton,40:44,8,13,.615,0,0,,2,2,1.000,6,11,17,3,1,2,1,3,18,+15
Jabari Walker,23:46,2,4,.500,1,2,.500,4,4,1.000,1,6,7,1,0,0,2,4,9,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,23:49,4,12,.333,1,5,.200,2,2,1.000,0,1,1,3,0,0,2,0,11,-5
Matisse Thybulle,22:22,5,7,.714,3,4,.750,0,0,,1,3,4,1,3,0,1,3,13,-9
Toumani Camara,17:07,1,4,.250,0,0,,2,2,1.000,1,3,4,1,2,0,0,3,4,-1
Duop Reath,12:16,4,7,.571,1,3,.333,0,0,,1,1,2,2,0,0,0,0,9,-9
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,265,50,98,.510,15,35,.429,22,24,.917,13,35,48,31,6,4,12,18,137,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,8:53,1,3,.333,0,0,,4,5,.800,0,0,0,2,0,0,0,0,6,0
Malcolm Brogdon,8:31,0,4,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-6
Anfernee Simons,8:38,3,4,.750,0,1,.000,0,0,,0,0,0,1,0,0,0,1,6,+1
Deandre Ayton,8:38,2,2,1.000,0,0,,0,0,,0,4,4,2,0,0,0,1,4,+1
Jabari Walker,5:09,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,2,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,6:51,2,4,.500,1,2,.500,2,2,1.000,0,1,1,0,0,0,0,0,7,+3
Matisse Thybulle,3:07,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-1
Toumani Camara,6:51,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+3
Duop Reath,3:22,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,-2
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,11,20,.550,2,6,.333,6,7,.857,0,8,8,9,1,0,2,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,9:17,0,2,.000,0,1,.000,1,2,.500,0,1,1,2,0,1,0,0,1,+3
Malcolm Brogdon,8:45,3,5,.600,0,1,.000,0,0,,0,0,0,1,0,0,1,0,6,-2
Anfernee Simons,9:17,2,2,1.000,1,1,1.000,2,2,1.000,0,1,1,1,0,0,0,0,7,+3
Deandre Ayton,9:17,3,5,.600,0,0,,0,0,,3,2,5,0,1,1,0,1,6,+3
Jabari Walker,6:10,1,1,1.000,1,1,1.000,2,2,1.000,1,0,1,0,0,0,0,2,5,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,5:58,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,1,0,0,-11
Matisse Thybulle,2:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-8
Toumani Camara,5:50,0,3,.000,0,0,,2,2,1.000,1,1,2,0,1,0,0,2,2,-4
Duop Reath,2:43,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,9,23,.391,2,7,.286,7,8,.875,5,7,12,4,2,2,2,5,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,18:10,1,5,.200,0,1,.000,5,7,.714,0,1,1,4,0,1,0,0,7,+3
Malcolm Brogdon,17:16,3,9,.333,0,3,.000,0,0,,0,0,0,2,0,0,1,0,6,-8
Anfernee Simons,17:55,5,6,.833,1,2,.500,2,2,1.000,0,1,1,2,0,0,0,1,13,+4
Deandre Ayton,17:55,5,7,.714,0,0,,0,0,,3,6,9,2,1,1,0,2,10,+4
Jabari Walker,11:19,2,2,1.000,1,1,1.000,2,2,1.000,1,1,2,0,0,0,2,3,7,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,12:49,2,7,.286,1,4,.250,2,2,1.000,0,1,1,0,0,0,1,0,7,-8
Matisse Thybulle,5:50,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-9
Toumani Camara,12:41,1,4,.250,0,0,,2,2,1.000,1,3,4,0,1,0,0,3,4,-1
Duop Reath,6:05,1,3,.333,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,-10
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,120,20,43,.465,4,13,.308,13,15,.867,5,15,20,13,3,2,4,9,57,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,12:00,2,4,.500,1,2,.500,4,4,1.000,0,2,2,2,0,1,0,0,9,+8
Malcolm Brogdon,7:11,1,2,.500,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,3,+6
Anfernee Simons,10:15,6,8,.750,3,5,.600,1,1,1.000,0,3,3,3,0,0,0,0,16,+7
Deandre Ayton,10:15,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,+7
Jabari Walker,2:32,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,6:34,1,3,.333,0,1,.000,0,0,,0,0,0,1,0,0,0,0,2,+3
Matisse Thybulle,9:28,3,3,1.000,3,3,1.000,0,0,,1,1,2,0,0,0,0,2,9,+3
Toumani Camara, 
Duop Reath,1:45,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,13,22,.591,8,13,.615,7,7,1.000,1,8,9,8,0,1,0,3,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,7:34,1,1,1.000,1,1,1.000,0,0,,0,1,1,3,0,0,1,0,3,-2
Malcolm Brogdon,12:00,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,2,5,-2
Anfernee Simons,7:34,1,4,.250,0,2,.000,0,0,,2,0,2,0,0,0,3,2,2,-2
Deandre Ayton,7:34,2,4,.500,0,0,,0,0,,2,2,4,0,0,0,1,0,4,-2
Jabari Walker,4:55,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,4:26,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,1,0,2,0
Matisse Thybulle,7:04,2,4,.500,0,1,.000,0,0,,0,1,1,0,2,0,1,1,4,-3
Toumani Camara,4:26,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0
Duop Reath,4:26,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,6,0
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,60,12,22,.545,2,6,.333,0,0,,5,7,12,7,3,0,7,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,19:34,3,5,.600,2,3,.667,4,4,1.000,0,3,3,5,0,1,1,0,12,+6
Malcolm Brogdon,19:11,3,6,.500,2,3,.667,0,0,,0,1,1,3,0,0,0,2,8,+4
Anfernee Simons,17:49,7,12,.583,3,7,.429,1,1,1.000,2,3,5,3,0,0,3,2,18,+5
Deandre Ayton,17:49,2,5,.400,0,0,,2,2,1.000,2,3,5,0,0,0,1,0,6,+5
Jabari Walker,7:27,0,0,,0,0,,0,0,,0,3,3,0,0,0,0,1,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson,11:00,2,5,.400,0,1,.000,0,0,,0,0,0,3,0,0,1,0,4,+3
Matisse Thybulle,16:32,5,7,.714,3,4,.750,0,0,,1,2,3,0,2,0,1,3,13,0
Toumani Camara,4:26,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,0
Duop Reath,6:11,3,4,.750,0,1,.000,0,0,,1,0,1,0,0,0,0,0,6,+1
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
Rayan Rupert,Did Not Play
Team Totals,120,25,44,.568,10,19,.526,7,7,1.000,6,15,21,15,3,1,7,8,67,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jerami Grant,5:00,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,+6
Malcolm Brogdon,5:00,2,4,.500,1,1,1.000,0,0,,1,0,1,1,0,0,1,0,5,+6
Anfernee Simons,5:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+6
Deandre Ayton,5:00,1,1,1.000,0,0,,0,0,,1,2,3,1,0,1,0,1,2,+6
Jabari Walker,5:00,0,2,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,0,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scoot Henderson, 
Matisse Thybulle, 
Toumani Camara, 
Duop Reath, 
Ibou Badji,Did Not Play
Taze Moore,Did Not Play
Kris Murray,Did Not Play
