,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,39:19,10,24,.417,2,11,.182,1,4,.250,0,7,7,8,1,0,6,5,23,-11
Max Strus,33:54,6,11,.545,2,6,.333,0,0,,0,4,4,2,2,0,1,5,14,-6
Jarrett Allen,31:34,10,19,.526,0,0,,1,2,.500,4,8,12,5,0,0,1,0,21,-17
Isaac Okoro,24:14,3,5,.600,0,1,.000,4,4,1.000,1,0,1,0,0,0,0,2,10,-16
Dean Wade,22:44,2,4,.500,2,4,.500,0,0,,0,5,5,0,0,1,1,1,6,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,27:54,4,10,.400,1,4,.250,0,0,,0,4,4,4,2,1,2,2,9,-10
Sam Merrill,26:46,4,9,.444,4,9,.444,0,0,,0,2,2,3,0,0,1,1,12,+1
Georges Niang,20:36,5,7,.714,2,3,.667,2,2,1.000,1,3,4,2,0,0,0,2,14,+6
Damian Jones,10:12,2,2,1.000,0,0,,1,1,1.000,0,0,0,2,0,0,0,0,5,+3
Craig Porter Jr.,1:23,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+5
Pete Nance,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
Tristan Thompson,Not With Team
Team Totals,240,46,91,.505,13,38,.342,11,15,.733,6,33,39,26,5,2,12,18,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,9:40,2,4,.500,1,2,.500,0,2,.000,0,3,3,2,0,0,0,0,5,-6
Max Strus,8:59,1,3,.333,1,2,.500,0,0,,0,0,0,1,0,0,1,1,3,-1
Jarrett Allen,7:38,2,7,.286,0,0,,0,0,,0,1,1,2,0,0,0,0,4,-5
Isaac Okoro,2:27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-4
Dean Wade,7:38,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,9:33,2,2,1.000,0,0,,0,0,,0,2,2,3,1,1,1,1,4,0
Sam Merrill,5:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Georges Niang,4:22,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+1
Damian Jones,4:19,2,2,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,5,+1
Craig Porter Jr., 
Pete Nance, 
Tristan Thompson,Not With Team
Team Totals,60,12,22,.545,3,6,.500,1,3,.333,0,7,7,8,1,1,2,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,7:30,1,5,.200,0,2,.000,0,0,,0,2,2,0,0,0,1,1,2,-3
Max Strus,6:25,2,2,1.000,0,0,,0,0,,0,1,1,1,2,0,0,1,4,-1
Jarrett Allen,7:30,2,3,.667,0,0,,0,0,,1,2,3,1,0,0,1,0,4,-3
Isaac Okoro,7:41,1,2,.500,0,0,,2,2,1.000,1,0,1,0,0,0,0,0,4,+2
Dean Wade,7:09,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,1,1,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,6:39,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-8
Sam Merrill,7:45,3,6,.500,3,6,.500,0,0,,0,0,0,0,0,0,1,0,9,-8
Georges Niang,4:51,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-3
Damian Jones,4:30,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Craig Porter Jr., 
Pete Nance, 
Tristan Thompson,Not With Team
Team Totals,60,9,21,.429,3,10,.300,2,2,1.000,2,9,11,5,2,1,5,2,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,17:10,3,9,.333,1,4,.250,0,2,.000,0,5,5,2,0,0,1,1,7,-9
Max Strus,15:24,3,5,.600,1,2,.500,0,0,,0,1,1,2,2,0,1,2,7,-2
Jarrett Allen,15:08,4,10,.400,0,0,,0,0,,1,3,4,3,0,0,1,0,8,-8
Isaac Okoro,10:08,2,3,.667,0,0,,2,2,1.000,1,0,1,0,0,0,0,2,6,-2
Dean Wade,14:47,1,2,.500,1,2,.500,0,0,,0,4,4,0,0,1,1,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,16:12,2,4,.500,0,1,.000,0,0,,0,2,2,4,1,1,2,1,4,-8
Sam Merrill,13:08,3,6,.500,3,6,.500,0,0,,0,0,0,0,0,0,1,0,9,-9
Georges Niang,9:13,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,-2
Damian Jones,8:49,2,2,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,0,0,5,-2
Craig Porter Jr., 
Pete Nance, 
Tristan Thompson,Not With Team
Team Totals,120,21,43,.488,6,16,.375,3,5,.600,2,16,18,13,3,2,7,6,51,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,11:32,2,6,.333,0,3,.000,0,0,,0,0,0,3,1,0,2,1,4,-1
Max Strus,8:58,2,4,.500,1,3,.333,0,0,,0,2,2,0,0,0,0,1,5,-6
Jarrett Allen,9:36,2,4,.500,0,0,,0,0,,1,3,4,2,0,0,0,0,4,-5
Isaac Okoro,7:02,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-10
Dean Wade,6:34,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,5:26,2,4,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,5,+3
Sam Merrill,5:26,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,0,0,1,3,+3
Georges Niang,5:26,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+3
Damian Jones, 
Craig Porter Jr., 
Pete Nance, 
Tristan Thompson,Not With Team
Team Totals,60,11,24,.458,4,13,.308,2,2,1.000,1,9,10,8,1,0,2,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,10:37,5,9,.556,1,4,.250,1,2,.500,0,2,2,3,0,0,3,3,12,-1
Max Strus,9:32,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,+2
Jarrett Allen,6:50,4,5,.800,0,0,,1,2,.500,2,2,4,0,0,0,0,0,9,-4
Isaac Okoro,7:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Dean Wade,1:23,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,6:16,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,-5
Sam Merrill,8:12,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+7
Georges Niang,5:57,3,4,.750,1,1,1.000,2,2,1.000,1,1,2,0,0,0,0,2,9,+5
Damian Jones,1:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+5
Craig Porter Jr.,1:23,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+5
Pete Nance,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
Tristan Thompson,Not With Team
Team Totals,60,14,24,.583,3,9,.333,6,8,.750,3,8,11,5,1,0,3,8,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,22:09,7,15,.467,1,7,.143,1,2,.500,0,2,2,6,1,0,5,4,16,-2
Max Strus,18:30,3,6,.500,1,4,.250,0,0,,0,3,3,0,0,0,0,3,7,-4
Jarrett Allen,16:26,6,9,.667,0,0,,1,2,.500,3,5,8,2,0,0,0,0,13,-9
Isaac Okoro,14:06,1,2,.500,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,-14
Dean Wade,7:57,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,1,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,11:42,2,6,.333,1,3,.333,0,0,,0,2,2,0,1,0,0,1,5,-2
Sam Merrill,13:38,1,3,.333,1,3,.333,0,0,,0,2,2,3,0,0,0,1,3,+10
Georges Niang,11:23,4,5,.800,2,2,1.000,2,2,1.000,1,2,3,1,0,0,0,2,12,+8
Damian Jones,1:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+5
Craig Porter Jr.,1:23,0,0,,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,2,+5
Pete Nance,1:23,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5
Tristan Thompson,Not With Team
Team Totals,120,25,48,.521,7,22,.318,8,10,.800,4,17,21,13,2,0,5,12,65,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donovan Mitchell,39:19,.446,.458,.458,.167,0.0,19.9,10.1,28.9,1.2,0.0,18.9,35.4,83,124,-9.4
Max Strus,33:54,.636,.636,.545,.000,0.0,13.2,6.7,7.6,2.8,0.0,8.3,15.5,116,122,-0.7
Jarrett Allen,31:34,.528,.526,.000,.105,14.5,28.3,21.5,24.7,0.0,0.0,4.8,29.0,118,125,3.6
Isaac Okoro,24:14,.740,.600,.200,.800,4.7,0.0,2.3,0.0,0.0,0.0,0.0,12.2,157,131,-2.7
Dean Wade,22:44,.750,.750,1.000,.000,0.0,24.6,12.4,0.0,0.0,3.5,20.0,9.6,105,123,-0.8
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Caris LeVert,27:54,.450,.450,.400,.000,0.0,16.0,8.1,17.6,3.4,2.8,16.7,18.8,88,118,-1.7
Sam Merrill,26:46,.667,.667,1.000,.000,0.0,8.3,4.2,13.9,0.0,0.0,10.0,16.4,122,130,1.0
Georges Niang,20:36,.888,.857,.429,.286,5.5,16.3,11.0,13.6,0.0,0.0,0.0,16.8,180,128,10.5
Damian Jones,10:12,1.025,1.000,.000,.500,0.0,0.0,0.0,25.7,0.0,0.0,0.0,10.5,215,132,11.3
Pete Nance,1:23,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-6.2
Craig Porter Jr.,1:23,1.136,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9,250,132,25.2
Tristan Thompson,Not With Team
