,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,42:54,8,18,.444,3,10,.300,6,7,.857,2,5,7,3,0,0,4,1,25,-1
DeMar DeRozan,40:43,10,14,.714,1,1,1.000,11,12,.917,0,2,2,10,2,0,3,2,32,-7
Nikola Vučević,39:11,9,12,.750,2,3,.667,0,0,,3,5,8,1,0,1,2,2,20,-7
Alex Caruso,35:22,6,12,.500,3,9,.333,2,2,1.000,1,3,4,6,2,2,2,4,17,-6
Patrick Williams,24:20,2,9,.222,0,5,.000,2,2,1.000,0,6,6,2,0,2,2,5,6,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,29:31,6,11,.545,2,5,.400,4,4,1.000,1,1,2,1,2,1,2,2,18,-11
Andre Drummond,16:51,5,7,.714,0,0,,1,2,.500,5,4,9,1,1,0,1,0,11,0
Jevon Carter,7:49,0,3,.000,0,3,.000,0,0,,0,1,1,2,0,0,0,1,0,+3
Dalen Terry,3:19,1,2,.500,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,-5
Torrey Craig,Did Not Dress
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,240,47,88,.534,12,37,.324,26,29,.897,12,27,39,27,7,6,16,18,132,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,10:48,1,3,.333,1,1,1.000,0,0,,1,3,4,1,0,0,1,0,3,+2
DeMar DeRozan,9:34,4,5,.800,1,1,1.000,2,2,1.000,0,0,0,1,0,0,0,1,11,+1
Nikola Vučević,8:45,2,3,.667,0,1,.000,0,0,,1,3,4,0,0,0,1,1,4,-1
Alex Caruso,9:20,3,3,1.000,2,2,1.000,0,0,,0,0,0,3,1,0,0,0,8,+3
Patrick Williams,7:39,0,4,.000,0,3,.000,0,0,,0,3,3,0,0,1,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ayo Dosunmu,5:06,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,4,-2
Andre Drummond,3:15,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+2
Jevon Carter,5:33,0,3,.000,0,3,.000,0,0,,0,1,1,2,0,0,0,0,0,+2
Dalen Terry, 
Torrey Craig,Did Not Dress
Julian Phillips,Did Not Play
Terry Taylor,Did Not Play
Team Totals,60,13,25,.520,4,11,.364,2,2,1.000,3,11,14,7,1,1,3,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Coby White,10:00,3,7,.429,1,4,.250,0,0,,1,1,2,0,0,0,1,0,7,-10
DeMar DeRozan,10:10,1,4,.250,0,0,,0,0,,0,0,0,2,1,0,1,1,2,-13
Nikola Vučević,8:26,0,1,.000,0,0,,0,0,,2,1,3,1,0,0,0,0,0,-12
Alex Caruso,7:55,0,2,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,2,0,-15
