,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,38:53,4,12,.333,1,9,.111,4,6,.667,0,4,4,8,1,0,4,5,13,+8
Dillon Brooks,38:35,7,18,.389,1,7,.143,4,4,1.000,1,4,5,2,1,0,2,6,19,-3
Jalen Green,33:18,5,14,.357,4,9,.444,5,5,1.000,1,9,10,1,1,0,1,3,19,+6
Alperen Şengün,27:30,6,13,.462,0,1,.000,3,4,.750,5,6,11,2,0,0,3,2,15,-7
Jeff Green,16:03,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,28:57,6,16,.375,3,7,.429,4,4,1.000,3,6,9,1,0,1,0,1,19,+3
Aaron Holiday,18:03,3,6,.500,0,0,,0,0,,1,2,3,1,0,0,2,2,6,+1
Jae'Sean Tate,17:21,3,5,.600,0,1,.000,0,0,,1,4,5,2,0,0,1,5,6,+3
Amen Thompson,15:24,2,3,.667,1,2,.500,0,0,,1,3,4,2,3,2,2,3,5,-1
Jock Landale,5:56,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,1,2,0,-5
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,240,37,94,.394,10,37,.270,20,23,.870,15,40,55,20,6,3,17,29,104,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,8:30,1,2,.500,0,1,.000,1,2,.500,0,1,1,2,0,0,0,0,3,-10
Dillon Brooks,9:38,2,5,.400,0,1,.000,0,0,,0,0,0,0,0,0,0,1,4,-19
Jalen Green,3:57,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,-5
Alperen Şengün,9:38,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,1,0,2,-19
Jeff Green,9:16,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,7:55,1,3,.333,0,1,.000,2,2,1.000,2,2,4,0,0,0,0,1,4,-15
Aaron Holiday,2:22,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-1
Jae'Sean Tate,2:52,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Amen Thompson,3:38,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-10
Jock Landale,2:14,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-1
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,6,21,.286,0,5,.000,3,4,.750,3,8,11,4,0,0,3,4,15,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,9:34,2,3,.667,1,2,.500,1,1,1.000,0,0,0,1,0,0,2,2,6,-3
Dillon Brooks,8:18,1,3,.333,0,1,.000,2,2,1.000,0,2,2,1,1,0,1,1,4,+4
Jalen Green,12:00,2,6,.333,2,5,.400,2,2,1.000,0,4,4,0,0,0,0,0,8,0
Alperen Şengün,8:18,1,4,.250,0,1,.000,0,0,,2,0,2,1,0,0,2,1,2,+4
Jeff Green,3:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,3:32,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,0
Aaron Holiday,6:22,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,+2
Jae'Sean Tate, 
Amen Thompson,4:32,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,1,1,0,0,+1
Jock Landale,3:42,0,0,,0,0,,0,0,,1,0,1,1,0,0,1,2,0,-4
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,8,20,.400,4,11,.364,5,5,1.000,3,6,9,5,1,1,7,7,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,18:04,3,5,.600,1,3,.333,2,3,.667,0,1,1,3,0,0,2,2,9,-13
Dillon Brooks,17:56,3,8,.375,0,2,.000,2,2,1.000,0,2,2,1,1,0,1,2,8,-15
Jalen Green,15:57,2,8,.250,2,6,.333,2,2,1.000,0,5,5,0,0,0,0,2,8,-5
Alperen Şengün,17:56,2,6,.333,0,1,.000,0,0,,2,2,4,2,0,0,3,1,4,-15
Jeff Green,12:58,1,4,.250,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,11:27,2,4,.500,1,2,.500,2,2,1.000,2,2,4,0,0,0,0,1,7,-15
Aaron Holiday,8:44,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,1,2,+1
Jae'Sean Tate,2:52,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-7
Amen Thompson,8:10,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,1,1,0,0,-9
Jock Landale,5:56,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,1,2,0,-5
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,120,14,41,.341,4,16,.250,8,9,.889,6,14,20,9,1,1,10,11,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,8:53,0,4,.000,0,4,.000,1,1,1.000,0,1,1,3,1,0,1,1,1,+2
Dillon Brooks,8:58,1,4,.250,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,4,0
Jalen Green,11:16,3,4,.750,2,2,1.000,3,3,1.000,1,2,3,0,0,0,0,0,11,+2
Alperen Şengün,9:17,4,6,.667,0,0,,0,0,,1,4,5,0,0,0,0,1,8,+2
Jeff Green,3:02,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,5:30,0,5,.000,0,2,.000,0,0,,1,2,3,0,0,0,0,0,0,+2
Aaron Holiday,9:17,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,1,1,4,+2
Jae'Sean Tate,2:43,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,2,0
Amen Thompson,1:04,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-2
Jock Landale, 
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,11,29,.379,2,10,.200,6,6,1.000,6,13,19,5,1,0,4,6,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,11:56,1,3,.333,0,2,.000,1,2,.500,0,2,2,2,0,0,1,2,3,+19
Dillon Brooks,11:41,3,6,.500,1,3,.333,0,0,,1,2,3,0,0,0,0,3,7,+12
Jalen Green,6:05,0,2,.000,0,1,.000,0,0,,0,2,2,1,1,0,1,1,0,+9
Alperen Şengün,0:17,0,1,.000,0,0,,3,4,.750,2,0,2,0,0,0,0,0,3,+6
Jeff Green,0:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,12:00,4,7,.571,2,3,.667,2,2,1.000,0,2,2,1,0,1,0,0,12,+16
Aaron Holiday,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Jae'Sean Tate,11:46,2,3,.667,0,1,.000,0,0,,0,3,3,2,0,0,1,4,4,+10
Amen Thompson,6:10,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,3,1,0,2,5,+10
Jock Landale, 
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,12,24,.500,4,11,.364,6,8,.750,3,13,16,6,4,2,3,12,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Fred VanVleet,20:49,1,7,.143,0,6,.000,2,3,.667,0,3,3,5,1,0,2,3,4,+21
Dillon Brooks,20:39,4,10,.400,1,5,.200,2,2,1.000,1,2,3,1,0,0,1,4,11,+12
Jalen Green,17:21,3,6,.500,2,3,.667,3,3,1.000,1,4,5,1,1,0,1,1,11,+11
Alperen Şengün,9:34,4,7,.571,0,0,,3,4,.750,3,4,7,0,0,0,0,1,11,+8
Jeff Green,3:05,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,17:30,4,12,.333,2,5,.400,2,2,1.000,1,4,5,1,0,1,0,0,12,+18
Aaron Holiday,9:19,2,4,.500,0,0,,0,0,,1,1,2,1,0,0,1,1,4,0
Jae'Sean Tate,14:29,3,4,.750,0,1,.000,0,0,,1,3,4,2,0,0,1,5,6,+10
Amen Thompson,7:14,2,2,1.000,1,1,1.000,0,0,,1,3,4,0,3,1,1,3,5,+8
Jock Landale, 
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,120,23,53,.434,6,21,.286,12,14,.857,9,26,35,11,5,2,7,18,64,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,38:53,.444,.375,.750,.500,0.0,11.8,5.2,30.8,1.2,0.0,21.5,19.0,90,102,-4.3
Dillon Brooks,38:35,.481,.417,.389,.222,2.3,11.8,6.5,8.8,1.2,0.0,9.2,22.4,99,102,-3.0
Jalen Green,33:18,.586,.500,.643,.357,2.7,30.9,15.2,4.8,1.4,0.0,5.8,20.5,123,102,5.2
Alperen Şengün,27:30,.508,.462,.077,.308,16.5,24.9,20.2,13.2,0.0,0.0,16.9,25.6,101,105,-0.3
Jeff Green,16:03,.200,.200,.200,.000,0.0,14.2,6.3,0.0,0.0,0.0,16.7,14.8,37,106,-12.6
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Cam Whitmore,28:57,.535,.469,.438,.250,9.4,23.7,15.7,6.1,0.0,4.1,0.0,24.3,125,102,7.6
Aaron Holiday,18:03,.500,.500,.000,.000,5.0,12.7,8.4,9.2,0.0,0.0,25.0,17.6,83,105,-7.0
Jae'Sean Tate,17:21,.600,.600,.200,.000,5.2,26.3,14.6,19.3,0.0,0.0,16.7,13.7,114,103,-1.3
Amen Thompson,15:24,.833,.833,.667,.000,5.9,22.3,13.1,20.3,9.0,15.6,40.0,12.9,107,73,16.5
Jock Landale,5:56,.000,.000,.000,.000,30.5,0.0,17.0,21.9,0.0,0.0,33.3,20.0,50,104,-17.8
Reggie Bullock,Did Not Play
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,240,.499,.447,.394,.245,28.3,95.2,57.9,54.1,5.7,7.5,14.0,100.0,99.6,101.5,
