,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,39:34,5,13,.385,1,6,.167,4,6,.667,1,3,4,2,0,3,0,4,15,+4
Harrison Barnes,38:03,6,11,.545,4,7,.571,4,5,.800,1,5,6,3,1,1,0,1,20,-10
De'Aaron Fox,37:22,13,24,.542,1,5,.200,7,8,.875,1,2,3,5,2,2,2,3,34,+18
Domantas Sabonis,36:18,7,10,.700,1,1,1.000,2,2,1.000,3,8,11,4,0,0,6,6,17,-2
Kevin Huerter,30:07,7,11,.636,4,8,.500,0,0,,0,4,4,5,0,2,0,2,18,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,19:32,2,5,.400,0,2,.000,5,7,.714,0,3,3,6,0,0,3,0,9,+6
Trey Lyles,17:22,0,2,.000,0,1,.000,1,2,.500,0,4,4,1,0,1,1,2,1,+8
Davion Mitchell,10:38,0,0,,0,0,,0,0,,0,2,2,1,0,0,1,2,0,-13
JaVale McGee,10:24,3,4,.750,0,0,,0,0,,0,2,2,0,1,0,0,0,6,+12
Kessler Edwards,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-2
Chris Duarte,Did Not Play
Keon Ellis,Did Not Play
Colby Jones,Did Not Play
Alex Len,Did Not Play
Team Totals,240,43,80,.538,11,30,.367,23,30,.767,6,33,39,27,4,10,13,20,120,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keegan Murray,10:39,2,4,.500,0,1,.000,0,0,,0,3,3,0,0,1,0,0,4,-1
Harrison Barnes,8:57,1,3,.333,1,2,.500,0,0,,1,2,3,1,0,0,0,0,3,-3
De'Aaron Fox,9:42,5,8,.625,1,3,.333,0,0,,0,0,0,1,0,2,0,0,11,+10
Domantas Sabonis,8:50,2,2,1.000,0,0,,0,0,,0,3,3,1,0,0,1,1,4,-3
Kevin Huerter,8:47,1,4,.250,1,4,.250,0,0,,0,1,1,2,0,1,0,0,3,+4
