,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,29:03,8,14,.571,0,0,,7,7,1.000,1,1,2,2,1,0,5,0,23,-20
Brandon Ingram,27:52,9,18,.500,2,2,1.000,6,8,.750,0,6,6,1,0,0,1,0,26,-22
Jonas Valančiūnas,23:42,6,8,.750,1,3,.333,0,0,,1,9,10,6,0,0,0,3,13,-8
CJ McCollum,22:33,2,7,.286,1,4,.250,2,2,1.000,0,1,1,4,0,1,2,2,7,-30
Herbert Jones,19:36,4,9,.444,1,4,.250,0,0,,0,0,0,0,0,1,0,3,9,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,29:19,2,10,.200,2,6,.333,2,2,1.000,1,6,7,1,0,0,3,0,8,-11
Jose Alvarado,20:46,1,2,.500,0,0,,2,2,1.000,0,1,1,2,2,0,0,4,4,0
Dyson Daniels,17:59,0,1,.000,0,0,,0,0,,0,2,2,3,1,1,2,1,0,-2
Larry Nance Jr.,17:30,3,6,.500,2,3,.667,2,2,1.000,2,3,5,0,0,0,0,2,10,-21
Naji Marshall,15:14,3,6,.500,0,0,,2,6,.333,1,0,1,1,1,0,1,2,8,-7
Jeremiah Robinson-Earl,6:48,2,3,.667,0,1,.000,4,5,.800,3,0,3,0,0,0,0,0,8,+5
Cody Zeller,6:48,0,1,.000,0,0,,1,2,.500,0,3,3,0,0,0,0,0,1,+5
E.J. Liddell,2:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+5
Malcolm Hill,Did Not Play
Trey Murphy III,Did Not Play
Team Totals,240,40,85,.471,9,23,.391,28,36,.778,9,34,43,20,5,3,14,17,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Zion Williamson,8:17,3,3,1.000,0,0,,1,1,1.000,1,0,1,1,0,0,0,0,7,+2
Brandon Ingram,9:57,5,8,.625,1,1,1.000,0,0,,0,3,3,0,0,0,0,0,11,-3
Jonas Valančiūnas,6:05,2,3,.667,1,2,.500,0,0,,0,3,3,0,0,0,0,0,5,0
CJ McCollum,7:35,1,2,.500,0,1,.000,0,0,,0,1,1,3,0,0,1,0,2,-5
Herbert Jones,6:05,1,4,.250,0,2,.000,0,0,,0,0,0,0,0,1,0,2,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Hawkins,5:38,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
