,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,38:24,12,18,.667,6,8,.750,2,4,.500,1,5,6,12,1,0,4,0,32,+7
Rudy Gobert,36:50,8,9,.889,0,0,,3,4,.750,2,5,7,1,1,1,1,4,19,-4
Jaden McDaniels,33:21,2,5,.400,1,3,.333,2,2,1.000,0,3,3,2,4,0,0,2,7,+11
Nickeil Alexander-Walker,32:39,4,7,.571,3,4,.750,0,0,,1,3,4,7,1,0,1,1,11,+2
Karl-Anthony Towns,32:14,9,16,.563,1,4,.250,0,1,.000,0,5,5,4,1,2,3,3,19,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,21:51,5,12,.417,2,5,.400,1,2,.500,0,2,2,0,0,3,1,2,13,+5
Kyle Anderson,19:20,2,6,.333,0,0,,0,2,.000,2,1,3,1,1,0,1,0,4,-5
Shake Milton,16:14,3,5,.600,1,1,1.000,0,0,,0,1,1,2,0,0,1,1,7,+4
Jordan McLaughlin,9:07,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,1,0,0,-11
Troy Brown Jr.,Did Not Play
Luka Garza,Did Not Play
Daishen Nix,Did Not Play
Team Totals,240,45,79,.570,14,26,.538,8,15,.533,7,25,32,30,9,6,13,13,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Edwards,12:00,4,6,.667,2,2,1.000,2,4,.500,1,2,3,4,0,0,0,0,12,+13
Rudy Gobert,6:55,2,2,1.000,0,0,,3,4,.750,1,1,2,0,0,1,0,0,7,+2
Jaden McDaniels,9:21,1,2,.500,0,1,.000,0,0,,0,2,2,0,2,0,0,0,2,+9
Nickeil Alexander-Walker,7:13,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,1,0,2,+2
Karl-Anthony Towns,3:21,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,2,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,8:39,2,5,.400,1,1,1.000,1,2,.500,0,1,1,0,0,3,0,0,6,+17
Kyle Anderson,5:05,1,1,1.000,0,0,,0,0,,1,1,2,0,1,0,1,0,2,+11
Shake Milton,4:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,+11
Jordan McLaughlin,2:39,0,1,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,0,0,+4
Troy Brown Jr.,Did Not Play
