,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,37:36,8,14,.571,0,0,,8,8,1.000,1,3,4,8,0,2,5,2,24,-11
Bruce Brown,36:46,4,12,.333,1,2,.500,2,2,1.000,4,5,9,2,2,1,0,4,11,-22
Dennis Schröder,29:09,5,12,.417,1,4,.250,3,4,.750,0,3,3,6,4,0,4,6,14,+7
Gary Trent Jr.,26:13,6,12,.500,4,8,.500,0,0,,0,1,1,0,2,0,1,5,16,-19
Thaddeus Young,22:01,2,3,.667,0,0,,0,0,,1,3,4,1,0,0,0,2,4,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,30:50,7,16,.438,3,7,.429,7,8,.875,3,6,9,6,1,0,1,4,24,+11
Gradey Dick,25:03,5,12,.417,3,5,.600,2,3,.667,3,2,5,3,1,0,2,3,15,+19
Jontay Porter,19:18,3,6,.500,3,4,.750,3,4,.750,2,5,7,3,2,0,0,2,12,+14
Chris Boucher,13:04,1,2,.500,0,1,.000,3,3,1.000,1,3,4,0,0,0,1,2,5,+14
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,240,41,89,.461,15,31,.484,28,32,.875,15,31,46,29,12,3,14,30,125,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,8:32,0,2,.000,0,0,,2,2,1.000,0,1,1,2,0,0,1,0,2,-12
Bruce Brown,9:25,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-12
Dennis Schröder,9:20,2,6,.333,0,2,.000,0,0,,0,2,2,1,1,0,1,1,4,-2
Gary Trent Jr.,8:32,3,4,.750,2,2,1.000,0,0,,0,0,0,0,0,0,0,2,8,-12
Thaddeus Young,7:08,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,3:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4
Gradey Dick,6:08,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,1,0,-2
Jontay Porter,4:52,2,3,.667,2,3,.667,2,2,1.000,0,0,0,1,2,0,0,0,8,+2
Chris Boucher,2:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+4
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,9,20,.450,4,8,.500,4,4,1.000,0,6,6,7,3,0,2,6,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,8:47,1,2,.500,0,0,,1,1,1.000,0,1,1,3,0,1,1,0,3,0
Bruce Brown,6:05,2,3,.667,1,1,1.000,0,0,,1,1,2,0,0,0,0,2,5,-4
Dennis Schröder,9:18,0,2,.000,0,0,,0,0,,0,1,1,3,1,0,1,1,0,+8
Gary Trent Jr.,4:33,2,4,.500,1,2,.500,0,0,,0,0,0,0,1,0,1,0,5,0
Thaddeus Young,3:43,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,10:28,4,5,.800,3,4,.750,0,0,,1,3,4,0,0,0,1,1,11,+16
Gradey Dick,5:55,2,3,.667,1,2,.500,2,3,.667,0,0,0,0,0,0,0,0,7,+16
Jontay Porter,3:44,0,1,.000,0,0,,1,2,.500,2,3,5,2,0,0,0,1,1,+12
Chris Boucher,7:27,1,2,.500,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,1,3,+12
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,12,23,.522,6,10,.600,5,7,.714,5,10,15,8,2,1,4,6,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,17:19,1,4,.250,0,0,,3,3,1.000,0,2,2,5,0,1,2,0,5,-12
Bruce Brown,15:30,3,6,.500,1,1,1.000,0,0,,1,1,2,1,0,0,0,2,7,-16
Dennis Schröder,18:38,2,8,.250,0,2,.000,0,0,,0,3,3,4,2,0,2,2,4,+6
Gary Trent Jr.,13:05,5,8,.625,3,4,.750,0,0,,0,0,0,0,1,0,1,2,13,-12
Thaddeus Young,10:51,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,0,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,13:56,4,5,.800,3,4,.750,0,0,,1,3,4,0,0,0,1,2,11,+20
Gradey Dick,12:03,2,4,.500,1,3,.333,2,3,.667,0,1,1,2,0,0,0,1,7,+14
Jontay Porter,8:36,2,4,.500,2,3,.667,3,4,.750,2,3,5,3,2,0,0,1,9,+14
Chris Boucher,10:02,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,0,0,2,3,+16
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,120,21,43,.488,10,18,.556,9,11,.818,5,16,21,15,5,1,6,12,61,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,9:57,3,4,.750,0,0,,3,3,1.000,1,0,1,2,0,1,2,1,9,-4
Bruce Brown,9:16,1,4,.250,0,1,.000,0,0,,1,1,2,1,1,1,0,1,2,-7
Dennis Schröder,5:20,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,2,2,0,1,3,5,+1
Gary Trent Jr.,5:01,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,2,0,-6
Thaddeus Young,6:10,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,8:25,2,7,.286,0,1,.000,4,4,1.000,2,2,4,3,1,0,0,1,8,-6
Gradey Dick,6:59,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,0
Jontay Porter,5:50,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,0
Chris Boucher,3:02,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,1,0,2,-2
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,10,24,.417,3,7,.429,11,11,1.000,5,7,12,8,4,2,4,11,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,10:20,4,6,.667,0,0,,2,2,1.000,0,1,1,1,0,0,1,1,10,+5
Bruce Brown,12:00,0,2,.000,0,0,,2,2,1.000,2,3,5,0,1,0,0,1,2,+1
Dennis Schröder,5:11,2,3,.667,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,5,0
Gary Trent Jr.,8:07,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,1,3,-1
Thaddeus Young,5:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,8:29,1,4,.250,0,2,.000,3,4,.750,0,1,1,3,0,0,0,1,5,-3
Gradey Dick,6:01,2,5,.400,1,1,1.000,0,0,,3,1,4,1,1,0,2,1,5,+5
Jontay Porter,4:52,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Chris Boucher, 
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,60,10,22,.455,2,6,.333,8,10,.800,5,8,13,6,3,0,4,7,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Scottie Barnes,20:17,7,10,.700,0,0,,5,5,1.000,1,1,2,3,0,1,3,2,19,+1
Bruce Brown,21:16,1,6,.167,0,1,.000,2,2,1.000,3,4,7,1,2,1,0,2,4,-6
Dennis Schröder,10:31,3,4,.750,1,2,.500,3,4,.750,0,0,0,2,2,0,2,4,10,+1
Gary Trent Jr.,13:08,1,4,.250,1,4,.250,0,0,,0,1,1,0,1,0,0,3,3,-7
Thaddeus Young,11:10,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,2,2,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Nwora,16:54,3,11,.273,0,3,.000,7,8,.875,2,3,5,6,1,0,0,2,13,-9
Gradey Dick,13:00,3,8,.375,2,2,1.000,0,0,,3,1,4,1,1,0,2,2,8,+5
Jontay Porter,10:42,1,2,.500,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,3,0
Chris Boucher,3:02,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,1,0,2,-2
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,120,20,46,.435,5,13,.385,19,21,.905,10,15,25,14,7,2,8,18,64,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,37:36,.685,.571,.000,.571,2.8,7.5,5.3,33.2,0.0,3.8,22.2,24.6,124,129,1.0
Bruce Brown,36:46,.427,.375,.167,.167,11.4,12.8,12.1,7.3,2.6,1.9,0.0,14.4,120,122,-4.7
Dennis Schröder,29:09,.509,.458,.333,.333,0.0,9.7,5.1,30.2,6.5,0.0,22.5,25.0,97,116,-5.3
Gary Trent Jr.,26:13,.667,.667,.667,.000,0.0,3.6,1.9,0.0,3.6,0.0,7.7,20.3,118,125,-2.4
Thaddeus Young,22:01,.667,.667,.000,.000,4.7,12.8,9.0,6.0,0.0,0.0,0.0,5.6,157,129,-7.1
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Nwora,30:50,.615,.531,.438,.500,10.2,18.3,14.4,31.0,1.5,0.0,4.9,27.3,143,123,5.5
Gradey Dick,25:03,.563,.542,.417,.250,12.5,7.5,9.9,18.3,1.9,0.0,13.1,25.1,117,127,-2.4
Jontay Porter,19:18,.773,.750,.667,.667,10.8,24.4,17.9,22.2,4.9,0.0,0.0,16.5,176,113,14.9
Chris Boucher,13:04,.753,.500,.500,1.500,8.0,21.6,15.1,0.0,0.0,0.0,23.1,13.6,130,125,-8.6
Jalen McDaniels,Did Not Play
Otto Porter Jr.,Did Not Play
Garrett Temple,Did Not Play
Team Totals,240,.606,.545,.348,.360,32.6,60.8,47.4,70.7,11.8,4.4,12.0,100.0,123.4,124.4,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,41:58,6,17,.353,1,4,.250,4,4,1.000,3,9,12,5,2,0,2,4,17,+6
Trae Young,41:44,9,24,.375,1,4,.250,11,12,.917,0,2,2,12,2,0,5,3,30,+8
Saddiq Bey,41:01,8,18,.444,0,6,.000,10,15,.667,7,6,13,3,0,0,1,1,26,+19
Bogdan Bogdanović,38:37,7,11,.636,4,8,.500,6,7,.857,0,4,4,2,2,2,5,4,24,+17
Clint Capela,27:51,9,13,.692,0,0,,1,2,.500,6,8,14,0,0,1,0,2,19,+19
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,20:09,5,7,.714,0,1,.000,0,0,,2,1,3,1,0,1,0,3,10,-18
Patty Mills,14:41,0,2,.000,0,2,.000,0,0,,2,1,3,1,1,0,1,1,0,-18
Garrison Mathews,7:43,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-21
Trent Forrest,6:16,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,0,1,0,-7
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,240,44,95,.463,6,27,.222,32,40,.800,20,31,51,27,7,4,14,21,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,9:20,1,1,1.000,0,0,,2,2,1.000,0,3,3,1,0,0,0,1,4,+2
Trae Young,9:20,0,2,.000,0,1,.000,2,2,1.000,0,1,1,5,0,0,2,0,2,+2
Saddiq Bey,9:25,3,5,.600,0,2,.000,3,5,.600,2,1,3,1,0,0,0,0,9,+12
Bogdan Bogdanović,8:32,3,4,.750,1,2,.500,0,0,,0,0,0,1,0,0,1,0,7,+12
Clint Capela,6:34,5,7,.714,0,0,,0,0,,1,4,5,0,0,0,0,0,10,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,5:26,1,2,.500,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,-2
Patty Mills,6:08,0,1,.000,0,1,.000,0,0,,1,1,2,0,1,0,0,0,0,+2
Garrison Mathews,2:35,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Trent Forrest,2:40,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,+6
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,13,23,.565,1,8,.125,7,9,.778,5,10,15,10,1,0,3,2,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,10:05,0,3,.000,0,0,,2,2,1.000,1,3,4,2,1,0,1,0,2,-7
Trae Young,10:05,2,7,.286,0,2,.000,0,0,,0,0,0,2,1,0,0,1,4,-7
Saddiq Bey,8:47,0,4,.000,0,2,.000,3,4,.750,1,1,2,0,0,0,0,0,3,0
Bogdan Bogdanović,8:47,2,2,1.000,1,1,1.000,3,3,1.000,0,0,0,0,1,0,2,2,8,0
Clint Capela,6:05,1,1,1.000,0,0,,0,0,,1,1,2,0,0,1,0,0,2,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Onyeka Okongwu,5:55,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,1,4,-16
Patty Mills,3:13,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-12
Garrison Mathews,5:08,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,2,0,-17
Trent Forrest,1:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,7,22,.318,1,6,.167,8,9,.889,5,5,10,5,3,1,3,7,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
