,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,38:44,3,8,.375,2,5,.400,3,4,.750,0,7,7,10,1,1,3,2,11,-2
Kawhi Leonard,36:52,13,25,.520,2,7,.286,2,2,1.000,3,5,8,3,2,0,1,2,30,-9
Paul George,27:10,3,11,.273,0,5,.000,7,8,.875,1,4,5,3,2,1,2,6,13,+4
Mason Plumlee,22:22,1,1,1.000,0,0,,3,4,.750,1,4,5,0,0,1,1,2,5,-11
Terance Mann,19:26,2,4,.500,1,2,.500,0,0,,0,0,0,1,2,0,0,2,5,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,27:39,6,13,.462,4,7,.571,2,4,.500,0,3,3,2,0,0,0,2,18,-6
Amir Coffey,27:12,5,9,.556,2,5,.400,1,2,.500,0,1,1,1,1,0,0,1,13,-5
Russell Westbrook,22:06,5,8,.625,0,2,.000,3,4,.750,0,4,4,3,0,0,4,1,13,-5
Daniel Theis,17:21,0,1,.000,0,1,.000,0,0,,1,3,4,5,0,0,1,3,0,-1
Brandon Boston Jr.,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kobe Brown,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,38,80,.475,11,34,.324,21,28,.750,6,31,37,28,8,3,12,21,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,7:08,0,1,.000,0,1,.000,0,0,,0,1,1,2,0,0,0,0,0,-2
Kawhi Leonard,11:24,4,9,.444,0,2,.000,0,0,,1,1,2,2,1,0,0,2,8,-5
Paul George,6:29,1,4,.250,0,2,.000,0,0,,0,1,1,1,1,1,0,0,2,-1
Mason Plumlee,8:39,1,1,1.000,0,0,,1,2,.500,0,1,1,0,0,1,0,0,3,-7
Terance Mann,6:43,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,1,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,5:31,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,-2
Amir Coffey,4:52,2,2,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,4,-1
Russell Westbrook,5:52,0,0,,0,0,,2,2,1.000,0,3,3,1,0,0,1,0,2,0
Daniel Theis,3:21,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,+4
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,10,22,.455,0,7,.000,5,6,.833,1,8,9,9,3,2,1,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,12:00,1,3,.333,0,1,.000,2,2,1.000,0,2,2,3,0,1,2,1,4,-1
Kawhi Leonard,5:42,3,4,.750,0,1,.000,0,0,,0,2,2,0,0,0,1,0,6,-5
Paul George,7:22,0,1,.000,0,1,.000,1,1,1.000,0,1,1,0,0,0,0,2,1,-2
Mason Plumlee,5:34,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-6
Terance Mann,6:29,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,6:17,2,4,.500,2,2,1.000,0,0,,0,1,1,1,0,0,0,0,6,+4
Amir Coffey,6:29,1,2,.500,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,4,+4
Russell Westbrook,3:39,1,2,.500,0,1,.000,1,2,.500,0,0,0,1,0,0,0,0,3,+4
Daniel Theis,6:26,0,0,,0,0,,0,0,,1,2,3,2,0,0,0,1,0,+5
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,9,18,.500,4,10,.400,5,6,.833,2,9,11,7,1,1,4,6,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,19:08,1,4,.250,0,2,.000,2,2,1.000,0,3,3,5,0,1,2,1,4,-3
Kawhi Leonard,17:06,7,13,.538,0,3,.000,0,0,,1,3,4,2,1,0,1,2,14,-10
Paul George,13:51,1,5,.200,0,3,.000,1,1,1.000,0,2,2,1,1,1,0,2,3,-3
Mason Plumlee,14:13,1,1,1.000,0,0,,1,2,.500,1,2,3,0,0,1,1,2,3,-13
Terance Mann,13:12,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,0,1,5,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,11:48,3,7,.429,2,3,.667,2,2,1.000,0,1,1,1,0,0,0,0,10,+2
Amir Coffey,11:21,3,4,.750,1,2,.500,1,1,1.000,0,1,1,0,1,0,0,0,8,+3
Russell Westbrook,9:31,1,2,.500,0,1,.000,3,4,.750,0,3,3,2,0,0,1,0,5,+4
Daniel Theis,9:47,0,1,.000,0,1,.000,0,0,,1,2,3,4,0,0,0,1,0,+9
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,120,19,40,.475,4,17,.235,10,12,.833,3,17,20,16,4,3,5,9,52,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,8:09,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,0,0,+2
Kawhi Leonard,12:00,3,6,.500,2,3,.667,2,2,1.000,1,1,2,1,1,0,0,0,10,-3
Paul George,8:09,1,5,.200,0,2,.000,5,5,1.000,0,1,1,1,0,0,1,1,7,+2
Mason Plumlee,8:09,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,+2
Terance Mann,5:42,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,3:51,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,-5
Amir Coffey,3:51,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-5
Russell Westbrook,6:18,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,2,1,4,-3
Daniel Theis,3:51,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-5
Brandon Boston Jr., 
Kobe Brown, 
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,8,19,.421,4,9,.444,9,9,1.000,1,8,9,5,2,0,5,6,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,11:27,2,3,.667,2,2,1.000,1,2,.500,0,2,2,3,1,0,0,1,7,-1
Kawhi Leonard,7:44,3,6,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,6,+4
Paul George,5:10,1,1,1.000,0,0,,1,2,.500,1,1,2,1,1,0,1,3,3,+5
Mason Plumlee, 
Terance Mann,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,12:00,2,5,.400,1,3,.333,0,2,.000,0,1,1,1,0,0,0,1,5,-3
Amir Coffey,12:00,1,3,.333,0,1,.000,0,1,.000,0,0,0,1,0,0,0,1,2,-3
Russell Westbrook,6:17,2,3,.667,0,1,.000,0,0,,0,1,1,1,0,0,1,0,4,-6
Daniel Theis,3:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Brandon Boston Jr.,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kobe Brown,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,11,21,.524,3,8,.375,2,7,.286,2,6,8,7,2,0,2,6,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,19:36,2,4,.500,2,3,.667,1,2,.500,0,4,4,5,1,0,1,1,7,+1
Kawhi Leonard,19:44,6,12,.500,2,4,.500,2,2,1.000,2,2,4,1,1,0,0,0,16,+1
Paul George,13:19,2,6,.333,0,2,.000,6,7,.857,1,2,3,2,1,0,2,4,10,+7
Mason Plumlee,8:09,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,+2
Terance Mann,6:14,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,15:51,3,6,.500,2,4,.500,0,2,.000,0,2,2,1,0,0,0,2,8,-8
Amir Coffey,15:51,2,5,.400,1,3,.333,0,1,.000,0,0,0,1,0,0,0,1,5,-8
Russell Westbrook,12:35,4,6,.667,0,1,.000,0,0,,0,1,1,1,0,0,3,1,8,-9
Daniel Theis,7:34,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-10
Brandon Boston Jr.,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Kobe Brown,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,120,19,40,.475,7,17,.412,11,16,.688,3,14,17,12,4,0,7,12,56,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,38:44,.564,.500,.625,.500,0.0,20.7,10.5,36.1,1.3,2.7,23.5,15.2,111,120,0.6
Kawhi Leonard,36:52,.580,.560,.280,.080,9.5,15.5,12.5,18.5,2.7,0.0,3.7,33.5,115,120,5.9
Paul George,27:10,.448,.273,.455,.727,4.3,16.8,10.6,16.2,3.6,3.8,12.1,28.0,94,115,-5.1
Mason Plumlee,22:22,.906,1.000,.000,4.000,5.2,20.4,12.9,0.0,0.0,4.7,26.6,7.7,139,122,-3.5
Terance Mann,19:26,.625,.625,.500,.000,0.0,0.0,0.0,7.5,5.1,0.0,0.0,9.5,123,119,2.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Norman Powell,27:39,.610,.615,.538,.308,0.0,12.4,6.3,12.6,0.0,0.0,0.0,24.6,118,127,2.5
Amir Coffey,27:12,.658,.667,.556,.222,0.0,4.2,2.1,6.0,1.8,0.0,0.0,16.7,124,125,2.0
Russell Westbrook,22:06,.666,.625,.250,.500,0.0,20.7,10.5,24.0,0.0,0.0,29.1,28.6,95,125,-4.4
Daniel Theis,17:21,.000,.000,1.000,.000,6.7,19.8,13.3,36.4,0.0,0.0,50.0,5.3,109,125,0.4
Brandon Boston Jr.,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-6.9
Kobe Brown,0:32,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,130,-6.0
Bones Hyland,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,.585,.544,.425,.350,14.6,73.8,44.6,73.7,8.3,6.5,11.5,100.0,111.5,121.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Donovan Mitchell,38:44,11,21,.524,2,10,.200,4,6,.667,1,3,4,12,2,1,2,3,28,+11
Jarrett Allen,36:13,6,9,.667,0,0,,8,11,.727,4,13,17,3,1,1,3,3,20,+11
Max Strus,34:30,4,8,.500,3,7,.429,3,3,1.000,1,6,7,4,0,0,2,5,14,+10
