,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,31:12,11,20,.550,0,5,.000,3,3,1.000,2,4,6,1,0,0,1,3,25,-18
Patrick Beverley,30:22,5,10,.500,0,3,.000,4,4,1.000,0,1,1,5,1,0,2,2,14,-25
Paul Reed,24:16,5,8,.625,1,1,1.000,0,1,.000,3,3,6,3,1,2,2,3,11,-19
Nicolas Batum,24:10,1,5,.200,1,4,.250,0,0,,3,1,4,1,0,0,0,1,3,-19
Tobias Harris,20:23,3,9,.333,0,3,.000,3,4,.750,1,3,4,1,0,0,0,0,9,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Morris,21:43,3,7,.429,1,3,.333,2,2,1.000,0,2,2,0,0,0,3,1,9,-2
Mo Bamba,18:44,2,4,.500,0,2,.000,0,0,,0,5,5,1,1,3,0,5,4,-5
KJ Martin,17:33,2,4,.500,0,0,,2,2,1.000,0,1,1,1,0,0,2,5,6,-13
Danuel House Jr.,15:46,0,1,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,0,1,2,-5
Furkan Korkmaz,9:49,0,3,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,2,2,-2
Ricky Council IV,9:06,2,4,.500,0,0,,4,4,1.000,2,0,2,0,1,0,0,0,8,-5
Terquavion Smith,9:06,1,4,.250,1,4,.250,0,0,,0,0,0,1,1,0,1,1,3,-5
Jaden Springer,7:48,2,4,.500,1,1,1.000,3,4,.750,1,1,2,0,1,0,2,1,8,0
Team Totals,240,37,83,.446,5,29,.172,25,28,.893,12,22,34,17,6,5,14,25,104,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,7:02,2,4,.500,0,2,.000,0,0,,0,1,1,0,0,0,0,1,4,+2
Patrick Beverley,9:14,2,4,.500,0,1,.000,2,2,1.000,0,1,1,3,0,0,2,1,6,+7
Paul Reed,8:29,1,2,.500,1,1,1.000,0,0,,1,2,3,0,0,1,0,0,3,-2
Nicolas Batum,7:02,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
Tobias Harris,7:12,1,4,.250,0,2,.000,0,0,,1,1,2,0,0,0,0,0,2,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Morris,7:44,2,3,.667,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,6,+7
Mo Bamba,3:31,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+10
KJ Martin, 
Danuel House Jr.,4:58,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+6
Furkan Korkmaz,4:48,0,2,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,2,0
Ricky Council IV, 
Terquavion Smith, 
Jaden Springer, 
Team Totals,60,10,21,.476,2,10,.200,6,6,1.000,2,10,12,4,0,1,4,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,9:40,4,8,.500,0,2,.000,2,2,1.000,1,0,1,0,0,0,0,1,10,-5
Patrick Beverley,9:03,2,4,.500,0,2,.000,2,2,1.000,0,0,0,2,1,0,0,0,6,-10
Paul Reed,8:08,2,3,.667,0,0,,0,1,.000,2,0,2,0,0,1,0,2,4,-7
Nicolas Batum,9:30,0,2,.000,0,1,.000,0,0,,3,0,3,0,0,0,0,0,0,-7
Tobias Harris,6:13,0,3,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,0,2,-5
