,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,33:52,5,14,.357,2,8,.250,2,2,1.000,2,3,5,1,1,0,0,1,14,-10
Simone Fontecchio,29:24,5,10,.500,4,8,.500,0,0,,2,3,5,1,0,1,1,1,14,0
John Collins,28:24,5,12,.417,1,4,.250,0,1,.000,3,8,11,3,0,0,1,4,11,-12
Collin Sexton,27:58,7,13,.538,2,4,.500,6,8,.750,2,1,3,7,0,0,2,2,22,-6
Kris Dunn,16:54,3,5,.600,0,0,,0,0,,2,1,3,6,1,0,3,2,6,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,31:18,5,12,.417,1,5,.200,0,0,,0,1,1,1,0,0,3,2,11,-19
Keyonte George,22:30,6,12,.500,1,5,.200,2,2,1.000,0,2,2,1,0,0,2,2,15,-6
Kelly Olynyk,20:43,0,3,.000,0,1,.000,1,2,.500,1,4,5,3,0,0,1,2,1,-16
Walker Kessler,16:15,2,4,.500,0,0,,2,2,1.000,3,4,7,0,0,4,1,0,6,-5
Ochai Agbaji,12:42,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,3,+4
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,39,86,.453,12,36,.333,13,17,.765,15,28,43,23,3,5,14,16,103,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,8:26,2,5,.400,1,2,.500,1,1,1.000,1,0,1,0,0,0,0,0,6,-2
Simone Fontecchio,9:32,1,3,.333,1,2,.500,0,0,,1,0,1,0,0,0,0,0,3,-3
John Collins,7:14,2,4,.500,1,2,.500,0,0,,0,2,2,1,0,0,1,2,5,-2
Collin Sexton,5:58,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,+2
Kris Dunn,7:14,1,2,.500,0,0,,0,0,,0,1,1,3,1,0,2,0,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,6:02,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,-9
Keyonte George,4:46,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-5
Kelly Olynyk,6:02,0,0,,0,0,,1,2,.500,0,2,2,0,0,0,0,1,1,-9
Walker Kessler,4:46,0,0,,0,0,,0,0,,0,1,1,0,0,3,1,0,0,-5
Ochai Agbaji, 
Talen Horton-Tucker,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,8,19,.421,4,10,.400,2,3,.667,2,8,10,4,1,3,6,6,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,12:00,1,5,.200,1,5,.200,0,0,,1,1,2,0,1,0,0,0,3,-1
Simone Fontecchio,5:47,2,3,.667,2,3,.667,0,0,,1,0,1,1,0,0,0,1,6,-1
