,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,38:31,8,17,.471,3,10,.300,2,4,.500,1,3,4,4,1,1,2,3,21,+13
Brandon Ingram,36:24,7,15,.467,1,2,.500,4,4,1.000,2,2,4,6,2,1,2,4,19,-6
Zion Williamson,35:52,12,21,.571,0,0,,9,13,.692,3,5,8,4,1,1,1,2,33,+15
Jonas Valančiūnas,27:00,9,12,.750,0,0,,0,0,,3,6,9,4,0,0,0,2,18,-15
Trey Murphy III,26:32,4,9,.444,1,2,.500,0,0,,0,1,1,0,2,0,1,0,9,-18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dyson Daniels,21:25,1,3,.333,0,1,.000,0,0,,2,4,6,5,3,0,1,1,2,+20
Jose Alvarado,18:46,3,7,.429,2,5,.400,0,0,,0,2,2,3,2,0,0,3,8,+9
Naji Marshall,16:34,1,6,.167,0,2,.000,0,0,,1,2,3,2,1,0,1,1,2,-19
Jordan Hawkins,10:49,1,5,.200,0,4,.000,0,0,,0,0,0,0,0,0,0,0,2,0
Cody Zeller,8:04,0,0,,0,0,,0,0,,1,1,2,1,2,0,1,1,0,+6
Jeremiah Robinson-Earl,Did Not Play
Matt Ryan,Did Not Play
Team Totals,240,46,95,.484,7,26,.269,15,21,.714,13,26,39,29,14,3,9,17,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,9:01,1,3,.333,0,1,.000,1,2,.500,0,1,1,2,0,0,1,0,3,-6
Brandon Ingram,9:12,1,3,.333,1,1,1.000,2,2,1.000,0,0,0,2,0,0,0,1,5,-6
Zion Williamson,9:07,2,5,.400,0,0,,0,0,,1,2,3,1,1,0,1,0,4,-3
Jonas Valančiūnas,9:01,3,4,.750,0,0,,0,0,,2,4,6,1,0,0,0,0,6,-6
Trey Murphy III,9:18,2,5,.400,0,0,,0,0,,0,0,0,0,2,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dyson Daniels, 
Jose Alvarado, 
Naji Marshall,5:41,1,3,.333,0,1,.000,0,0,,1,0,1,1,0,0,1,0,2,-9
Jordan Hawkins,5:41,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Cody Zeller,2:59,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,0,0,-3
Jeremiah Robinson-Earl,Did Not Play
Matt Ryan,Did Not Play
Team Totals,60,10,25,.400,1,5,.200,3,4,.750,5,8,13,7,3,0,4,1,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,9:20,4,8,.500,3,6,.500,0,0,,0,1,1,0,0,0,0,2,11,+7
Brandon Ingram,6:55,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-7
Zion Williamson,8:39,3,4,.750,0,0,,5,8,.625,1,2,3,2,0,0,0,0,11,+9
Jonas Valančiūnas,6:51,4,4,1.000,0,0,,0,0,,1,0,1,1,0,0,0,2,8,-7
Trey Murphy III,6:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dyson Daniels,7:45,0,0,,0,0,,0,0,,1,1,2,3,0,0,1,1,0,+4
Jose Alvarado, 
Naji Marshall,3:21,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-7
Jordan Hawkins,5:08,1,3,.333,0,2,.000,0,0,,0,0,0,0,0,0,0,0,2,+9
Cody Zeller,5:05,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,1,0,+9
Jeremiah Robinson-Earl,Did Not Play
Matt Ryan,Did Not Play
Team Totals,60,13,24,.542,3,10,.300,5,8,.625,3,5,8,7,3,0,2,6,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
CJ McCollum,18:21,5,11,.455,3,7,.429,1,2,.500,0,2,2,2,0,0,1,2,14,+1
Brandon Ingram,16:07,2,5,.400,1,2,.500,2,2,1.000,0,0,0,2,0,0,0,1,7,-13
Zion Williamson,17:46,5,9,.556,0,0,,5,8,.625,2,4,6,3,1,0,1,0,15,+6
Jonas Valančiūnas,15:52,7,8,.875,0,0,,0,0,,3,4,7,2,0,0,0,2,14,-13
Trey Murphy III,16:13,2,6,.333,0,0,,0,0,,0,0,0,0,2,0,1,0,4,-10
