,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,40:18,10,19,.526,2,5,.400,2,2,1.000,1,4,5,5,2,1,1,1,24,+11
Austin Reaves,38:47,6,13,.462,3,6,.500,7,8,.875,0,6,6,7,0,2,1,3,22,+8
Anthony Davis,36:25,4,12,.333,0,1,.000,4,4,1.000,2,16,18,5,1,4,0,2,12,+6
D'Angelo Russell,26:59,5,14,.357,2,7,.286,4,4,1.000,0,1,1,4,0,1,0,4,16,-6
Rui Hachimura,19:28,3,5,.600,0,2,.000,1,2,.500,0,4,4,1,0,0,1,2,7,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,32:39,6,10,.600,3,6,.500,1,1,1.000,0,2,2,2,0,1,2,3,16,+7
Max Christie,26:07,2,2,1.000,2,2,1.000,0,1,.000,0,1,1,1,0,2,0,1,6,+12
Jaxson Hayes,12:30,3,3,1.000,0,0,,4,5,.800,0,1,1,3,1,0,0,0,10,+1
Christian Wood,6:47,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Jalen Hood-Schifino,Did Not Play
Maxwell Lewis,Did Not Play
Jarred Vanderbilt,Did Not Play
Team Totals,240,39,80,.488,12,31,.387,23,27,.852,3,35,38,28,4,11,5,16,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,8:11,2,3,.667,0,0,,0,0,,1,0,1,0,2,0,0,0,4,+1
Austin Reaves,9:23,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,1,0,0,0,+3
Anthony Davis,12:00,1,5,.200,0,0,,0,0,,2,8,10,3,0,1,0,1,2,+2
D'Angelo Russell,10:48,2,7,.286,2,4,.500,4,4,1.000,0,1,1,3,0,0,0,0,10,0
Rui Hachimura,6:10,2,4,.500,0,2,.000,0,0,,0,1,1,0,0,0,1,1,4,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
