,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,40:03,2,10,.200,2,7,.286,0,0,,0,2,2,3,1,0,0,2,6,-19
Giannis Antetokounmpo,39:36,11,15,.733,0,2,.000,11,15,.733,2,5,7,13,0,1,5,3,33,-8
Damian Lillard,37:45,5,18,.278,1,8,.125,1,2,.500,0,0,0,6,1,2,3,5,12,-21
Bobby Portis,36:21,11,20,.550,4,7,.571,1,1,1.000,1,6,7,0,3,0,1,2,27,-18
Malik Beasley,29:55,6,8,.750,4,6,.667,0,0,,1,2,3,2,1,0,0,4,16,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
A.J. Green,21:48,3,6,.500,3,6,.500,1,1,1.000,0,5,5,0,0,0,0,2,10,+3
Pat Connaughton,18:23,0,0,,0,0,,1,4,.250,1,3,4,1,2,0,1,1,1,+11
Cameron Payne,10:15,1,3,.333,1,3,.333,0,0,,1,2,3,2,0,0,0,0,3,+6
Robin Lopez,4:05,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-6
MarJon Beauchamp,0:37,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Andre Jackson Jr.,0:37,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,1,0,-1
Chris Livingston,0:35,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Thanasis Antetokounmpo,Did Not Play
Team Totals,240,39,84,.464,15,41,.366,15,25,.600,7,25,32,27,8,3,11,21,108,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jae Crowder,10:39,0,3,.000,0,1,.000,0,0,,0,1,1,3,0,0,0,0,0,-4
Giannis Antetokounmpo,6:51,3,4,.750,0,0,,2,2,1.000,1,0,1,1,0,0,0,0,8,-3
Damian Lillard,12:00,2,8,.250,0,3,.000,0,0,,0,0,0,1,0,0,0,1,4,-6
Bobby Portis,8:32,2,5,.400,0,1,.000,0,0,,0,2,2,0,1,0,0,0,4,-1
Malik Beasley,8:32,3,3,1.000,1,1,1.000,0,0,,1,2,3,1,0,0,0,1,7,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
A.J. Green,6:30,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,0,1,3,-5
Pat Connaughton,3:28,0,0,,0,0,,0,2,.000,1,1,2,1,1,0,0,0,0,-5
Cameron Payne, 
