,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,44:24,3,6,.500,0,0,,6,10,.600,7,9,16,1,1,1,1,5,12,-8
Anthony Edwards,43:33,12,26,.462,5,9,.556,9,11,.818,0,12,12,5,2,1,5,5,38,-4
Jaden McDaniels,39:49,6,11,.545,1,3,.333,0,0,,1,0,1,3,1,0,4,4,13,+1
Karl-Anthony Towns,38:37,11,22,.500,7,16,.438,4,5,.800,1,4,5,3,1,2,2,4,33,+1
Mike Conley,36:23,3,7,.429,3,7,.429,0,0,,0,0,0,8,0,0,0,2,9,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,20:12,4,11,.364,2,6,.333,0,0,,0,4,4,2,0,1,0,1,10,+3
Nickeil Alexander-Walker,19:18,1,4,.250,1,3,.333,0,0,,0,1,1,2,1,0,0,2,3,-8
Kyle Anderson,16:03,1,2,.500,0,0,,0,0,,1,1,2,3,0,0,1,1,2,-4
Jordan McLaughlin,6:41,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,0,1,3,-2
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,265,42,92,.457,20,45,.444,19,26,.731,10,32,42,28,6,5,13,25,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,10:05,1,2,.500,0,0,,1,2,.500,1,3,4,0,0,0,0,1,3,+4
Anthony Edwards,12:00,3,7,.429,1,2,.500,6,6,1.000,0,6,6,2,1,0,2,1,13,+11
Jaden McDaniels,8:52,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,1,0,4,+11
Karl-Anthony Towns,8:52,2,4,.500,1,3,.333,0,0,,0,1,1,1,0,0,0,0,5,+11
Mike Conley,6:57,2,3,.667,2,3,.667,0,0,,0,0,0,2,0,0,0,0,6,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,5:03,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+7
Nickeil Alexander-Walker,3:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Kyle Anderson,5:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+7
Jordan McLaughlin, 
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,60,11,22,.500,4,10,.400,7,8,.875,1,12,13,6,1,0,3,3,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,7:09,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,+12
Anthony Edwards,6:22,3,4,.750,2,2,1.000,2,2,1.000,0,0,0,2,0,0,0,0,10,+9
Jaden McDaniels,8:47,3,3,1.000,0,0,,0,0,,0,0,0,1,1,0,0,0,6,+10
Karl-Anthony Towns,8:47,5,7,.714,3,4,.750,0,1,.000,0,2,2,0,1,0,2,1,13,+10
Mike Conley,6:59,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,0,0,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,8:04,1,3,.333,0,1,.000,0,0,,0,1,1,1,0,1,0,0,2,0
Nickeil Alexander-Walker,5:48,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,2,0,+2
Kyle Anderson,3:13,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,0,0,2,+1
Jordan McLaughlin,4:51,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+2
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,60,14,23,.609,6,9,.667,2,3,.667,2,6,8,9,2,1,2,3,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,17:14,1,3,.333,0,0,,1,2,.500,2,4,6,0,0,0,0,1,3,+16
Anthony Edwards,18:22,6,11,.545,3,4,.750,8,8,1.000,0,6,6,4,1,0,2,1,23,+20
Jaden McDaniels,17:39,5,5,1.000,0,0,,0,0,,0,0,0,1,1,0,1,0,10,+21
Karl-Anthony Towns,17:39,7,11,.636,4,7,.571,0,1,.000,0,3,3,1,1,0,2,1,18,+21
Mike Conley,13:56,2,4,.500,2,4,.500,0,0,,0,0,0,4,0,0,0,0,6,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,13:07,2,6,.333,0,2,.000,0,0,,0,3,3,1,0,1,0,0,4,+7
Nickeil Alexander-Walker,8:56,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,0,2,0,+2
Kyle Anderson,8:16,1,1,1.000,0,0,,0,0,,1,1,2,1,0,0,0,1,2,+8
Jordan McLaughlin,4:51,1,2,.500,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+2
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,120,25,45,.556,10,19,.526,9,11,.818,3,18,21,15,3,1,5,6,69,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,10:10,1,2,.500,0,0,,0,0,,3,2,5,0,1,1,0,0,2,-9
Anthony Edwards,12:00,3,7,.429,1,3,.333,0,1,.000,0,2,2,1,0,1,1,2,7,-13
Jaden McDaniels,7:52,1,4,.250,1,2,.500,0,0,,0,0,0,1,0,0,2,0,3,-10
Karl-Anthony Towns,4:55,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,2,0,3,2,-9
Mike Conley,7:52,0,2,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid,7:05,2,5,.400,2,4,.500,0,0,,0,1,1,1,0,0,0,1,6,-4
Nickeil Alexander-Walker,4:08,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-3
Kyle Anderson,4:08,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Jordan McLaughlin,1:50,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,60,8,23,.348,5,13,.385,2,3,.667,3,7,10,6,1,4,3,7,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,12:00,1,1,1.000,0,0,,5,8,.625,2,1,3,1,0,0,0,0,7,-9
Anthony Edwards,8:11,1,4,.250,0,1,.000,0,0,,0,3,3,0,1,0,1,0,2,-5
Jaden McDaniels,9:18,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,4,0,-4
Karl-Anthony Towns,11:30,4,9,.444,3,8,.375,0,0,,0,0,0,1,0,0,0,0,11,-7
Mike Conley,9:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Naz Reid, 
Nickeil Alexander-Walker,6:14,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-7
Kyle Anderson,3:12,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-7
Jordan McLaughlin, 
Troy Brown Jr.,Did Not Play
Leonard Miller,Did Not Play
Shake Milton,Did Not Play
Josh Minott,Did Not Play
Wendell Moore Jr.,Did Not Play
Team Totals,60,7,18,.389,4,11,.364,5,8,.625,3,4,7,6,2,0,2,5,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rudy Gobert,22:10,2,3,.667,0,0,,5,8,.625,5,3,8,1,1,1,0,0,9,-18
Anthony Edwards,20:11,4,11,.364,1,4,.250,0,1,.000,0,5,5,1,1,1,2,2,9,-18
Jaden McDaniels,17:10,1,5,.200,1,2,.500,0,0,,1,0,1,2,0,0,2,4,3,-14
