,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,37:52,8,25,.320,2,10,.200,2,2,1.000,0,2,2,10,1,0,4,0,20,-10
Jalen Johnson,36:06,8,16,.500,2,5,.400,1,1,1.000,2,13,15,4,3,0,2,0,19,+1
Onyeka Okongwu,35:54,7,11,.636,1,3,.333,4,4,1.000,6,4,10,3,0,2,1,3,19,+4
Saddiq Bey,35:36,9,16,.563,4,7,.571,3,4,.750,2,7,9,1,1,0,0,1,25,-1
Bogdan Bogdanović,35:05,5,18,.278,2,10,.200,0,0,,2,4,6,3,1,0,0,3,12,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,23:01,3,9,.333,1,4,.250,3,3,1.000,0,1,1,1,0,0,1,3,10,-13
Garrison Mathews,14:12,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,2,3,-7
Bruno Fernando,12:06,2,4,.500,0,0,,5,6,.833,1,3,4,1,0,0,1,1,9,-12
Patty Mills,10:08,0,2,.000,0,1,.000,0,0,,0,2,2,1,1,0,0,0,0,+2
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,240,43,102,.422,13,41,.317,18,20,.900,13,36,49,24,8,2,9,13,117,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,8:34,4,8,.500,2,5,.400,1,1,1.000,0,0,0,2,0,0,0,0,11,+1
Jalen Johnson,8:34,1,3,.333,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,+1
Onyeka Okongwu,9:25,1,2,.500,0,1,.000,0,0,,2,3,5,1,0,0,1,0,2,+2
Saddiq Bey,8:23,4,5,.800,2,3,.667,0,0,,0,1,1,0,0,0,0,1,10,+2
Bogdan Bogdanović,8:23,1,4,.250,0,2,.000,0,0,,0,1,1,1,0,0,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,7:03,1,2,.500,1,2,.500,3,3,1.000,0,0,0,0,0,0,1,3,6,+1
Garrison Mathews,3:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Bruno Fernando,2:35,2,2,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,4,0
Patty Mills,3:26,0,0,,0,0,,0,0,,0,1,1,0,1,0,0,0,0,+1
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,14,26,.538,5,14,.357,4,4,1.000,2,10,12,6,1,0,2,5,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,9:08,2,8,.250,0,2,.000,0,0,,0,1,1,2,0,0,2,0,4,-9
Jalen Johnson,10:43,2,6,.333,1,3,.333,0,0,,1,3,4,0,0,0,1,0,5,-3
Onyeka Okongwu,7:38,3,4,.750,1,1,1.000,2,2,1.000,3,0,3,1,0,0,0,2,9,-1
Saddiq Bey,7:38,3,5,.600,2,2,1.000,0,0,,1,2,3,1,0,0,0,0,8,-1
Bogdan Bogdanović,8:55,0,4,.000,0,2,.000,0,0,,1,0,1,1,0,0,0,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,4:22,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-5
Garrison Mathews,4:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Bruno Fernando,4:22,0,2,.000,0,0,,2,2,1.000,1,0,1,1,0,0,0,0,2,-5
Patty Mills,2:52,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+3
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,11,30,.367,4,10,.400,4,4,1.000,7,7,14,7,0,0,3,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,17:42,6,16,.375,2,7,.286,1,1,1.000,0,1,1,4,0,0,2,0,15,-8
Jalen Johnson,19:17,3,9,.333,1,4,.250,0,0,,1,5,6,2,0,0,1,0,7,-2
Onyeka Okongwu,17:03,4,6,.667,1,2,.500,2,2,1.000,5,3,8,2,0,0,1,2,11,+1
Saddiq Bey,16:01,7,10,.700,4,5,.800,0,0,,1,3,4,1,0,0,0,1,18,+1
Bogdan Bogdanović,17:18,1,8,.125,0,4,.000,0,0,,1,1,2,2,0,0,0,1,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,11:25,2,3,.667,1,2,.500,3,3,1.000,0,0,0,0,0,0,1,3,8,-4
Garrison Mathews,7:59,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
Bruno Fernando,6:57,2,4,.500,0,0,,2,2,1.000,1,2,3,1,0,0,0,0,6,-5
Patty Mills,6:18,0,0,,0,0,,0,0,,0,2,2,1,1,0,0,0,0,+4
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,120,25,56,.446,9,24,.375,8,8,1.000,9,17,26,13,1,0,5,8,67,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,8:10,0,2,.000,0,1,.000,0,0,,0,0,0,4,0,0,2,0,0,+1
Jalen Johnson,8:10,3,4,.750,0,0,,1,1,1.000,0,3,3,1,1,0,0,0,7,+1
Onyeka Okongwu,10:50,2,4,.500,0,1,.000,2,2,1.000,1,1,2,0,0,0,0,1,6,0
Saddiq Bey,10:50,0,2,.000,0,0,,2,2,1.000,0,2,2,0,1,0,0,0,2,0
Bogdan Bogdanović,9:02,2,6,.333,1,4,.250,0,0,,0,2,2,0,1,0,0,0,5,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,5:00,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,-3
Garrison Mathews,2:58,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,0,3,-1
Bruno Fernando,1:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Patty Mills,3:50,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,8,24,.333,2,10,.200,5,5,1.000,1,9,10,6,4,0,2,1,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,12:00,2,7,.286,0,2,.000,1,1,1.000,0,1,1,2,1,0,0,0,5,-3
Jalen Johnson,8:39,2,3,.667,1,1,1.000,0,0,,1,5,6,1,2,0,1,0,5,+2
Onyeka Okongwu,8:01,1,1,1.000,0,0,,0,0,,0,0,0,1,0,2,0,0,2,+3
Saddiq Bey,8:45,2,4,.500,0,2,.000,1,2,.500,1,2,3,0,0,0,0,0,5,-2
Bogdan Bogdanović,8:45,2,4,.500,1,2,.500,0,0,,1,1,2,1,0,0,0,2,5,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,6:36,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-6
Garrison Mathews,3:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Bruno Fernando,3:59,0,0,,0,0,,3,4,.750,0,1,1,0,0,0,1,1,3,-6
Patty Mills, 
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,60,10,22,.455,2,7,.286,5,7,.714,3,10,13,5,3,2,2,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trae Young,20:10,2,9,.222,0,3,.000,1,1,1.000,0,1,1,6,1,0,2,0,5,-2
Jalen Johnson,16:49,5,7,.714,1,1,1.000,1,1,1.000,1,8,9,2,3,0,1,0,12,+3
Onyeka Okongwu,18:51,3,5,.600,0,1,.000,2,2,1.000,1,1,2,1,0,2,0,1,8,+3
Saddiq Bey,19:35,2,6,.333,0,2,.000,3,4,.750,1,4,5,0,1,0,0,0,7,-2
Bogdan Bogdanović,17:47,4,10,.400,2,6,.333,0,0,,1,3,4,1,1,0,0,2,10,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,11:36,1,6,.167,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,-9
Garrison Mathews,6:13,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-2
Bruno Fernando,5:09,0,0,,0,0,,3,4,.750,0,1,1,0,0,0,1,1,3,-7
Patty Mills,3:50,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
AJ Griffin,Did Not Play
Wesley Matthews,Did Not Play
Dejounte Murray,Did Not Dress
Team Totals,120,18,46,.391,4,17,.235,10,12,.833,4,19,23,11,7,2,4,5,50,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
