,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,37:14,10,22,.455,2,9,.222,4,7,.571,2,12,14,10,1,0,5,1,26,-7
Jabari Smith Jr.,36:55,4,15,.267,1,7,.143,0,0,,2,8,10,2,4,4,3,2,9,-6
Dillon Brooks,34:47,5,19,.263,2,10,.200,2,2,1.000,1,0,1,1,0,0,0,3,14,-10
Amen Thompson,32:34,6,10,.600,0,1,.000,0,0,,4,7,11,3,1,0,2,5,12,-15
Jeff Green,31:29,6,10,.600,4,7,.571,3,5,.600,1,5,6,2,0,1,5,4,19,-20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,22:26,7,10,.700,3,5,.600,1,1,1.000,0,1,1,2,0,1,0,4,18,+1
Reggie Bullock,14:36,1,3,.333,1,3,.333,0,0,,0,2,2,0,0,0,0,1,3,+1
Jock Landale,12:46,0,3,.000,0,1,.000,2,2,1.000,3,6,9,2,0,0,2,1,2,+5
Jae'Sean Tate,8:40,1,2,.500,0,0,,0,0,,1,1,2,0,0,0,0,2,2,+4
Jeenathan Williams,8:33,4,6,.667,0,0,,0,2,.000,2,0,2,0,0,0,0,3,8,+2
Nate Hinton,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,240,44,100,.440,13,43,.302,12,19,.632,16,42,58,22,6,6,17,26,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,12:00,3,7,.429,1,3,.333,1,2,.500,1,5,6,4,0,0,1,0,8,+12
Jabari Smith Jr.,7:59,1,3,.333,0,1,.000,0,0,,0,3,3,1,1,1,1,0,2,+7
Dillon Brooks,7:59,1,3,.333,0,0,,0,0,,1,0,1,0,0,0,0,1,2,+7
