,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,28:53,9,16,.563,0,0,,7,8,.875,2,4,6,5,0,1,3,1,25,-31
Jalen Williams,26:58,4,10,.400,1,3,.333,0,0,,1,2,3,7,0,0,2,2,9,-17
Josh Giddey,22:51,3,14,.214,3,9,.333,2,2,1.000,1,2,3,3,1,0,1,1,11,-23
Chet Holmgren,22:00,4,7,.571,2,3,.667,3,4,.750,4,8,12,0,0,1,0,4,13,-3
Luguentz Dort,17:49,2,7,.286,1,6,.167,0,0,,0,0,0,2,0,0,2,3,5,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,25:27,5,11,.455,3,7,.429,2,2,1.000,0,2,2,0,1,0,1,2,15,-18
Aaron Wiggins,21:55,2,4,.500,1,2,.500,2,2,1.000,1,3,4,0,2,0,0,3,7,-11
Isaiah Joe,16:18,2,6,.333,2,4,.500,0,0,,0,1,1,1,0,0,0,0,6,-12
Lindy Waters III,13:38,3,6,.500,3,5,.600,0,0,,0,3,3,1,0,1,0,2,9,-19
Ousmane Dieng,13:30,1,9,.111,1,5,.200,0,0,,0,0,0,2,0,1,1,0,3,-4
Kenrich Williams,13:17,0,2,.000,0,1,.000,0,0,,1,0,1,2,0,0,0,5,0,-18
Olivier Sarr,7:56,3,4,.750,0,0,,2,3,.667,2,1,3,0,0,0,0,0,8,-5
Aleksej Pokusevski,5:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
Jaylin Williams,3:44,0,1,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,0,0,-6
Team Totals,240,38,98,.388,17,47,.362,18,21,.857,12,28,40,23,5,4,10,23,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,3,4,.750,0,0,,2,2,1.000,1,1,2,3,0,1,1,1,8,-17
Jalen Williams,6:52,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,1,1,2,-13
Josh Giddey,4:40,1,3,.333,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-13
Chet Holmgren,6:29,1,4,.250,1,2,.500,1,2,.500,2,1,3,0,0,1,0,1,4,-11
Luguentz Dort,6:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,7:20,2,3,.667,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,0,7,-4
Aaron Wiggins,3:19,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-6
Isaiah Joe,7:20,2,6,.333,2,4,.500,0,0,,0,0,0,1,0,0,0,0,6,-4
Lindy Waters III, 
Ousmane Dieng, 
Kenrich Williams,5:31,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,1,0,-6
Olivier Sarr, 
Aleksej Pokusevski, 
Jaylin Williams, 
Team Totals,60,10,24,.417,5,11,.455,5,6,.833,4,3,7,6,0,2,2,5,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,4:53,3,5,.600,0,0,,0,0,,0,0,0,0,0,0,1,0,6,-2
Jalen Williams,10:02,3,7,.429,1,2,.500,0,0,,1,2,3,5,0,0,0,0,7,+10
Josh Giddey,5:45,0,2,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,0,0,+10
Chet Holmgren,7:15,2,2,1.000,0,0,,2,2,1.000,2,4,6,0,0,0,0,0,6,+14
Luguentz Dort,5:10,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,2,2,3,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,6:47,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-4
Aaron Wiggins,9:45,1,2,.500,1,1,1.000,2,2,1.000,1,2,3,0,1,0,0,1,5,+8
Isaiah Joe,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Lindy Waters III, 
Ousmane Dieng,3:33,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,0
Kenrich Williams,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-3
Olivier Sarr, 
Aleksej Pokusevski, 
Jaylin Williams, 
Team Totals,60,12,25,.480,4,11,.364,4,4,1.000,4,10,14,7,1,0,3,7,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,16:53,6,9,.667,0,0,,2,2,1.000,1,1,2,3,0,1,2,1,14,-19
Jalen Williams,16:54,4,8,.500,1,2,.500,0,0,,1,2,3,6,0,0,1,1,9,-3
Josh Giddey,10:25,1,5,.200,1,3,.333,0,0,,0,1,1,1,0,0,0,0,3,-3
Chet Holmgren,13:44,3,6,.500,1,2,.500,3,4,.750,4,5,9,0,0,1,0,1,10,+3
Luguentz Dort,11:39,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,2,3,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,14:07,3,6,.500,1,4,.250,2,2,1.000,0,1,1,0,0,0,0,1,9,-8
Aaron Wiggins,13:04,1,2,.500,1,1,1.000,2,2,1.000,1,3,4,0,1,0,0,1,5,+2
Isaiah Joe,10:28,2,6,.333,2,4,.500,0,0,,0,0,0,1,0,0,0,0,6,-6
Lindy Waters III, 
Ousmane Dieng,3:33,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,0
Kenrich Williams,9:13,0,2,.000,0,1,.000,0,0,,1,0,1,1,0,0,0,4,0,-9
Olivier Sarr, 
Aleksej Pokusevski, 
Jaylin Williams, 
Team Totals,120,22,49,.449,9,22,.409,9,10,.900,8,13,21,13,1,2,5,12,62,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,3,7,.429,0,0,,5,6,.833,1,3,4,2,0,0,1,0,11,-12
Jalen Williams,7:13,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-8
Josh Giddey,6:10,2,5,.400,2,5,.400,2,2,1.000,0,0,0,0,1,0,0,1,8,-6
Chet Holmgren,8:16,1,1,1.000,1,1,1.000,0,0,,0,3,3,0,0,0,0,3,3,-6
Luguentz Dort,6:10,1,4,.250,0,3,.000,0,0,,0,0,0,1,0,0,0,0,2,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
