,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,39:05,6,13,.462,1,5,.200,3,4,.750,2,5,7,4,1,1,2,4,16,+11
Buddy Hield,36:21,9,16,.563,4,9,.444,1,2,.500,1,4,5,6,4,0,2,3,23,-2
Tyrese Maxey,35:50,11,25,.440,3,7,.429,3,4,.750,0,9,9,7,0,0,2,1,28,-10
Tobias Harris,32:47,4,14,.286,0,2,.000,3,4,.750,1,6,7,3,3,1,4,1,11,-8
Paul Reed,22:22,6,8,.750,0,0,,0,0,,3,4,7,1,0,1,0,3,12,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,29:11,7,13,.538,0,1,.000,5,8,.625,5,5,10,1,0,0,0,2,19,+1
KJ Martin,23:15,2,3,.667,0,0,,0,0,,1,1,2,0,0,1,0,3,4,+18
Cameron Payne,21:09,3,8,.375,0,3,.000,0,1,.000,0,1,1,6,0,0,1,1,6,+14
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,240,48,100,.480,8,27,.296,15,23,.652,13,35,48,28,8,4,11,18,119,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,10:04,3,5,.600,1,3,.333,2,2,1.000,1,2,3,1,0,1,1,1,9,+6
Buddy Hield,7:17,2,2,1.000,2,2,1.000,0,0,,0,1,1,2,0,0,0,0,6,-3
Tyrese Maxey,7:56,0,4,.000,0,1,.000,0,0,,0,4,4,3,0,0,1,1,0,0
Tobias Harris,8:28,1,4,.250,0,1,.000,3,4,.750,0,2,2,1,1,0,2,1,5,+3
Paul Reed,6:20,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,1,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,5:28,2,4,.500,0,1,.000,3,4,.750,1,2,3,0,0,0,0,0,7,+12
KJ Martin,7:36,2,2,1.000,0,0,,0,0,,1,0,1,0,0,1,0,1,4,+11
Cameron Payne,6:51,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0,+9
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,60,11,24,.458,3,9,.333,8,10,.800,3,12,15,8,1,2,5,6,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,8:25,1,2,.500,0,1,.000,1,2,.500,0,1,1,1,1,0,1,1,3,-3
Buddy Hield,10:40,1,4,.250,0,2,.000,0,0,,1,1,2,2,2,0,1,1,2,-5
Tyrese Maxey,7:40,5,8,.625,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,11,-6
Tobias Harris,9:08,1,4,.250,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,-4
Paul Reed,6:27,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,4,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,9:18,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,0,1,2,-4
KJ Martin,3:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Cameron Payne,4:56,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+1
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,60,12,25,.480,1,5,.200,1,2,.500,2,7,9,6,3,0,3,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,18:29,4,7,.571,1,4,.250,3,4,.750,1,3,4,2,1,1,2,2,12,+3
Buddy Hield,17:57,3,6,.500,2,4,.500,0,0,,1,2,3,4,2,0,1,1,8,-8
Tyrese Maxey,15:36,5,12,.417,1,2,.500,0,0,,0,4,4,4,0,0,2,1,11,-6
Tobias Harris,17:36,2,8,.250,0,2,.000,3,4,.750,0,4,4,2,1,0,2,1,7,-1
Paul Reed,12:47,3,3,1.000,0,0,,0,0,,0,2,2,1,0,0,0,2,6,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,14:46,3,7,.429,0,1,.000,3,4,.750,2,4,6,0,0,0,0,1,9,+8
KJ Martin,11:02,2,2,1.000,0,0,,0,0,,1,0,1,0,0,1,0,1,4,+13
Cameron Payne,11:47,1,4,.250,0,1,.000,0,0,,0,0,0,1,0,0,1,1,2,+10
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,120,23,49,.469,4,14,.286,9,12,.750,5,19,24,14,4,2,8,10,59,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,8:36,1,3,.333,0,0,,0,0,,0,0,0,2,0,0,0,1,2,+12
Buddy Hield,8:36,4,6,.667,2,4,.500,0,0,,0,1,1,1,1,0,0,1,10,+12
Tyrese Maxey,8:14,0,2,.000,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,0,2,0
Tobias Harris,8:14,2,5,.400,0,0,,0,0,,1,2,3,1,2,1,1,0,4,0
Paul Reed,6:44,3,4,.750,0,0,,0,0,,3,2,5,0,0,0,0,1,6,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,5:16,1,2,.500,0,0,,1,2,.500,1,0,1,1,0,0,0,1,3,-2
KJ Martin,7:10,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,+2
Cameron Payne,7:10,2,4,.500,0,2,.000,0,1,.000,0,0,0,4,0,0,0,0,4,+2
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,60,13,27,.481,2,7,.286,3,5,.600,5,8,13,10,3,1,1,6,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,12:00,1,3,.333,0,1,.000,0,0,,1,2,3,0,0,0,0,1,2,-4
Buddy Hield,9:48,2,4,.500,0,1,.000,1,2,.500,0,1,1,1,1,0,1,1,5,-6
Tyrese Maxey,12:00,6,11,.545,2,4,.500,1,2,.500,0,3,3,2,0,0,0,0,15,-4
Tobias Harris,6:57,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-7
Paul Reed,2:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,9:09,3,4,.750,0,0,,1,2,.500,2,1,3,0,0,0,0,0,7,-5
KJ Martin,5:03,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Cameron Payne,2:12,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+2
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,60,12,24,.500,2,6,.333,3,6,.500,3,8,11,4,1,1,2,2,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kelly Oubre Jr.,20:36,2,6,.333,0,1,.000,0,0,,1,2,3,2,0,0,0,2,4,+8
Buddy Hield,18:24,6,10,.600,2,5,.400,1,2,.500,0,2,2,2,2,0,1,2,15,+6
Tyrese Maxey,20:14,6,13,.462,2,5,.400,3,4,.750,0,5,5,3,0,0,0,0,17,-4
Tobias Harris,15:11,2,6,.333,0,0,,0,0,,1,2,3,1,2,1,2,0,4,-7
Paul Reed,9:35,3,5,.600,0,0,,0,0,,3,2,5,0,0,1,0,1,6,+10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ricky Council IV,14:25,4,6,.667,0,0,,2,4,.500,3,1,4,1,0,0,0,1,10,-7
KJ Martin,12:13,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,+5
Cameron Payne,9:22,2,4,.500,0,2,.000,0,1,.000,0,1,1,5,0,0,0,0,4,+4
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,120,25,51,.490,4,13,.308,6,11,.545,8,16,24,14,4,2,3,8,60,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kelly Oubre Jr.,39:05,.542,.500,.385,.308,5.5,14.6,9.9,12.1,1.2,2.4,11.9,17.0,113,111,-1.8
Buddy Hield,36:21,.681,.688,.563,.125,2.9,12.6,7.6,21.9,5.1,0.0,10.6,20.6,131,104,9.3
Tyrese Maxey,35:50,.523,.500,.280,.160,0.0,28.7,13.9,28.2,0.0,0.0,7.0,31.8,112,113,1.6
Tobias Harris,32:47,.349,.286,.143,.286,3.3,20.9,11.8,10.4,4.3,2.9,20.2,23.9,71,102,-7.7
Paul Reed,22:22,.750,.750,.000,.000,14.3,20.4,17.3,6.1,0.0,4.2,0.0,14.2,161,111,3.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Ricky Council IV,29:11,.575,.538,.077,.615,18.3,19.6,18.9,4.5,0.0,0.0,0.0,22.4,134,115,0.5
KJ Martin,23:15,.667,.667,.000,.000,4.6,4.9,4.7,0.0,0.0,4.0,0.0,5.1,145,114,-6.0
Cameron Payne,21:09,.355,.375,.375,.125,0.0,5.4,2.6,33.1,0.0,0.0,10.6,17.7,94,117,-7.7
Robert Covington,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Terquavion Smith,Did Not Play
Team Totals,240,.540,.520,.270,.230,28.9,83.3,55.2,58.3,7.8,7.8,9.1,100.0,115.7,109.9,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,39:18,9,14,.643,1,4,.250,2,2,1.000,0,13,13,5,0,1,5,2,21,-2
Kyle Kuzma,37:10,9,17,.529,2,6,.333,1,2,.500,0,3,3,5,0,4,4,5,21,-7
Tyus Jones,30:58,9,14,.643,6,9,.667,1,1,1.000,0,3,3,9,1,0,1,2,25,-5
Jordan Poole,29:17,4,8,.500,2,4,.500,1,2,.500,1,3,4,4,2,0,2,4,11,+3
Marvin Bagley III,14:52,1,7,.143,0,1,.000,0,0,,0,1,1,0,0,2,0,1,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,30:11,3,6,.500,0,1,.000,7,10,.700,3,2,5,1,0,0,3,1,13,-14
Corey Kispert,24:21,2,6,.333,1,4,.250,0,0,,0,2,2,0,0,0,0,1,5,-6
Landry Shamet,19:01,4,7,.571,1,4,.250,0,0,,0,1,1,0,3,0,0,4,9,+12
Eugene Omoruyi,8:13,0,4,.000,0,1,.000,2,2,1.000,2,3,5,0,0,0,0,3,2,-15
Delon Wright,6:39,1,3,.333,0,1,.000,2,2,1.000,1,1,2,4,1,1,0,0,4,+3
Patrick Baldwin Jr.,Did Not Play
Jules Bernard,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Richaun Holmes,Did Not Play
Team Totals,240,42,86,.488,13,35,.371,16,21,.762,7,32,39,28,7,8,15,23,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,9:13,1,2,.500,1,1,1.000,0,0,,0,3,3,0,0,0,2,2,3,-5
Kyle Kuzma,8:55,0,3,.000,0,1,.000,0,0,,0,0,0,2,0,1,0,2,0,-1
Tyus Jones,8:55,4,5,.800,4,5,.800,0,0,,0,1,1,2,1,0,0,0,12,-1
Jordan Poole,9:25,1,3,.333,0,1,.000,1,2,.500,1,1,2,2,1,0,0,1,3,-3
Marvin Bagley III,7:17,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,5:40,1,3,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,2,0,4,-10
Corey Kispert,5:40,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,1,2,-10
Landry Shamet, 
Eugene Omoruyi,4:43,0,4,.000,0,1,.000,2,2,1.000,2,2,4,0,0,0,0,1,2,-10
Delon Wright,0:12,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Patrick Baldwin Jr.,Did Not Play
Jules Bernard,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Richaun Holmes,Did Not Play
Team Totals,60,8,26,.308,5,13,.385,5,6,.833,3,9,12,7,3,2,4,7,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,7:39,1,3,.333,0,1,.000,0,0,,0,4,4,2,0,0,1,0,2,+2
Kyle Kuzma,7:39,3,4,.750,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,7,+2
Tyus Jones,5:33,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,0,0,0,0,3,+3
Jordan Poole,3:37,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,+3
Marvin Bagley III,4:21,1,3,.333,0,0,,0,0,,0,0,0,0,0,1,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,12:00,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,0,1,1,5,+4
Corey Kispert,4:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Landry Shamet,8:23,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,1,5,+1
Eugene Omoruyi, 
Delon Wright,6:27,1,3,.333,0,1,.000,2,2,1.000,1,1,2,3,0,1,0,0,4,+1
Patrick Baldwin Jr.,Did Not Play
Jules Bernard,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Richaun Holmes,Did Not Play
Team Totals,60,12,20,.600,3,6,.500,3,4,.750,1,9,10,9,1,2,4,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,16:52,2,5,.400,1,2,.500,0,0,,0,7,7,2,0,0,3,2,5,-3
Kyle Kuzma,16:34,3,7,.429,1,2,.500,0,0,,0,1,1,3,0,1,1,2,7,+1
Tyus Jones,14:28,5,6,.833,5,6,.833,0,0,,0,1,1,5,1,0,0,0,15,+2
Jordan Poole,13:02,2,4,.500,0,1,.000,1,2,.500,1,1,2,2,1,0,1,2,5,0
Marvin Bagley III,11:38,1,6,.167,0,1,.000,0,0,,0,1,1,0,0,2,0,1,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bilal Coulibaly,17:40,3,5,.600,0,1,.000,3,4,.750,0,2,2,0,0,0,3,1,9,-6
Corey Kispert,10:01,1,3,.333,0,2,.000,0,0,,0,2,2,0,0,0,0,1,2,-8
Landry Shamet,8:23,2,3,.667,1,2,.500,0,0,,0,0,0,0,1,0,0,1,5,+1
Eugene Omoruyi,4:43,0,4,.000,0,1,.000,2,2,1.000,2,2,4,0,0,0,0,1,2,-10
Delon Wright,6:39,1,3,.333,0,1,.000,2,2,1.000,1,1,2,4,1,1,0,0,4,+3
Patrick Baldwin Jr.,Did Not Play
Jules Bernard,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Richaun Holmes,Did Not Play
Team Totals,120,20,46,.435,8,19,.421,8,10,.800,4,18,22,16,4,4,8,11,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,10:26,2,3,.667,0,1,.000,2,2,1.000,0,3,3,0,0,0,2,0,6,-3
Kyle Kuzma,8:36,0,1,.000,0,1,.000,1,2,.500,0,1,1,1,0,2,2,2,1,-12
Tyus Jones,12:00,2,6,.333,1,3,.333,0,0,,0,2,2,2,0,0,1,1,5,-7
Jordan Poole,4:50,2,2,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,1,2,6,-5
Marvin Bagley III,3:14,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
