,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,38:41,11,20,.550,2,6,.333,2,2,1.000,1,9,10,9,0,2,1,1,26,+5
Derrick White,37:55,3,9,.333,0,5,.000,0,0,,0,2,2,4,0,1,1,2,6,+6
Jaylen Brown,37:12,8,16,.500,3,8,.375,1,4,.250,3,6,9,2,0,0,6,1,20,+3
Jrue Holiday,35:27,5,8,.625,5,6,.833,0,0,,1,2,3,6,1,1,0,3,15,+4
Kristaps Porziņģis,31:34,8,14,.571,2,4,.500,7,9,.778,0,9,9,3,0,2,1,4,25,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Al Horford,24:51,1,5,.200,0,2,.000,2,2,1.000,0,5,5,0,0,3,0,1,4,+2
Payton Pritchard,15:19,3,5,.600,2,4,.500,0,0,,1,2,3,2,0,0,0,0,8,-6
Sam Hauser,14:44,2,4,.500,2,4,.500,0,0,,0,0,0,0,0,0,0,1,6,0
Luke Kornet,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Oshae Brissett,2:05,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+4
Svi Mykhailiuk,Did Not Play
Jordan Walsh,Did Not Play
Team Totals,240,41,81,.506,16,39,.410,12,17,.706,6,36,42,27,1,9,9,13,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jayson Tatum,7:51,2,5,.400,0,1,.000,0,0,,1,2,3,0,0,0,0,0,4,+1
Derrick White,12:00,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,1,0,4,+4
Jaylen Brown,12:00,3,7,.429,1,3,.333,0,0,,1,0,1,1,0,0,0,0,7,+4
Jrue Holiday,7:51,0,2,.000,0,0,,0,0,,1,1,2,4,0,0,0,1,0,+1
Kristaps Porziņģis,12:00,5,8,.625,1,3,.333,0,0,,0,6,6,1,0,1,0,0,11,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Al Horford,4:09,0,2,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,+3
Payton Pritchard, 
Sam Hauser,4:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Luke Kornet, 
Oshae Brissett, 
Svi Mykhailiuk,Did Not Play
Jordan Walsh,Did Not Play
Team Totals,60,12,27,.444,2,9,.222,0,0,,3,12,15,7,0,1,1,2,26,
,Basic Box Score Stats
