,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,41:49,9,21,.429,2,5,.400,2,4,.500,1,3,4,9,0,0,4,5,22,-2
Kelly Oubre Jr.,41:02,10,14,.714,2,3,.667,2,2,1.000,1,2,3,1,2,1,0,2,24,+7
Buddy Hield,35:33,9,13,.692,5,8,.625,1,1,1.000,0,4,4,8,1,0,3,6,24,-2
Paul Reed,28:40,6,10,.600,0,1,.000,1,1,1.000,3,5,8,1,2,2,0,1,13,-6
KJ Martin,25:53,5,5,1.000,0,0,,0,0,,3,5,8,1,0,0,2,4,10,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,24:19,4,10,.400,1,3,.333,6,6,1.000,0,2,2,4,0,0,0,1,15,-1
Ricky Council IV,20:38,2,7,.286,0,2,.000,4,5,.800,1,4,5,0,0,0,0,1,8,+5
Mo Bamba,19:01,3,6,.500,1,2,.500,0,0,,2,6,8,1,0,1,1,1,7,+9
Terquavion Smith,3:05,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,+2
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,240,48,88,.545,11,26,.423,16,19,.842,11,31,42,25,5,4,10,22,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,9:01,0,1,.000,0,1,.000,0,0,,0,1,1,5,0,0,3,1,0,-4
Kelly Oubre Jr.,10:35,3,4,.750,1,1,1.000,0,0,,0,0,0,0,1,1,0,0,7,+3
Buddy Hield,11:38,4,5,.800,2,3,.667,0,0,,0,0,0,2,0,0,0,1,10,+1
Paul Reed,7:36,3,4,.750,0,1,.000,1,1,1.000,0,0,0,0,1,0,0,0,7,-2
KJ Martin,5:38,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,6:44,2,3,.667,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,5,+2
Ricky Council IV,4:24,0,1,.000,0,1,.000,1,2,.500,0,1,1,0,0,0,0,0,1,+3
Mo Bamba,4:24,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,1,0,0,2,+3
Terquavion Smith, 
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,60,14,21,.667,4,9,.444,2,3,.667,1,6,7,10,2,2,4,4,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,12:00,5,9,.556,2,4,.500,0,1,.000,0,1,1,3,0,0,0,0,12,+3
Kelly Oubre Jr.,8:55,1,2,.500,0,1,.000,0,0,,1,1,2,1,0,0,0,0,2,+1
Buddy Hield,4:36,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-3
Paul Reed,8:55,1,2,.500,0,0,,0,0,,1,3,4,0,1,1,0,0,2,+1
KJ Martin,6:30,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,6,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,8:04,0,3,.000,0,2,.000,2,2,1.000,0,1,1,2,0,0,0,0,2,+4
Ricky Council IV,4:50,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,0,2,+6
Mo Bamba,3:05,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+2
Terquavion Smith,3:05,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,+2
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,60,13,25,.520,4,11,.364,2,3,.667,3,9,12,7,1,1,0,3,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,21:01,5,10,.500,2,5,.400,0,1,.000,0,2,2,8,0,0,3,1,12,-1
Kelly Oubre Jr.,19:30,4,6,.667,1,2,.500,0,0,,1,1,2,1,1,1,0,0,9,+4
Buddy Hield,16:14,5,6,.833,3,4,.750,0,0,,0,0,0,3,0,0,0,1,13,-2
Paul Reed,16:31,4,6,.667,0,1,.000,1,1,1.000,1,3,4,0,2,1,0,0,9,-1
KJ Martin,12:08,4,4,1.000,0,0,,0,0,,1,3,4,0,0,0,1,3,8,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,14:48,2,6,.333,1,3,.333,2,2,1.000,0,1,1,4,0,0,0,1,7,+6
Ricky Council IV,9:14,1,3,.333,0,1,.000,1,2,.500,0,3,3,0,0,0,0,0,3,+9
Mo Bamba,7:29,2,3,.667,1,2,.500,0,0,,1,2,3,1,0,1,0,0,5,+5
Terquavion Smith,3:05,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,+2
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,120,27,46,.587,8,20,.400,4,6,.667,4,15,19,17,3,3,4,7,66,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,12:00,2,6,.333,0,0,,1,1,1.000,1,1,2,1,0,0,1,1,5,-5
Kelly Oubre Jr.,10:19,3,4,.750,0,0,,0,0,,0,0,0,0,0,0,0,1,6,-2
Buddy Hield,8:12,1,2,.500,0,1,.000,0,0,,0,4,4,3,1,0,1,3,2,-5
Paul Reed,8:48,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,1,4,-5
KJ Martin,5:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,5:29,1,2,.500,0,0,,4,4,1.000,0,1,1,0,0,0,0,0,6,-3
Ricky Council IV,7:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0
Mo Bamba,3:12,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,0
Terquavion Smith, 
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,60,10,22,.455,0,2,.000,5,5,1.000,4,9,13,4,1,0,3,7,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,8:48,2,5,.400,0,0,,1,2,.500,0,0,0,0,0,0,0,3,5,+4
Kelly Oubre Jr.,11:13,3,4,.750,1,1,1.000,2,2,1.000,0,1,1,0,1,0,0,1,9,+5
Buddy Hield,11:07,3,5,.600,2,3,.667,1,1,1.000,0,0,0,2,0,0,2,2,9,+5
Paul Reed,3:21,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,0,0,0,0
KJ Martin,8:45,0,0,,0,0,,0,0,,1,2,3,1,0,0,0,0,0,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Payne,4:02,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Ricky Council IV,4:24,1,2,.500,0,0,,3,3,1.000,1,0,1,0,0,0,0,1,5,-4
Mo Bamba,8:20,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,1,1,2,+4
Terquavion Smith, 
Nicolas Batum,Did Not Dress
Kenneth Lofton Jr.,Did Not Play
Team Totals,60,11,20,.550,3,4,.750,7,8,.875,3,7,10,4,1,1,3,8,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tyrese Maxey,20:48,4,11,.364,0,0,,2,3,.667,1,1,2,1,0,0,1,4,10,-1
Kelly Oubre Jr.,21:32,6,8,.750,1,1,1.000,2,2,1.000,0,1,1,0,1,0,0,2,15,+3
