,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,26:06,4,12,.333,2,6,.333,0,0,,1,3,4,4,1,0,1,0,10,-30
Cam Thomas,25:07,1,9,.111,1,5,.200,2,2,1.000,0,1,1,2,1,0,1,1,5,-35
Nic Claxton,20:43,3,6,.500,0,0,,0,0,,2,6,8,3,0,0,1,0,6,-26
Dennis Schröder,17:50,2,8,.250,0,1,.000,0,0,,0,3,3,1,0,0,1,1,4,-27
Dorian Finney-Smith,14:20,1,4,.250,0,2,.000,2,2,1.000,0,1,1,0,0,0,0,1,4,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trendon Watford,25:33,5,7,.714,2,2,1.000,3,3,1.000,0,2,2,1,0,0,0,4,15,-26
Jalen Wilson,19:18,2,5,.400,0,1,.000,0,0,,0,1,1,2,0,0,0,0,4,-16
Dennis Smith Jr.,18:10,3,7,.429,1,4,.250,0,0,,0,0,0,5,1,0,1,2,7,-19
Cameron Johnson,17:43,1,5,.200,1,3,.333,1,2,.500,0,3,3,2,0,1,1,0,4,-20
Day'Ron Sharpe,13:02,2,2,1.000,1,1,1.000,2,2,1.000,2,1,3,2,1,0,2,2,7,-15
Keon Johnson,12:00,2,5,.400,1,3,.333,4,4,1.000,0,1,1,2,0,0,1,0,9,-4
Keita Bates-Diop,12:00,3,4,.750,1,1,1.000,0,0,,0,1,1,0,1,0,1,0,7,-4
Lonnie Walker IV,10:08,2,7,.286,0,2,.000,0,0,,1,1,2,1,0,0,1,1,4,-14
Noah Clowney,8:00,0,0,,0,0,,0,0,,0,1,1,2,0,0,0,0,0,+1
Team Totals,240,31,81,.383,10,31,.323,14,15,.933,6,25,31,27,5,1,11,12,86,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,9:24,1,6,.167,1,4,.250,0,0,,0,0,0,1,0,0,0,0,3,-11
Cam Thomas,8:25,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,1,1,2,-16
Nic Claxton,5:49,0,1,.000,0,0,,0,0,,0,3,3,1,0,0,0,0,0,-12
Dennis Schröder,5:49,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-12
Dorian Finney-Smith,6:34,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Trendon Watford, 
Jalen Wilson, 
Dennis Smith Jr.,6:11,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-3
Cameron Johnson,6:11,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
