,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,37:59,9,18,.500,0,5,.000,1,2,.500,5,7,12,0,0,2,2,3,19,-20
Trae Young,34:26,4,12,.333,2,8,.250,2,2,1.000,1,1,2,12,0,0,4,4,12,-15
Saddiq Bey,31:39,5,13,.385,2,5,.400,2,2,1.000,3,1,4,1,0,1,1,0,14,-28
Dejounte Murray,31:39,5,15,.333,1,7,.143,2,3,.667,2,5,7,4,1,2,3,2,13,-28
Bruno Fernando,25:49,2,5,.400,0,0,,2,2,1.000,3,9,12,1,1,1,0,5,6,-21
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,28:57,4,9,.444,2,5,.400,2,2,1.000,1,4,5,4,1,0,5,1,12,-2
De'Andre Hunter,28:16,6,12,.500,2,4,.500,7,7,1.000,0,3,3,1,1,0,0,4,21,-4
Garrison Mathews,16:21,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,0,1,0,+5
Kobe Bufkin,2:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-1
Vit Krejci,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,240,36,89,.404,9,38,.237,18,20,.900,15,30,45,23,5,6,16,20,99,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,8:26,4,6,.667,0,1,.000,0,0,,1,2,3,0,0,0,0,2,8,-2
Trae Young,9:11,1,2,.500,1,2,.500,0,0,,0,0,0,4,0,0,0,0,3,+1
Saddiq Bey,8:30,0,3,.000,0,1,.000,2,2,1.000,2,0,2,1,0,0,0,0,2,-5
Dejounte Murray,8:30,1,6,.167,0,3,.000,0,0,,1,2,3,1,1,1,1,0,2,-5
Bruno Fernando,9:14,2,4,.500,0,0,,0,0,,2,3,5,0,0,1,0,1,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:19,1,1,1.000,1,1,1.000,2,2,1.000,0,2,2,2,0,0,0,0,5,+8
De'Andre Hunter,6:19,2,3,.667,1,2,.500,2,2,1.000,0,0,0,1,0,0,0,0,7,+8
Garrison Mathews,3:30,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+7
Kobe Bufkin, 
Vit Krejci, 
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,60,11,25,.440,3,10,.300,6,6,1.000,6,9,15,9,1,2,1,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,9:28,2,5,.400,0,2,.000,1,2,.500,0,2,2,0,0,1,1,0,5,-2
Trae Young,8:54,2,2,1.000,1,1,1.000,0,0,,0,1,1,3,0,0,1,0,5,0
Saddiq Bey,8:17,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Dejounte Murray,8:17,3,5,.600,1,2,.500,1,1,1.000,0,2,2,0,0,1,1,1,8,-7
Bruno Fernando,6:49,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:49,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-9
De'Andre Hunter,7:43,1,3,.333,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,4,-5
Garrison Mathews,3:43,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-1
Kobe Bufkin, 
Vit Krejci, 
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,60,9,19,.474,2,6,.333,4,5,.800,0,8,8,3,0,2,4,4,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,17:54,6,11,.545,0,3,.000,1,2,.500,1,4,5,0,0,1,1,2,13,-4
Trae Young,18:05,3,4,.750,2,3,.667,0,0,,0,1,1,7,0,0,1,0,8,+1
Saddiq Bey,16:47,1,4,.250,0,1,.000,2,2,1.000,2,0,2,1,0,0,0,0,4,-12
Dejounte Murray,16:47,4,11,.364,1,5,.200,1,1,1.000,1,4,5,1,1,2,2,1,10,-12
Bruno Fernando,16:03,2,4,.500,0,0,,0,0,,2,5,7,0,0,1,0,2,4,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,13:08,1,3,.333,1,1,1.000,2,2,1.000,0,2,2,2,0,0,1,0,5,-1
De'Andre Hunter,14:02,3,6,.500,1,2,.500,4,4,1.000,0,1,1,1,0,0,0,1,11,+3
Garrison Mathews,7:13,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+6
Kobe Bufkin, 
Vit Krejci, 
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,120,20,44,.455,5,16,.312,10,11,.909,6,17,23,12,1,4,5,7,55,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,12:00,2,5,.400,0,1,.000,0,0,,2,1,3,0,0,0,1,0,4,-10
Trae Young,8:13,0,5,.000,0,3,.000,0,0,,1,0,1,4,0,0,3,2,0,-12
Saddiq Bey,9:03,4,6,.667,2,2,1.000,0,0,,1,1,2,0,0,1,1,0,10,-4
Dejounte Murray,9:03,1,3,.333,0,1,.000,0,0,,1,1,2,3,0,0,0,1,2,-4
Bruno Fernando,4:25,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,0,2,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,6:44,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,-4
De'Andre Hunter,7:35,2,3,.667,1,2,.500,2,2,1.000,0,0,0,0,0,0,0,2,7,-3
Garrison Mathews,2:57,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-6
Kobe Bufkin, 
Vit Krejci, 
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,60,10,25,.400,3,10,.300,2,2,1.000,6,6,12,7,1,1,5,7,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,8:04,1,2,.500,0,1,.000,0,0,,2,2,4,0,0,1,0,1,2,-6
Trae Young,8:08,1,3,.333,0,2,.000,2,2,1.000,0,0,0,1,0,0,0,2,4,-4
Saddiq Bey,5:49,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-12
Dejounte Murray,5:49,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,0,1,-12
Bruno Fernando,5:21,0,0,,0,0,,2,2,1.000,0,2,2,1,1,0,0,1,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,9:05,2,5,.400,1,4,.250,0,0,,1,1,2,2,0,0,4,1,5,+3
De'Andre Hunter,6:39,1,3,.333,0,0,,1,1,1.000,0,2,2,0,1,0,0,1,3,-4
Garrison Mathews,6:11,0,1,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,+5
Kobe Bufkin,2:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-1
Vit Krejci,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,60,6,20,.300,1,12,.083,6,7,.857,3,7,10,4,3,1,6,6,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,20:04,3,7,.429,0,2,.000,0,0,,4,3,7,0,0,1,1,1,6,-16
Trae Young,16:21,1,8,.125,0,5,.000,2,2,1.000,1,0,1,5,0,0,3,4,4,-16
Saddiq Bey,14:52,4,9,.444,2,4,.500,0,0,,1,1,2,0,0,1,1,0,10,-16
Dejounte Murray,14:52,1,4,.250,0,2,.000,1,2,.500,1,1,2,3,0,0,1,1,3,-16
Bruno Fernando,9:46,0,1,.000,0,0,,2,2,1.000,1,4,5,1,1,0,0,3,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bogdan Bogdanović,15:49,3,6,.500,1,4,.250,0,0,,1,2,3,2,1,0,4,1,7,-1
De'Andre Hunter,14:14,3,6,.500,1,2,.500,3,3,1.000,0,2,2,0,1,0,0,3,10,-7
Garrison Mathews,9:08,0,2,.000,0,2,.000,0,0,,0,0,0,0,1,0,0,0,0,-1
Kobe Bufkin,2:27,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-1
Vit Krejci,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Patty Mills,Did Not Play
Onyeka Okongwu,Did Not Dress
Team Totals,120,16,45,.356,4,22,.182,8,9,.889,9,13,22,11,4,2,11,13,44,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,37:59,.503,.500,.278,.111,12.9,21.1,16.7,0.0,0.0,4.9,9.6,23.2,102,127,-5.0
Trae Young,34:26,.466,.417,.667,.167,2.8,3.3,3.1,55.0,0.0,0.0,23.7,20.7,102,135,-6.2
Saddiq Bey,31:39,.504,.462,.385,.154,9.3,3.6,6.7,5.3,0.0,2.9,6.7,19.8,110,133,-2.7
