,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,36:29,5,17,.294,2,10,.200,7,7,1.000,4,6,10,2,2,0,1,3,19,-1
Alperen Şengün,34:15,8,16,.500,1,2,.500,2,7,.286,3,2,5,6,1,1,1,6,19,-6
Amen Thompson,33:43,9,17,.529,0,0,,1,3,.333,6,6,12,2,2,1,2,6,19,-13
Jabari Smith Jr.,33:20,3,13,.231,0,6,.000,0,0,,1,10,11,1,1,0,2,2,6,-2
Jalen Green,22:42,2,7,.286,0,4,.000,0,0,,0,3,3,3,0,1,0,1,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,30:20,7,13,.538,5,8,.625,0,0,,2,0,2,1,1,0,2,3,19,-14
Jeff Green,16:17,3,7,.429,0,2,.000,4,4,1.000,1,3,4,0,0,0,0,0,10,+2
Jae'Sean Tate,15:21,2,7,.286,1,1,1.000,2,4,.500,4,2,6,1,1,0,1,2,7,-11
Nate Hinton,15:01,3,5,.600,2,3,.667,2,3,.667,1,2,3,2,1,1,0,2,10,+13
Jeenathan Williams,2:32,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-5
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,240,42,102,.412,11,36,.306,18,28,.643,22,34,56,20,9,4,9,25,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,9:51,1,3,.333,0,2,.000,4,4,1.000,1,1,2,1,0,0,0,1,6,-12
Alperen Şengün,9:51,1,5,.200,1,2,.500,1,2,.500,0,0,0,0,0,0,0,0,4,-12
Amen Thompson,8:20,2,4,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,4,-7
Jabari Smith Jr.,8:20,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-7
Jalen Green,9:51,1,3,.333,0,2,.000,0,0,,0,1,1,1,0,0,0,0,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,5:49,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-11
Jeff Green,2:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Jae'Sean Tate,5:49,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,0,0,0,-11
Nate Hinton, 
Jeenathan Williams, 
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,7,22,.318,2,9,.222,5,6,.833,3,6,9,3,1,0,0,2,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,9:28,1,4,.250,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,1,4,+11
Alperen Şengün,7:46,2,4,.500,0,0,,1,4,.250,2,1,3,0,0,1,0,1,5,+12
Amen Thompson,5:46,1,3,.333,0,0,,0,0,,2,2,4,0,1,0,1,1,2,-3
Jabari Smith Jr.,8:06,2,3,.667,0,1,.000,0,0,,0,5,5,0,0,0,1,0,4,+12
Jalen Green,6:37,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,1,0,1,0,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,6:45,0,2,.000,0,1,.000,0,0,,2,0,2,0,1,0,1,1,0,-4
Jeff Green,3:54,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,-6
Jae'Sean Tate,2:51,1,3,.333,0,0,,0,0,,2,0,2,0,0,0,1,1,2,-5
Nate Hinton,6:14,2,2,1.000,1,1,1.000,2,3,.667,0,1,1,2,1,0,0,1,7,+9
Jeenathan Williams,2:32,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-5
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,10,25,.400,1,5,.200,7,11,.636,8,12,20,5,3,2,4,7,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,19:19,2,7,.286,0,3,.000,6,6,1.000,1,3,4,1,0,0,0,2,10,-1
Alperen Şengün,17:37,3,9,.333,1,2,.500,2,6,.333,2,1,3,0,0,1,0,1,9,0
Amen Thompson,14:06,3,7,.429,0,0,,0,0,,4,2,6,0,1,0,1,1,6,-10
Jabari Smith Jr.,16:26,2,5,.400,0,2,.000,0,0,,0,7,7,0,0,0,1,1,4,+5
Jalen Green,16:28,1,5,.200,0,3,.000,0,0,,0,2,2,2,0,1,0,1,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,12:34,2,6,.333,1,3,.333,0,0,,2,0,2,0,1,0,1,1,5,-15
Jeff Green,6:03,1,2,.500,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,4,-9
Jae'Sean Tate,8:40,1,4,.250,0,0,,0,0,,2,1,3,1,1,0,1,1,2,-16
Nate Hinton,6:14,2,2,1.000,1,1,1.000,2,3,.667,0,1,1,2,1,0,0,1,7,+9
Jeenathan Williams,2:32,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-5
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,120,17,47,.362,3,14,.214,12,17,.706,11,18,29,8,4,2,4,9,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,9:34,1,3,.333,0,1,.000,1,1,1.000,1,3,4,1,2,0,0,1,3,+5
Alperen Şengün,5:32,2,3,.667,0,0,,0,1,.000,0,0,0,2,0,0,0,2,4,-2
Amen Thompson,9:34,4,7,.571,0,0,,0,1,.000,2,1,3,2,0,0,0,2,8,+5
Jabari Smith Jr.,8:40,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,+1
Jalen Green,6:14,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,5:46,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,1,1,3,+6
Jeff Green,6:28,0,3,.000,0,2,.000,2,2,1.000,0,2,2,0,0,0,0,0,2,+8
Jae'Sean Tate,5:46,1,3,.333,1,1,1.000,2,4,.500,2,1,3,0,0,0,0,0,5,+6
Nate Hinton,2:26,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+1
Jeenathan Williams, 
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,12,27,.444,3,9,.333,5,9,.556,5,10,15,6,2,0,1,7,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,7:36,2,7,.286,2,6,.333,0,0,,2,0,2,0,0,0,1,0,6,-5
Alperen Şengün,11:04,3,4,.750,0,0,,0,0,,1,1,2,4,1,0,1,3,6,-4
Amen Thompson,10:03,2,3,.667,0,0,,1,2,.500,0,3,3,0,1,1,1,3,5,-8
Jabari Smith Jr.,8:14,0,6,.000,0,3,.000,0,0,,1,2,3,1,1,0,1,0,0,-8
Jalen Green, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Holiday,12:00,4,4,1.000,3,3,1.000,0,0,,0,0,0,1,0,0,0,1,11,-5
Jeff Green,3:46,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,4,+3
Jae'Sean Tate,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Nate Hinton,6:21,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,1,0,1,0,+3
Jeenathan Williams, 
Jock Landale,Did Not Play
Boban Marjanović,Did Not Play
Jermaine Samuels,Did Not Play
Team Totals,60,13,28,.464,5,13,.385,1,2,.500,6,6,12,6,3,2,4,9,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dillon Brooks,17:10,3,10,.300,2,7,.286,1,1,1.000,3,3,6,1,2,0,1,1,9,0
Alperen Şengün,16:36,5,7,.714,0,0,,0,1,.000,1,1,2,6,1,0,1,5,10,-6
Amen Thompson,19:37,6,10,.600,0,0,,1,3,.333,2,4,6,2,1,1,1,5,13,-3
Jabari Smith Jr.,16:54,1,8,.125,0,4,.000,0,0,,1,3,4,1,1,0,1,1,2,-7
Jalen Green,6:14,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,0,0,2,0
