,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,39:54,13,24,.542,6,10,.600,11,13,.846,5,10,15,3,0,1,3,2,43,+14
Tyus Jones,39:32,5,7,.714,4,6,.667,0,0,,0,2,2,15,1,0,2,2,14,0
Jordan Poole,35:06,7,15,.467,5,10,.500,0,0,,2,3,5,6,3,0,4,5,19,+9
Marvin Bagley III,30:05,6,14,.429,1,2,.500,1,2,.500,6,4,10,2,0,2,1,1,14,-1
Bilal Coulibaly,26:38,3,6,.500,0,2,.000,0,0,,0,3,3,1,1,0,4,5,6,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,32:22,7,15,.467,5,10,.500,1,1,1.000,0,4,4,6,1,0,2,5,20,+2
Landry Shamet,16:52,2,8,.250,0,4,.000,4,4,1.000,2,0,2,1,0,0,2,0,8,-15
Richaun Holmes,10:59,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,0,0,2,-7
Eugene Omoruyi,3:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-10
Delon Wright,2:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-14
Jared Butler,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Patrick Baldwin Jr.,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Team Totals,240,44,92,.478,21,45,.467,17,20,.850,15,27,42,35,7,3,19,22,126,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,9:54,2,4,.500,1,2,.500,0,0,,1,2,3,1,0,1,0,0,5,-3
Tyus Jones,8:02,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-6
Jordan Poole,9:32,2,6,.333,1,3,.333,0,0,,1,2,3,1,1,0,3,2,5,+1
Marvin Bagley III,7:14,2,6,.333,0,0,,0,0,,4,0,4,1,0,1,1,0,4,-7
Bilal Coulibaly,8:02,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,2,3,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,6:26,2,3,.667,2,3,.667,0,0,,0,0,0,3,0,0,1,1,6,-5
Landry Shamet,3:58,2,3,.667,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,6,+1
Richaun Holmes,4:46,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,+2
Eugene Omoruyi,2:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Delon Wright, 
Jared Butler, 
Patrick Baldwin Jr.,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Team Totals,60,10,26,.385,4,12,.333,2,2,1.000,6,6,12,8,2,2,7,7,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,9:01,3,4,.750,1,1,1.000,2,3,.667,0,4,4,0,0,0,1,0,9,+11
Tyus Jones,10:45,1,1,1.000,1,1,1.000,0,0,,0,0,0,6,0,0,1,0,3,+5
Jordan Poole,4:57,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,+5
Marvin Bagley III,10:45,3,5,.600,1,1,1.000,0,0,,1,2,3,1,0,0,0,1,7,+5
Bilal Coulibaly,4:59,3,3,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,9:13,2,5,.400,2,4,.500,0,0,,0,1,1,1,0,0,0,2,6,-4
Landry Shamet,4:50,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-8
Richaun Holmes,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Eugene Omoruyi,1:15,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-8
Delon Wright,2:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-14
Jared Butler, 
Patrick Baldwin Jr.,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Team Totals,60,13,22,.591,6,10,.600,2,3,.667,1,8,9,10,0,0,4,4,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,18:55,5,8,.625,2,3,.667,2,3,.667,1,6,7,1,0,1,1,0,14,+8
Tyus Jones,18:47,1,2,.500,1,2,.500,0,0,,0,1,1,7,0,0,1,0,3,-1
Jordan Poole,14:29,3,7,.429,2,4,.500,0,0,,1,2,3,2,1,0,3,2,8,+6
Marvin Bagley III,17:59,5,11,.455,1,1,1.000,0,0,,5,2,7,2,0,1,1,1,11,-2
Bilal Coulibaly,13:01,3,6,.500,0,2,.000,0,0,,0,2,2,1,0,0,2,3,6,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Corey Kispert,15:39,4,8,.500,4,7,.571,0,0,,0,1,1,4,0,0,1,3,12,-9
Landry Shamet,8:48,2,5,.400,0,2,.000,2,2,1.000,0,0,0,0,0,0,1,0,6,-7
Richaun Holmes,6:01,0,0,,0,0,,0,0,,0,0,0,1,1,0,0,0,0,-6
Eugene Omoruyi,3:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-10
Delon Wright,2:59,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-14
Jared Butler, 
Patrick Baldwin Jr.,Did Not Play
Johnny Davis,Did Not Play
Anthony Gill,Did Not Play
Team Totals,120,23,48,.479,10,22,.455,4,5,.800,7,14,21,18,2,2,11,11,60,
