,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,38:00,13,25,.520,1,3,.333,10,13,.769,3,12,15,1,0,2,2,0,37,+24
Austin Reaves,33:40,9,13,.692,3,5,.600,1,1,1.000,0,4,4,7,3,0,3,0,22,+22
Rui Hachimura,33:38,13,19,.684,6,8,.750,4,5,.800,0,2,2,1,0,1,0,0,36,+25
D'Angelo Russell,33:19,4,8,.500,0,1,.000,3,3,1.000,1,8,9,17,1,0,2,4,11,+9
Taurean Prince,32:37,4,8,.500,1,2,.500,2,2,1.000,0,3,3,1,0,1,0,2,11,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,27:37,4,6,.667,2,4,.500,0,0,,0,0,0,4,2,0,1,2,10,+9
Christian Wood,16:14,1,5,.200,0,4,.000,0,0,,1,3,4,1,0,0,1,3,2,+2
Jaxson Hayes,11:40,2,2,1.000,0,0,,0,0,,0,0,0,1,2,0,0,1,4,-2
Dylan Windler,8:21,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,0,0,1,3,-6
Colin Castleton,2:27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Skylar Mays,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,240,52,91,.571,14,31,.452,20,24,.833,5,32,37,34,8,4,9,13,138,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,3,5,.600,0,0,,4,4,1.000,1,3,4,0,0,0,1,0,10,+6
Austin Reaves,9:38,3,6,.500,2,4,.500,0,0,,0,1,1,1,0,0,0,0,8,+5
Rui Hachimura,8:42,4,6,.667,2,4,.500,0,0,,0,1,1,1,0,0,0,0,10,+10
D'Angelo Russell,8:26,2,3,.667,0,0,,0,0,,0,2,2,4,1,0,0,0,4,+5
Taurean Prince,6:34,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,5:56,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,1,0,0,+2
Christian Wood,5:26,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0
Jaxson Hayes, 
Dylan Windler,3:18,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,1,0,-4
Colin Castleton, 
Skylar Mays, 
Team Totals,60,13,28,.464,4,13,.308,4,4,1.000,2,9,11,8,2,0,2,2,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,6:48,2,4,.500,0,0,,2,4,.500,0,1,1,0,0,1,1,0,6,-9
Austin Reaves,7:12,2,2,1.000,0,0,,0,0,,0,0,0,1,1,0,2,0,4,-9
Rui Hachimura,9:12,4,5,.800,0,0,,3,3,1.000,0,0,0,0,0,0,0,0,11,-4
D'Angelo Russell,8:38,1,2,.500,0,0,,3,3,1.000,0,2,2,6,0,0,0,0,5,+1
Taurean Prince,9:24,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,10:58,2,3,.667,1,2,.500,0,0,,0,0,0,1,1,0,0,2,5,-3
Christian Wood, 
Jaxson Hayes,5:12,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,0,0,+4
Dylan Windler,2:36,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Colin Castleton, 
Skylar Mays, 
Team Totals,60,13,18,.722,2,3,.667,8,10,.800,0,3,3,10,4,1,3,2,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,18:48,5,9,.556,0,0,,6,8,.750,1,4,5,0,0,1,2,0,16,-3
Austin Reaves,16:50,5,8,.625,2,4,.500,0,0,,0,1,1,2,1,0,2,0,12,-4
Rui Hachimura,17:54,8,11,.727,2,4,.500,3,3,1.000,0,1,1,1,0,0,0,0,21,+6
D'Angelo Russell,17:04,3,5,.600,0,0,,3,3,1.000,0,4,4,10,1,0,0,0,9,+6
Taurean Prince,15:58,1,4,.250,0,1,.000,0,0,,0,1,1,1,0,0,0,1,2,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,16:54,2,4,.500,1,3,.333,0,0,,0,0,0,3,2,0,1,2,5,-1
Christian Wood,5:26,1,2,.500,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,0
Jaxson Hayes,5:12,0,0,,0,0,,0,0,,0,0,0,1,2,0,0,0,0,+4
Dylan Windler,5:54,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,1,3,+1
Colin Castleton, 
Skylar Mays, 
Team Totals,120,26,46,.565,6,16,.375,12,14,.857,2,12,14,18,6,1,5,4,70,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,6,9,.667,1,2,.500,4,5,.800,2,7,9,0,0,0,0,0,17,+15
Austin Reaves,12:00,2,2,1.000,1,1,1.000,1,1,1.000,0,1,1,5,1,0,1,0,6,+15
Rui Hachimura,10:54,2,5,.400,2,2,1.000,1,2,.500,0,1,1,0,0,1,0,0,7,+8
D'Angelo Russell,6:00,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,1,1,2,+1
Taurean Prince,7:06,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4,+8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,6:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+14
Christian Wood,6:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+14
Jaxson Hayes, 
Dylan Windler, 
Colin Castleton, 
Skylar Mays, 
Team Totals,60,13,22,.591,4,6,.667,8,10,.800,3,10,13,7,1,1,2,2,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,7:12,2,7,.286,0,1,.000,0,0,,0,1,1,1,0,1,0,0,4,+12
Austin Reaves,4:50,2,3,.667,0,0,,0,0,,0,2,2,0,1,0,0,0,4,+11
Rui Hachimura,4:50,3,3,1.000,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,8,+11
D'Angelo Russell,10:15,0,0,,0,0,,0,0,,0,3,3,6,0,0,1,3,0,+2
Taurean Prince,9:33,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,0,5,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,4:43,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-4
Christian Wood,4:48,0,3,.000,0,3,.000,0,0,,0,2,2,0,0,0,1,3,0,-12
Jaxson Hayes,6:28,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-6
Dylan Windler,2:27,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Colin Castleton,2:27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Skylar Mays,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,60,13,23,.565,4,9,.444,0,0,,0,10,10,9,1,2,2,7,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,19:12,8,16,.500,1,3,.333,4,5,.800,2,8,10,1,0,1,0,0,21,+27
Austin Reaves,16:50,4,5,.800,1,1,1.000,1,1,1.000,0,3,3,5,2,0,1,0,10,+26
Rui Hachimura,15:44,5,8,.625,4,4,1.000,1,2,.500,0,1,1,0,0,1,0,0,15,+19
D'Angelo Russell,16:15,1,3,.333,0,1,.000,0,0,,1,4,5,7,0,0,2,4,2,+3
Taurean Prince,16:39,3,4,.750,1,1,1.000,2,2,1.000,0,2,2,0,0,1,0,1,9,+15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,10:43,2,2,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,5,+10
Christian Wood,10:48,0,3,.000,0,3,.000,0,0,,0,2,2,1,0,0,1,3,0,+2
Jaxson Hayes,6:28,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-6
Dylan Windler,2:27,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-7
Colin Castleton,2:27,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-7
Skylar Mays,2:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,120,26,45,.578,8,15,.533,8,10,.800,3,20,23,16,2,3,4,9,68,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anthony Davis,38:00,.602,.540,.120,.520,11.1,32.3,23.4,3.6,0.0,4.5,6.1,37.4,119,115,-2.2
Austin Reaves,33:40,.818,.808,.385,.077,0.0,12.1,7.0,25.5,4.2,0.0,18.2,21.2,136,115,8.3
Rui Hachimura,33:38,.849,.842,.421,.263,0.0,6.1,3.5,4.3,0.0,2.5,0.0,27.4,160,125,10.9
D'Angelo Russell,33:19,.590,.500,.125,.375,4.2,24.5,16.0,53.0,1.4,0.0,17.7,14.8,147,117,4.7
Taurean Prince,32:37,.619,.563,.250,.250,0.0,9.4,5.5,3.2,0.0,2.6,0.0,11.8,127,124,-4.7
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Spencer Dinwiddie,27:37,.833,.833,.667,.000,0.0,0.0,0.0,15.4,3.4,0.0,14.3,11.0,146,121,1.9
Christian Wood,16:14,.200,.200,.800,.000,8.7,18.9,14.6,6.0,0.0,0.0,16.7,16.0,60,122,-18.7
Jaxson Hayes,11:40,1.000,1.000,.000,.000,0.0,0.0,0.0,9.4,8.0,0.0,0.0,7.4,206,110,8.5
Dylan Windler,8:21,.375,.375,1.000,.000,0.0,0.0,0.0,12.4,0.0,0.0,0.0,20.8,88,129,-12.5
Colin Castleton,2:27,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,200,129,4.9
Skylar Mays,2:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-8.8
Team Totals,240,.679,.648,.341,.264,14.7,68.1,45.7,65.4,7.8,7.1,8.1,100.0,134.7,119.1,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,33:41,6,15,.400,2,7,.286,2,2,1.000,2,6,8,1,0,1,2,1,16,-16
Keyonte George,32:59,5,9,.556,3,5,.600,0,0,,0,5,5,7,2,0,2,3,13,-5
John Collins,27:51,5,10,.500,0,3,.000,1,3,.333,3,7,10,2,1,1,2,4,11,-6
Walker Kessler,27:41,6,13,.462,0,1,.000,0,0,,5,2,7,1,0,3,2,4,12,-20
Collin Sexton,26:05,8,15,.533,2,5,.400,0,0,,0,0,0,3,0,2,0,1,18,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,32:29,6,14,.429,3,8,.375,2,2,1.000,0,3,3,5,0,0,4,2,17,-17
Kris Dunn,17:21,5,6,.833,1,2,.500,1,1,1.000,1,0,1,3,1,0,0,3,12,-21
Taylor Hendricks,16:11,4,9,.444,1,6,.167,0,0,,2,3,5,1,0,0,0,2,9,-1
Talen Horton-Tucker,15:54,2,5,.400,1,4,.250,2,2,1.000,1,1,2,4,0,0,1,1,7,-10
Luka Šamanić,2:27,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+7
Brice Sensabaugh,2:27,1,3,.333,0,2,.000,1,1,1.000,0,0,0,0,0,0,0,0,3,+7
Omer Yurtseven,2:27,0,0,,0,0,,1,2,.500,1,1,2,0,0,0,0,0,1,+7
Kira Lewis Jr.,2:27,0,1,.000,0,1,.000,0,0,,0,0,0,2,1,0,0,0,0,+7
Otto Porter Jr.,Did Not Play
Team Totals,240,49,101,.485,14,45,.311,10,13,.769,15,29,44,29,5,7,13,21,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,10:16,2,5,.400,0,1,.000,1,1,1.000,2,4,6,0,0,0,1,0,5,-2
Keyonte George,9:38,3,4,.750,2,3,.667,0,0,,0,1,1,3,1,0,1,0,8,-5
John Collins,8:43,0,3,.000,0,2,.000,0,0,,0,3,3,0,0,0,1,1,0,+1
Walker Kessler,7:48,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,2,2,2,2,-8
Collin Sexton,6:04,2,3,.667,1,1,1.000,0,0,,0,0,0,1,0,1,0,0,5,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,5:56,0,3,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-2
Kris Dunn,5:56,3,4,.750,1,2,.500,1,1,1.000,1,0,1,0,1,0,0,0,8,-2
Taylor Hendricks,3:17,0,3,.000,0,3,.000,0,0,,1,1,2,0,0,0,0,1,0,-7
Talen Horton-Tucker,2:22,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Luka Šamanić, 
Brice Sensabaugh, 
Omer Yurtseven, 
Kira Lewis Jr., 
Otto Porter Jr.,Did Not Play
Team Totals,60,11,28,.393,4,15,.267,2,2,1.000,5,10,15,5,2,3,5,4,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Lauri Markkanen,7:51,3,5,.600,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,1,8,-2
Keyonte George,6:48,0,1,.000,0,0,,0,0,,0,1,1,3,1,0,1,1,0,+9
John Collins,7:51,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,0,0,6,-2
Walker Kessler,4:09,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+7
Collin Sexton,6:48,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,12:00,4,5,.800,3,3,1.000,2,2,1.000,0,0,0,3,0,0,2,1,13,+5
Kris Dunn,5:12,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,2,2,-4
