,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,44:13,7,13,.538,2,5,.400,2,2,1.000,1,11,12,3,0,1,3,2,18,+13
Jalen Brunson,39:23,5,18,.278,0,4,.000,11,11,1.000,0,2,2,12,2,1,7,2,21,+20
Precious Achiuwa,38:13,7,9,.778,1,2,.500,3,7,.429,4,7,11,2,2,1,2,3,18,+15
Donte DiVincenzo,34:38,6,15,.400,4,11,.364,0,0,,0,3,3,3,2,2,2,1,16,+13
Isaiah Hartenstein,10:48,0,0,,0,0,,0,0,,1,1,2,0,1,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bojan Bogdanović,23:33,8,13,.615,6,6,1.000,0,2,.000,0,2,2,0,3,0,0,3,22,+3
Jericho Sims,18:01,1,2,.500,0,0,,2,2,1.000,5,5,10,2,0,1,0,2,4,+5
Miles McBride,17:07,2,4,.500,0,2,.000,0,0,,1,1,2,1,1,0,0,0,4,+2
Alec Burks,13:22,2,5,.400,2,4,.500,1,3,.333,0,1,1,1,0,0,1,0,7,+1
DaQuan Jeffries,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Jacob Toppin,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,
Charlie Brown Jr.,Did Not Play
Team Totals,240,38,79,.481,15,34,.441,19,27,.704,12,33,45,24,11,6,15,13,110,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,10:36,4,5,.800,1,1,1.000,0,0,,1,3,4,1,0,0,0,0,9,+12
Jalen Brunson,12:00,2,6,.333,0,2,.000,1,1,1.000,0,0,0,4,1,0,3,0,5,+11
