,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,38:22,6,13,.462,2,6,.333,6,6,1.000,0,5,5,9,2,0,3,1,20,-1
Jarrett Allen,35:43,10,16,.625,0,0,,4,8,.500,0,9,9,0,0,1,1,3,24,-4
Max Strus,35:14,5,9,.556,2,6,.333,2,3,.667,1,0,1,6,2,1,1,1,14,-7
Isaac Okoro,28:59,5,11,.455,1,3,.333,0,0,,1,1,2,4,0,2,0,1,11,-9
Evan Mobley,26:35,3,8,.375,0,0,,2,6,.333,2,8,10,0,0,1,4,4,8,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,25:08,1,11,.091,0,4,.000,4,4,1.000,1,4,5,4,0,2,1,2,6,+3
Georges Niang,21:10,2,4,.500,2,3,.667,3,4,.750,0,5,5,0,0,0,0,3,9,-6
Sam Merrill,12:19,1,4,.250,1,4,.250,0,0,,0,3,3,0,1,0,0,0,3,0
Dean Wade,11:01,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,1,0,0,0,+6
Craig Porter Jr.,5:28,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,240,34,80,.425,8,27,.296,21,31,.677,5,38,43,24,5,8,10,15,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:18,1,3,.333,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,0,4,-1
Jarrett Allen,8:14,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,0,0,4,+4
Max Strus,9:18,2,2,1.000,2,2,1.000,0,0,,0,0,0,2,0,1,1,0,6,-1
Isaac Okoro,8:14,2,3,.667,0,0,,0,0,,0,0,0,1,0,0,0,0,4,+4
Evan Mobley,8:28,2,4,.500,0,0,,1,2,.500,1,3,4,0,0,1,1,0,5,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,6:28,0,2,.000,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,2,-3
Georges Niang,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Sam Merrill, 
Dean Wade,3:32,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+1
Craig Porter Jr.,2:42,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,9,18,.500,2,3,.667,5,6,.833,1,9,10,5,0,2,3,0,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:14,3,4,.750,1,2,.500,1,1,1.000,0,2,2,3,1,0,1,1,8,+4
Jarrett Allen,9:18,3,6,.500,0,0,,1,4,.250,0,1,1,0,0,0,0,0,7,-2
Max Strus,6:13,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-1
Isaac Okoro,7:50,2,4,.500,1,1,1.000,0,0,,1,1,2,1,0,1,0,0,5,-2
Evan Mobley,4:20,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,5:41,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0
Georges Niang,5:47,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-2
Sam Merrill,5:47,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,-2
Dean Wade,3:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Craig Porter Jr.,2:46,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-7
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,10,22,.455,3,6,.500,2,5,.400,1,8,9,7,2,1,1,4,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,18:32,4,7,.571,1,3,.333,3,3,1.000,0,3,3,4,1,0,2,1,12,+3
Jarrett Allen,17:32,5,9,.556,0,0,,1,4,.250,0,3,3,0,0,0,0,0,11,+2
Max Strus,15:31,2,3,.667,2,3,.667,0,0,,0,0,0,3,0,1,1,0,6,-2
Isaac Okoro,16:04,4,7,.571,1,1,1.000,0,0,,1,1,2,2,0,1,0,0,9,+2
Evan Mobley,12:48,2,5,.400,0,0,,1,2,.500,1,4,5,0,0,1,1,2,5,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,12:09,0,3,.000,0,0,,2,2,1.000,0,1,1,2,0,0,0,0,2,-3
Georges Niang,9:33,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-6
Sam Merrill,5:47,1,2,.500,1,2,.500,0,0,,0,1,1,0,1,0,0,0,3,-2
Dean Wade,6:36,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+1
Craig Porter Jr.,5:28,1,3,.333,0,0,,0,0,,0,0,0,1,0,0,0,0,2,-6
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,120,19,40,.475,5,9,.556,7,11,.636,2,17,19,12,2,3,4,4,50,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,10:09,2,4,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,5,-1
Jarrett Allen,8:34,2,3,.667,0,0,,1,2,.500,0,2,2,0,0,1,0,1,5,-4
Max Strus,10:10,2,2,1.000,0,0,,0,1,.000,1,0,1,3,2,0,0,1,4,-2
Isaac Okoro,6:17,1,4,.250,0,2,.000,0,0,,0,0,0,1,0,1,0,0,2,-6
Evan Mobley,8:19,1,3,.333,0,0,,0,2,.000,0,2,2,0,0,0,1,1,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,5:43,0,3,.000,0,1,.000,2,2,1.000,1,2,3,0,0,2,0,1,2,+5
Georges Niang,2:42,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-1
Sam Merrill,3:41,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,0,0,0,+1
Dean Wade,4:25,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,1,0,0,0,+5
Craig Porter Jr., 
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,8,23,.348,1,9,.111,3,7,.429,2,11,13,5,2,5,2,4,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,9:41,0,2,.000,0,1,.000,3,3,1.000,0,1,1,4,1,0,0,0,3,-3
Jarrett Allen,9:37,3,4,.750,0,0,,2,2,1.000,0,4,4,0,0,0,1,2,8,-2
Max Strus,9:33,1,4,.250,0,3,.000,2,2,1.000,0,0,0,0,0,0,0,0,4,-3
Isaac Okoro,6:38,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-5
Evan Mobley,5:28,0,0,,0,0,,1,2,.500,1,2,3,0,0,0,2,1,1,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Caris LeVert,7:16,1,5,.200,0,3,.000,0,0,,0,1,1,2,0,0,1,1,2,+1
Georges Niang,8:55,2,2,1.000,2,2,1.000,3,4,.750,0,2,2,0,0,0,0,2,9,+1
Sam Merrill,2:51,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Dean Wade, 
Craig Porter Jr., 
Ty Jerome,Not With Team
Damian Jones,Did Not Play
Team Totals,60,7,17,.412,2,9,.222,11,13,.846,1,10,11,7,1,0,4,7,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,19:50,2,6,.333,1,3,.333,3,3,1.000,0,2,2,5,1,0,1,0,8,-4
Jarrett Allen,18:11,5,7,.714,0,0,,3,4,.750,0,6,6,0,0,1,1,3,13,-6
