,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,31:40,6,13,.462,0,2,.000,2,3,.667,0,5,5,3,0,0,5,2,14,0
Paolo Banchero,29:06,5,17,.294,0,2,.000,5,9,.556,0,5,5,3,0,2,0,1,15,+2
Jalen Suggs,26:05,6,7,.857,2,3,.667,0,0,,1,1,2,5,2,2,3,2,14,-3
Gary Harris,25:22,4,6,.667,4,5,.800,0,1,.000,0,3,3,0,1,0,0,3,12,-2
Wendell Carter Jr.,22:29,3,5,.600,2,3,.667,3,4,.750,3,7,10,2,1,0,1,2,11,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,22:29,2,6,.333,1,3,.333,0,0,,0,2,2,0,1,1,0,2,5,+8
Cole Anthony,20:58,5,11,.455,1,2,.500,2,2,1.000,0,3,3,7,1,0,0,2,13,+7
Jonathan Isaac,20:00,5,7,.714,2,2,1.000,0,0,,1,5,6,0,2,1,0,0,12,-3
Moritz Wagner,17:23,6,9,.667,0,0,,2,2,1.000,6,1,7,1,1,0,0,0,14,+7
Joe Ingles,16:20,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,+3
Goga Bitadze,8:08,1,3,.333,0,1,.000,0,0,,2,0,2,2,0,3,0,1,2,+3
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,240,43,87,.494,12,24,.500,14,21,.667,13,33,46,25,9,9,10,15,112,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,9:01,2,3,.667,0,0,,1,1,1.000,0,3,3,2,0,0,3,0,5,+3
Paolo Banchero,9:01,2,6,.333,0,0,,0,1,.000,0,3,3,3,0,0,0,0,4,+3
Jalen Suggs,8:04,4,4,1.000,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,9,+4
Gary Harris,9:01,2,2,1.000,2,2,1.000,0,1,.000,0,1,1,0,0,0,0,1,6,+3
Wendell Carter Jr.,3:52,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,3:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Cole Anthony,2:59,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,0,4,-1
Jonathan Isaac,2:59,0,1,.000,0,0,,0,0,,0,3,3,0,0,1,0,0,0,-1
Moritz Wagner, 
Joe Ingles,2:59,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Goga Bitadze,8:08,1,3,.333,0,1,.000,0,0,,2,0,2,2,0,3,0,1,2,+3
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,60,14,24,.583,3,4,.750,1,3,.333,3,11,14,7,0,4,3,4,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,8:05,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,1,2,+8
Paolo Banchero,6:44,2,6,.333,0,1,.000,2,3,.667,0,2,2,0,0,0,0,1,6,+8
Jalen Suggs,4:28,1,2,.500,0,1,.000,0,0,,0,0,0,2,1,1,0,0,2,+2
Gary Harris,4:06,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,0
Wendell Carter Jr.,3:15,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,7:54,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+8
Cole Anthony,7:32,2,2,1.000,1,1,1.000,0,0,,0,1,1,4,0,0,0,2,5,+6
Jonathan Isaac,5:16,1,1,1.000,0,0,,0,0,,0,1,1,0,1,0,0,0,2,0
Moritz Wagner,8:45,3,3,1.000,0,0,,2,2,1.000,1,1,2,1,1,0,0,0,8,+7
Joe Ingles,3:55,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,0
Goga Bitadze, 
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,60,13,20,.650,3,6,.500,4,5,.800,1,8,9,10,3,1,2,5,33,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,17:06,3,4,.750,0,0,,1,1,1.000,0,4,4,3,0,0,4,1,7,+11
Paolo Banchero,15:45,4,12,.333,0,1,.000,2,4,.500,0,5,5,3,0,0,0,1,10,+11
Jalen Suggs,12:32,5,6,.833,1,2,.500,0,0,,1,0,1,2,1,1,0,1,11,+6
Gary Harris,13:07,3,3,1.000,3,3,1.000,0,1,.000,0,1,1,0,0,0,0,2,9,+3
Wendell Carter Jr.,7:07,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,0,1,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,11:50,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,+6
Cole Anthony,10:31,4,5,.800,1,1,1.000,0,0,,0,1,1,4,0,0,0,2,9,+5
Jonathan Isaac,8:15,1,2,.500,0,0,,0,0,,0,4,4,0,1,1,0,0,2,-1
Moritz Wagner,8:45,3,3,1.000,0,0,,2,2,1.000,1,1,2,1,1,0,0,0,8,+7
Joe Ingles,6:54,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,1,0,0,-1
Goga Bitadze,8:08,1,3,.333,0,1,.000,0,0,,2,0,2,2,0,3,0,1,2,+3
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,120,27,44,.614,6,10,.600,5,8,.625,4,19,23,17,3,5,5,9,65,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,9:17,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,-7
Paolo Banchero,8:04,0,3,.000,0,1,.000,2,2,1.000,0,0,0,0,0,2,0,0,2,-5
Jalen Suggs,9:17,1,1,1.000,1,1,1.000,0,0,,0,1,1,3,1,1,3,0,3,-7
Gary Harris,8:04,1,2,.500,1,1,1.000,0,0,,0,1,1,0,1,0,0,1,3,-5
Wendell Carter Jr.,11:06,2,3,.667,2,3,.667,3,4,.750,2,4,6,1,0,0,1,0,9,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,3:56,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,2,0,0
Cole Anthony,2:43,0,2,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,+2
Jonathan Isaac,3:56,2,2,1.000,0,0,,0,0,,1,1,2,0,1,0,0,0,4,0
Moritz Wagner,0:54,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
Joe Ingles,2:43,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Goga Bitadze, 
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,60,8,21,.381,4,10,.400,5,6,.833,4,9,13,5,4,3,5,3,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,5:17,1,4,.250,0,1,.000,1,2,.500,0,0,0,0,0,0,0,1,3,-4
Paolo Banchero,5:17,1,2,.500,0,0,,1,3,.333,0,0,0,0,0,0,0,0,3,-4
Jalen Suggs,4:16,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2
Gary Harris,4:11,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,0
Wendell Carter Jr.,4:16,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,0,1,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,6:43,0,0,,0,0,,0,0,,0,2,2,0,1,1,0,0,0,+2
Cole Anthony,7:44,1,4,.250,0,0,,2,2,1.000,0,1,1,2,0,0,0,0,4,0
Jonathan Isaac,7:49,2,3,.667,2,2,1.000,0,0,,0,0,0,0,0,0,0,0,6,-2
Moritz Wagner,7:44,3,6,.500,0,0,,0,0,,4,0,4,0,0,0,0,0,6,0
Joe Ingles,6:43,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Goga Bitadze, 
Caleb Houstan,Did Not Play
Chuma Okeke,Did Not Play
Team Totals,60,8,22,.364,2,4,.500,4,7,.571,5,5,10,3,2,1,0,3,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Franz Wagner,14:34,3,9,.333,0,2,.000,1,2,.500,0,1,1,0,0,0,1,1,7,-11
Paolo Banchero,13:21,1,5,.200,0,1,.000,3,5,.600,0,0,0,0,0,2,0,0,5,-9
Jalen Suggs,13:33,1,1,1.000,1,1,1.000,0,0,,0,1,1,3,1,1,3,1,3,-9
Gary Harris,12:15,1,3,.333,1,2,.500,0,0,,0,2,2,0,1,0,0,1,3,-5
Wendell Carter Jr.,15:22,2,4,.500,2,3,.667,3,4,.750,3,5,8,1,1,0,1,1,9,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,10:39,0,3,.000,0,2,.000,0,0,,0,2,2,0,1,1,0,2,0,+2
