,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,36:35,13,23,.565,2,3,.667,8,9,.889,0,5,5,7,3,1,4,2,36,+17
Jalen Williams,36:11,9,22,.409,2,6,.333,2,2,1.000,0,4,4,5,0,0,0,4,22,+8
Chet Holmgren,33:12,11,16,.688,5,8,.625,2,2,1.000,2,6,8,7,1,3,2,3,29,+10
Luguentz Dort,31:32,5,9,.556,4,6,.667,2,2,1.000,0,5,5,2,1,0,0,4,16,+17
Josh Giddey,23:10,1,5,.200,0,0,,0,0,,3,6,9,5,3,1,1,5,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,18:30,2,7,.286,2,5,.400,0,0,,1,1,2,1,0,2,0,0,6,0
Isaiah Joe,16:55,2,5,.400,1,3,.333,0,0,,0,3,3,0,3,0,1,3,5,+11
Aaron Wiggins,15:03,0,2,.000,0,1,.000,0,0,,1,1,2,0,1,1,0,0,0,+10
Gordon Hayward,12:11,0,3,.000,0,0,,0,0,,2,2,4,2,0,0,1,0,0,-4
Jaylin Williams,11:57,2,4,.500,1,3,.333,0,0,,1,4,5,1,0,0,0,0,5,+6
Kenrich Williams,4:44,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-10
Bismack Biyombo,Did Not Play
Lindy Waters III,Did Not Play
Team Totals,240,46,97,.474,17,35,.486,14,15,.933,10,38,48,30,12,8,9,22,123,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,3,7,.429,1,1,1.000,4,4,1.000,0,1,1,1,1,0,2,1,11,-3
Jalen Williams,7:39,2,5,.400,0,1,.000,0,0,,0,1,1,2,0,0,0,1,4,-2
Chet Holmgren,7:32,0,1,.000,0,1,.000,0,0,,0,2,2,2,0,0,1,0,0,-4
Luguentz Dort,11:00,3,4,.750,3,3,1.000,2,2,1.000,0,0,0,1,0,0,0,0,11,-2
Josh Giddey,5:32,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,0,1,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Isaiah Joe,4:28,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,+1
Aaron Wiggins,4:28,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Gordon Hayward, 
Jaylin Williams,6:21,1,2,.500,1,2,.500,0,0,,0,4,4,1,0,0,0,0,3,-6
Kenrich Williams, 
Bismack Biyombo,Did Not Play
Lindy Waters III,Did Not Play
Team Totals,60,10,22,.455,5,9,.556,6,6,1.000,0,11,11,7,2,0,3,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,5:57,3,4,.750,0,0,,1,1,1.000,0,0,0,2,0,0,1,0,7,+8
Jalen Williams,9:27,4,8,.500,0,1,.000,2,2,1.000,0,1,1,1,0,0,0,2,10,-3
Chet Holmgren,7:16,3,4,.750,1,2,.500,0,0,,0,2,2,2,1,1,1,1,7,+8
Luguentz Dort,5:11,0,1,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+8
Josh Giddey,5:06,0,0,,0,0,,0,0,,0,1,1,1,1,0,0,2,0,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,7:05,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,1,0,0,0,-10
Isaiah Joe,3:25,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2
Aaron Wiggins,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+8
Gordon Hayward,6:49,0,2,.000,0,0,,0,0,,2,1,3,0,0,0,0,0,0,-10
