,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,33:06,10,21,.476,4,8,.500,9,12,.750,1,5,6,6,1,2,3,4,33,-13
Josh Green,32:26,6,8,.750,2,3,.667,0,0,,2,3,5,1,2,0,2,1,14,-16
Kyrie Irving,32:09,10,22,.455,3,7,.429,6,6,1.000,0,6,6,2,0,0,1,0,29,-16
P.J. Washington,30:31,1,6,.167,0,3,.000,0,0,,0,6,6,1,2,0,4,3,2,-17
Dereck Lively II,14:29,2,3,.667,0,0,,0,1,.000,1,2,3,0,4,0,0,3,4,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Maxi Kleber,24:30,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,-9
Tim Hardaway Jr.,23:15,4,12,.333,3,6,.500,0,0,,0,3,3,1,0,1,4,0,11,-14
Daniel Gafford,19:28,4,6,.667,0,0,,0,2,.000,3,2,5,0,0,1,0,2,8,-23
Derrick Jones Jr.,14:50,0,0,,0,0,,0,0,,1,2,3,0,0,0,1,0,0,-5
Jaden Hardy,8:14,3,6,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,7,-2
Markieff Morris,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Dwight Powell,3:31,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-2
Team Totals,240,41,87,.471,14,31,.452,15,21,.714,8,30,38,15,9,4,15,13,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,7:41,4,6,.667,1,2,.500,1,2,.500,0,1,1,2,0,0,1,0,10,+5
Josh Green,7:41,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,1,0,0,0,5,+5
Kyrie Irving,9:58,1,5,.200,0,1,.000,4,4,1.000,0,2,2,1,0,0,1,0,6,+1
P.J. Washington,7:41,1,1,1.000,0,0,,0,0,,0,3,3,1,1,0,1,0,2,+5
Dereck Lively II,5:39,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,1,2,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Maxi Kleber,4:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Tim Hardaway Jr.,6:21,1,4,.250,1,3,.333,0,0,,0,0,0,0,0,0,1,0,3,-6
