,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,41:42,11,17,.647,0,0,,0,0,,2,12,14,0,3,2,3,3,22,-2
D'Angelo Russell,36:54,8,14,.571,4,8,.500,0,1,.000,0,3,3,7,1,1,2,2,20,-5
LeBron James,36:47,12,19,.632,3,6,.500,1,4,.250,1,6,7,12,2,1,3,3,28,-8
Austin Reaves,35:26,5,12,.417,2,7,.286,2,2,1.000,0,4,4,4,1,0,2,1,14,-10
Rui Hachimura,26:06,5,9,.556,2,2,1.000,1,1,1.000,0,4,4,0,0,0,0,2,13,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,27:10,3,10,.300,2,6,.333,0,0,,0,1,1,1,0,0,0,0,8,-13
Spencer Dinwiddie,23:26,1,5,.200,1,4,.250,0,0,,0,0,0,2,0,0,0,2,3,-5
Jaxson Hayes,5:33,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-8
Max Christie,5:10,1,2,.500,1,2,.500,0,0,,0,0,0,1,0,0,0,0,3,+4
Skylar Mays,0:53,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Dylan Windler,0:53,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Cam Reddish,Did Not Play
Team Totals,240,47,90,.522,15,35,.429,4,8,.500,3,31,34,28,7,4,10,14,113,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,7:20,1,2,.500,0,0,,0,0,,0,2,2,0,0,1,1,2,2,-7
D'Angelo Russell,9:12,2,3,.667,1,1,1.000,0,1,.000,0,1,1,2,0,0,1,0,5,-5
LeBron James,9:05,3,4,.750,0,1,.000,1,2,.500,0,2,2,1,0,1,2,0,7,-18
Austin Reaves,8:54,1,2,.500,0,1,.000,2,2,1.000,0,1,1,2,0,0,1,0,4,-15
Rui Hachimura,9:01,3,6,.500,2,2,1.000,0,0,,0,1,1,0,0,0,0,2,8,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,5:54,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-14
Spencer Dinwiddie,5:54,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,-14
Jaxson Hayes,4:40,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Max Christie, 
Skylar Mays, 
Dylan Windler, 
Cam Reddish,Did Not Play
Team Totals,60,11,20,.550,3,6,.500,3,5,.600,0,7,7,7,0,2,5,6,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,12:00,1,2,.500,0,0,,0,0,,0,3,3,0,1,1,0,0,2,+8
D'Angelo Russell,8:55,5,6,.833,3,4,.750,0,0,,0,1,1,1,0,0,0,0,13,+5
LeBron James,10:21,3,3,1.000,0,0,,0,2,.000,0,0,0,6,0,0,0,0,6,+13
Austin Reaves,7:46,1,4,.250,0,2,.000,0,0,,0,3,3,1,1,0,1,0,2,+5
Rui Hachimura,4:44,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,8:58,2,5,.400,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,+1
Spencer Dinwiddie,7:16,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,3,+10
Jaxson Hayes, 
Max Christie, 
Skylar Mays, 
Dylan Windler, 
Cam Reddish,Did Not Play
Team Totals,60,14,23,.609,6,12,.500,1,3,.333,0,7,7,8,2,1,1,1,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,19:20,2,4,.500,0,0,,0,0,,0,5,5,0,1,2,1,2,4,+1
D'Angelo Russell,18:07,7,9,.778,4,5,.800,0,1,.000,0,2,2,3,0,0,1,0,18,0
LeBron James,19:26,6,7,.857,0,1,.000,1,4,.250,0,2,2,7,0,1,2,0,13,-5
Austin Reaves,16:40,2,6,.333,0,3,.000,2,2,1.000,0,4,4,3,1,0,2,0,6,-10
Rui Hachimura,13:45,4,7,.571,2,2,1.000,1,1,1.000,0,1,1,0,0,0,0,2,11,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Taurean Prince,14:52,3,7,.429,2,5,.400,0,0,,0,0,0,0,0,0,0,0,8,-13
Spencer Dinwiddie,13:10,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,0,2,3,-4
Jaxson Hayes,4:40,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
Max Christie, 
Skylar Mays, 
Dylan Windler, 
Cam Reddish,Did Not Play
Team Totals,120,25,43,.581,9,18,.500,4,8,.500,0,14,14,15,2,3,6,7,63,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis,11:15,5,9,.556,0,0,,0,0,,2,2,4,0,0,0,1,0,10,+4
D'Angelo Russell,7:40,1,3,.333,0,1,.000,0,0,,0,1,1,1,1,0,0,1,2,+2
