,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,30:43,4,10,.400,1,7,.143,2,4,.500,0,3,3,2,2,0,1,1,11,+22
Cam Thomas,29:02,5,14,.357,3,5,.600,1,2,.500,1,2,3,5,1,0,0,1,14,+11
Dennis Schröder,26:23,7,12,.583,3,4,.750,1,2,.500,0,2,2,5,0,0,4,2,18,+18
Dorian Finney-Smith,24:50,6,10,.600,1,4,.250,0,0,,4,5,9,4,0,1,0,4,13,+23
Nic Claxton,21:18,5,5,1.000,0,0,,0,0,,0,4,4,3,1,3,1,4,10,+13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Johnson,24:59,5,9,.556,2,6,.333,0,0,,0,2,2,3,1,0,1,3,12,+13
Lonnie Walker IV,18:46,4,11,.364,3,8,.375,2,2,1.000,0,6,6,2,0,0,0,0,13,+16
Day'Ron Sharpe,15:09,4,7,.571,0,1,.000,0,0,,3,5,8,2,0,0,1,2,8,+1
Ben Simmons,14:10,2,2,1.000,0,0,,0,0,,2,4,6,3,0,0,0,3,4,+4
Dennis Smith Jr.,13:49,0,3,.000,0,1,.000,0,2,.000,2,0,2,3,0,0,0,2,0,+5
Jalen Wilson,7:23,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,+1
Trendon Watford,7:07,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,2,3,-1
Keita Bates-Diop,6:21,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,1,0,0,2,-1
Team Totals,240,44,90,.489,15,42,.357,8,14,.571,12,34,46,32,5,5,8,24,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,9:22,2,4,.500,1,3,.333,0,0,,0,0,0,1,1,0,0,0,5,+11
Cam Thomas,8:06,1,5,.200,1,2,.500,0,0,,0,1,1,3,1,0,0,0,3,+9
Dennis Schröder,9:18,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,2,0,2,+9
Dorian Finney-Smith,8:18,2,4,.500,0,1,.000,0,0,,2,3,5,3,0,0,0,0,4,+9
Nic Claxton,6:48,2,2,1.000,0,0,,0,0,,0,2,2,1,1,1,0,1,4,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cameron Johnson,6:24,2,2,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,1,5,+6
Lonnie Walker IV,2:42,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,+3
Day'Ron Sharpe,2:30,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Ben Simmons,2:38,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+1
Dennis Smith Jr.,3:54,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+3
Jalen Wilson, 
Trendon Watford, 
Keita Bates-Diop, 
Team Totals,60,13,24,.542,4,8,.500,0,0,,3,10,13,11,3,1,2,3,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Mikal Bridges,7:08,1,2,.500,0,1,.000,2,2,1.000,0,0,0,1,1,0,1,0,4,+15
Cam Thomas,8:46,2,4,.500,0,0,,1,2,.500,1,0,1,0,0,0,0,0,5,+2
Dennis Schröder,7:25,3,5,.600,3,3,1.000,1,2,.500,0,1,1,3,0,0,0,1,10,+13
