,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,36:03,10,19,.526,5,7,.714,7,8,.875,2,3,5,8,0,2,5,1,32,+3
Ausar Thompson,35:37,3,5,.600,1,3,.333,0,2,.000,0,4,4,3,3,0,4,3,7,+3
Simone Fontecchio,32:58,5,9,.556,2,5,.400,0,0,,0,3,3,1,0,0,2,1,12,-2
Jalen Duren,31:20,4,11,.364,0,0,,3,4,.750,5,11,16,4,1,1,0,2,11,+3
Jaden Ivey,24:02,3,10,.300,1,4,.250,7,7,1.000,1,1,2,3,1,0,1,1,14,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Quentin Grimes,23:58,4,9,.444,3,6,.500,3,3,1.000,0,3,3,2,1,3,2,2,14,-6
Evan Fournier,19:37,3,5,.600,1,3,.333,0,0,,0,0,0,1,2,0,2,3,7,-1
James Wiseman,16:40,2,4,.500,0,0,,0,0,,2,4,6,1,1,0,1,1,4,-5
Malachi Flynn,11:57,3,6,.500,1,2,.500,1,2,.500,0,3,3,2,0,0,0,1,8,-5
Tosan Evbuomwan,7:48,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Troy Brown Jr.,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Isaiah Stewart,Not With Team
Team Totals,240,38,79,.481,14,30,.467,21,26,.808,10,32,42,25,9,6,17,15,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,9:20,4,4,1.000,2,2,1.000,0,0,,1,0,1,2,0,0,1,0,10,+1
Ausar Thompson,9:20,1,2,.500,0,1,.000,0,2,.000,0,1,1,1,0,0,0,1,2,+1
Simone Fontecchio,9:56,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,-2
Jalen Duren,7:58,0,3,.000,0,0,,0,0,,2,1,3,0,0,1,0,0,0,-1
Jaden Ivey,6:57,2,7,.286,1,3,.333,2,2,1.000,1,1,2,2,1,0,0,0,7,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Quentin Grimes,5:03,0,0,,0,0,,0,0,,0,0,0,1,0,2,0,0,0,-5
Evan Fournier,2:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-3
James Wiseman,4:02,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,1,1,2,-1
Malachi Flynn,2:40,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,1,2,-3
Tosan Evbuomwan,2:04,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Troy Brown Jr.,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Isaiah Stewart,Not With Team
Team Totals,60,11,21,.524,3,7,.429,2,4,.500,4,7,11,6,1,3,4,4,27,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
