,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,33:30,5,15,.333,4,9,.444,0,0,,0,1,1,6,0,0,2,1,14,-14
Collin Sexton,29:17,8,16,.500,3,6,.500,3,5,.600,0,1,1,3,6,0,3,2,22,-18
Taylor Hendricks,28:38,3,8,.375,2,4,.500,0,0,,0,8,8,1,2,0,0,3,8,-9
Lauri Markkanen,26:03,4,13,.308,0,6,.000,3,4,.750,2,2,4,0,0,0,2,0,11,-23
John Collins,22:23,2,8,.250,0,3,.000,1,1,1.000,3,7,10,2,0,1,5,4,5,-20
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,29:51,6,8,.750,0,0,,2,2,1.000,4,8,12,0,1,2,1,0,14,-13
Jordan Clarkson,27:00,2,10,.200,0,3,.000,2,2,1.000,1,0,1,8,1,0,1,1,6,-11
Brice Sensabaugh,17:24,2,5,.400,2,4,.500,0,0,,0,1,1,0,0,0,1,3,6,-9
Kris Dunn,15:47,1,5,.200,0,1,.000,0,0,,0,2,2,3,0,0,2,1,2,-11
Talen Horton-Tucker,10:07,2,6,.333,0,2,.000,5,5,1.000,2,1,3,1,1,1,0,0,9,-7
Kira Lewis Jr.,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,35,94,.372,11,38,.289,16,19,.842,12,31,43,24,11,4,17,15,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,8:51,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,2,0,0,-6
Collin Sexton,5:48,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,1,0,2,-11
Taylor Hendricks,8:51,2,3,.667,1,2,.500,0,0,,0,3,3,0,1,0,0,1,5,-6
Lauri Markkanen,8:57,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,0,0,0,2,-13
John Collins,5:48,0,2,.000,0,2,.000,0,0,,0,4,4,0,0,0,4,0,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,6:12,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,0,0,4,+3
Jordan Clarkson,6:12,1,4,.250,0,1,.000,0,0,,0,0,0,4,0,0,0,1,2,+3
Brice Sensabaugh,3:09,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-2
Kris Dunn,6:12,0,3,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+3
Talen Horton-Tucker, 
Kira Lewis Jr.,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,8,23,.348,2,10,.200,0,0,,1,12,13,5,1,0,7,3,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,7:33,1,4,.250,0,2,.000,0,0,,0,0,0,2,0,0,0,1,2,-4
Collin Sexton,9:41,4,5,.800,1,2,.500,1,1,1.000,0,0,0,0,4,0,1,2,10,-1
Taylor Hendricks,3:58,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,-1
Lauri Markkanen,8:02,3,4,.750,0,0,,2,3,.667,1,0,1,0,0,0,1,0,8,-2
John Collins,5:18,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,1,2,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,6:42,1,2,.500,0,0,,2,2,1.000,2,4,6,0,0,1,0,0,4,-1
Jordan Clarkson,11:37,1,5,.200,0,2,.000,0,0,,0,0,0,2,1,0,0,0,2,0
Brice Sensabaugh,4:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Kris Dunn,2:42,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,-5
Talen Horton-Tucker, 
Kira Lewis Jr.,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,10,22,.455,1,7,.143,5,6,.833,3,7,10,7,5,2,4,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Keyonte George,16:24,1,5,.200,0,2,.000,0,0,,0,0,0,3,0,0,2,1,2,-10
Collin Sexton,15:29,5,8,.625,1,3,.333,1,1,1.000,0,0,0,0,4,0,2,2,12,-12
Taylor Hendricks,12:49,2,3,.667,1,2,.500,0,0,,0,4,4,1,1,0,0,1,5,-7
Lauri Markkanen,16:59,4,8,.500,0,2,.000,2,3,.667,1,2,3,0,0,0,1,0,10,-15
John Collins,11:06,0,4,.000,0,3,.000,0,0,,0,6,6,0,0,1,5,2,0,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Walker Kessler,12:54,3,4,.750,0,0,,2,2,1.000,3,6,9,0,0,1,0,0,8,+2
Jordan Clarkson,17:49,2,9,.222,0,3,.000,0,0,,0,0,0,6,1,0,0,1,4,+3
Brice Sensabaugh,7:36,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-1
Kris Dunn,8:54,0,3,.000,0,1,.000,0,0,,0,1,1,2,0,0,1,0,0,-2
Talen Horton-Tucker, 
Kira Lewis Jr.,Did Not Play
Luka Šamanić,Did Not Play
Omer Yurtseven,Did Not Play
