,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,36:05,9,13,.692,3,5,.600,5,7,.714,1,4,5,5,0,1,3,0,26,+23
Ausar Thompson,34:58,5,8,.625,2,4,.500,1,2,.500,0,8,8,3,0,1,1,4,13,+14
Isaiah Stewart,34:12,4,9,.444,2,6,.333,1,2,.500,1,8,9,0,0,1,2,2,11,+24
Jaden Ivey,33:47,4,7,.571,1,3,.333,6,8,.750,0,2,2,5,1,1,4,3,15,+24
Jalen Duren,31:18,5,9,.556,0,0,,4,4,1.000,2,8,10,5,1,3,5,4,14,+24
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,21:19,6,12,.500,5,9,.556,0,0,,2,1,3,1,1,0,0,0,17,-13
James Wiseman,16:42,1,2,.500,0,0,,0,0,,2,3,5,0,0,0,0,5,2,-14
Quentin Grimes,14:13,0,5,.000,0,5,.000,0,0,,0,3,3,2,0,0,1,1,0,-14
Malachi Flynn,11:55,3,8,.375,1,4,.250,0,0,,0,2,2,1,0,0,2,0,7,-13
Evan Fournier,5:31,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-5
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,240,37,75,.493,14,37,.378,17,23,.739,8,39,47,22,3,8,18,19,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,9:17,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4,+1
Ausar Thompson,10:04,2,3,.667,0,0,,0,0,,0,2,2,0,0,0,1,1,4,-4
Isaiah Stewart,7:39,1,4,.250,0,3,.000,0,0,,0,2,2,0,0,1,0,2,2,+2
Jaden Ivey,7:39,0,1,.000,0,1,.000,0,0,,0,0,0,3,0,0,1,0,0,+2
Jalen Duren,4:07,1,1,1.000,0,0,,0,0,,0,0,0,2,1,0,1,2,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,4:21,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-9
James Wiseman,7:53,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,0,2,-9
Quentin Grimes,4:21,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,1,1,0,-9
Malachi Flynn,2:43,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,-8
Evan Fournier,1:56,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,10,22,.455,2,9,.222,0,0,,1,6,7,7,1,1,4,6,22,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,8:25,3,4,.750,1,1,1.000,0,0,,0,0,0,2,0,0,0,0,7,+4
Ausar Thompson,6:03,0,0,,0,0,,1,2,.500,0,2,2,2,0,0,0,1,1,+5
Isaiah Stewart,8:25,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,0,0,+4
Jaden Ivey,9:51,4,4,1.000,1,1,1.000,2,3,.667,0,1,1,0,0,0,2,2,11,+4
Jalen Duren,9:51,2,3,.667,0,0,,2,2,1.000,1,3,4,1,0,1,1,0,6,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,5:57,1,2,.500,1,2,.500,0,0,,0,0,0,0,1,0,0,0,3,-3
James Wiseman,2:09,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-2
Quentin Grimes,2:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Malachi Flynn,3:35,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2
Evan Fournier,3:35,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-2
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,10,16,.625,3,6,.500,5,7,.714,1,9,10,6,1,2,5,5,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,17:42,5,7,.714,1,1,1.000,0,0,,1,0,1,3,0,0,0,0,11,+5
Ausar Thompson,16:07,2,3,.667,0,0,,1,2,.500,0,4,4,2,0,0,1,2,5,+1
Isaiah Stewart,16:04,1,5,.200,0,4,.000,0,0,,0,3,3,0,0,1,1,2,2,+6
Jaden Ivey,17:30,4,5,.800,1,2,.500,2,3,.667,0,1,1,3,0,0,3,2,11,+6
Jalen Duren,13:58,3,4,.750,0,0,,2,2,1.000,1,3,4,3,1,1,2,2,8,+6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,10:18,2,4,.500,2,3,.667,0,0,,0,0,0,0,1,0,0,0,6,-12
James Wiseman,10:02,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,2,2,-11
Quentin Grimes,6:30,0,3,.000,0,3,.000,0,0,,0,0,0,1,0,0,1,1,0,-11
Malachi Flynn,6:18,2,3,.667,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,5,-10
Evan Fournier,5:31,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-5
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,120,20,38,.526,5,15,.333,5,7,.714,2,15,17,13,2,3,9,11,50,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,10:54,3,4,.750,1,2,.500,0,0,,0,1,1,1,0,1,3,0,7,+9
Ausar Thompson,9:07,2,3,.667,1,2,.500,0,0,,0,2,2,1,0,0,0,2,5,+9
Isaiah Stewart,10:54,3,4,.750,2,2,1.000,1,2,.500,0,5,5,0,0,0,1,0,9,+9
Jaden Ivey,8:48,0,1,.000,0,0,,4,5,.800,0,1,1,2,1,1,1,0,4,+9
Jalen Duren,9:51,2,3,.667,0,0,,0,0,,0,3,3,0,0,2,0,1,4,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,3:59,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
James Wiseman,2:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Quentin Grimes,3:12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Malachi Flynn,1:06,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
Evan Fournier, 
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,10,16,.625,4,7,.571,5,7,.714,0,13,13,5,1,4,5,3,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,7:29,1,2,.500,1,2,.500,5,7,.714,0,3,3,1,0,0,0,0,8,+9
Ausar Thompson,9:44,1,2,.500,1,2,.500,0,0,,0,2,2,0,0,1,0,0,3,+4
Isaiah Stewart,7:14,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+9
Jaden Ivey,7:29,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+9
Jalen Duren,7:29,0,2,.000,0,0,,2,2,1.000,1,2,3,2,0,0,3,1,2,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,7:02,4,8,.500,3,6,.500,0,0,,2,1,3,0,0,0,0,0,11,+3
James Wiseman,4:31,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,3,0,-1
Quentin Grimes,4:31,0,2,.000,0,2,.000,0,0,,0,2,2,1,0,0,0,0,0,-1
Malachi Flynn,4:31,1,4,.250,0,2,.000,0,0,,0,1,1,0,0,0,1,0,2,-1
Evan Fournier, 
Troy Brown Jr.,Did Not Play
Tosan Evbuomwan,Did Not Play
Shake Milton,Did Not Play
Mike Muscala,Did Not Play
Team Totals,60,7,21,.333,5,15,.333,7,9,.778,6,11,17,4,0,1,4,5,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cade Cunningham,18:23,4,6,.667,2,4,.500,5,7,.714,0,4,4,2,0,1,3,0,15,+18
Ausar Thompson,18:51,3,5,.600,2,4,.500,0,0,,0,4,4,1,0,1,0,2,8,+13
Isaiah Stewart,18:08,3,4,.750,2,2,1.000,1,2,.500,1,5,6,0,0,0,1,0,9,+18
Jaden Ivey,16:17,0,2,.000,0,1,.000,4,5,.800,0,1,1,2,1,1,1,1,4,+18
Jalen Duren,17:20,2,5,.400,0,0,,2,2,1.000,1,5,6,2,0,2,3,2,6,+18
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Simone Fontecchio,11:01,4,8,.500,3,6,.500,0,0,,2,1,3,1,0,0,0,0,11,-1
James Wiseman,6:40,0,0,,0,0,,0,0,,2,0,2,0,0,0,0,3,0,-3
