,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,37:01,13,21,.619,7,12,.583,1,1,1.000,1,5,6,8,0,2,3,2,34,+11
Anthony Davis,36:05,8,15,.533,0,2,.000,4,5,.800,3,9,12,2,2,3,2,2,20,-4
Austin Reaves,35:50,6,11,.545,1,4,.250,0,0,,1,7,8,5,1,0,1,1,13,-5
D'Angelo Russell,34:22,6,10,.600,3,6,.500,3,4,.750,0,2,2,6,0,0,3,0,18,+8
Rui Hachimura,29:27,8,15,.533,1,5,.200,0,0,,1,1,2,0,1,0,2,2,17,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,19:59,3,6,.500,1,4,.250,0,0,,0,2,2,6,0,0,2,0,7,-3
Cam Reddish,19:37,2,4,.500,1,2,.500,0,0,,1,2,3,0,1,0,0,2,5,+5
Taurean Prince,16:56,1,4,.250,0,1,.000,0,0,,1,1,2,1,1,0,2,2,2,+3
Jaxson Hayes,10:37,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+6
Max Christie,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
Team Totals,240,47,86,.547,14,36,.389,8,10,.800,8,31,39,28,6,5,15,12,116,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
LeBron James,8:59,3,3,1.000,0,0,,1,1,1.000,0,2,2,3,0,1,1,1,7,0
Anthony Davis,10:42,4,8,.500,0,1,.000,0,1,.000,0,1,1,1,1,2,1,2,8,-3
Austin Reaves,9:33,3,4,.750,1,1,1.000,0,0,,1,3,4,2,0,0,0,0,7,-2
D'Angelo Russell,8:04,1,3,.333,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,-3
Rui Hachimura,7:41,2,4,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,1,4,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,6:17,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+5
Cam Reddish,4:19,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
Taurean Prince,4:19,0,0,,0,0,,0,0,,1,1,2,0,0,0,1,1,0,+1
Jaxson Hayes, 
Max Christie,0:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
