,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,35:37,11,23,.478,1,8,.125,7,9,.778,1,10,11,16,2,0,5,3,30,+11
Kyrie Irving,35:28,11,20,.550,2,6,.333,5,5,1.000,0,1,1,3,2,1,1,4,29,0
P.J. Washington,31:29,9,16,.563,5,10,.500,0,0,,2,4,6,0,0,3,2,1,23,-2
Josh Green,30:54,2,4,.500,1,3,.333,0,0,,2,5,7,1,0,0,2,1,5,+1
Dereck Lively II,23:24,4,4,1.000,0,0,,1,2,.500,1,3,4,1,2,5,0,1,9,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,25:06,5,13,.385,4,10,.400,2,2,1.000,0,4,4,4,0,0,0,3,16,+14
Daniel Gafford,24:36,6,7,.857,0,0,,1,1,1.000,4,3,7,1,1,1,4,4,13,+11
Dante Exum,16:41,1,2,.500,1,1,1.000,1,2,.500,0,3,3,5,0,0,0,2,4,+6
Derrick Jones Jr.,15:27,2,5,.400,1,4,.250,0,0,,0,6,6,1,0,0,0,1,5,+16
A.J. Lawson,0:39,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,-1
Olivier-Maxence Prosper,0:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
Jaden Hardy,Did Not Play
Markieff Morris,Did Not Play
Dwight Powell,Did Not Play
Team Totals,240,52,96,.542,15,43,.349,17,21,.810,11,39,50,32,7,10,14,20,136,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Luka Dončić,10:15,2,7,.286,0,3,.000,2,3,.667,0,2,2,6,0,0,3,0,6,+3
Kyrie Irving,7:30,2,2,1.000,0,0,,0,0,,0,0,0,1,1,1,0,1,4,-1
P.J. Washington,9:10,5,6,.833,3,3,1.000,0,0,,1,3,4,0,0,2,1,1,13,0
Josh Green,7:47,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-5
Dereck Lively II,5:45,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Tim Hardaway Jr.,6:15,1,4,.250,1,4,.250,2,2,1.000,0,1,1,1,0,0,0,1,5,+2
Daniel Gafford,6:15,4,5,.800,0,0,,0,0,,3,0,3,0,1,0,0,0,8,+2
Dante Exum,4:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+7
Derrick Jones Jr.,2:50,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
A.J. Lawson, 
