,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,32:38,5,12,.417,1,4,.250,3,4,.750,1,4,5,0,0,2,2,1,14,-38
Bogdan Bogdanović,32:18,4,13,.308,1,5,.200,2,2,1.000,0,3,3,3,0,0,0,2,11,-31
Dejounte Murray,31:50,11,19,.579,2,5,.400,4,7,.571,0,6,6,5,0,0,2,1,28,-22
Saddiq Bey,30:02,2,9,.222,0,2,.000,2,2,1.000,3,2,5,3,0,0,0,1,6,-2
Clint Capela,21:09,3,4,.750,0,0,,1,1,1.000,2,4,6,1,0,4,4,4,7,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Andre Hunter,25:46,4,8,.500,1,3,.333,3,4,.750,0,0,0,0,1,0,0,1,12,-8
Kobe Bufkin,18:40,5,11,.455,2,5,.400,0,0,,0,3,3,3,0,0,2,1,12,0
Bruno Fernando,18:06,1,3,.333,0,0,,0,0,,1,2,3,1,2,0,1,2,2,-18
Wesley Matthews,13:34,2,2,1.000,1,1,1.000,0,1,.000,0,5,5,0,0,2,0,1,5,-3
Garrison Mathews,10:46,0,4,.000,0,3,.000,0,0,,1,2,3,1,0,0,0,0,0,+3
Trent Forrest,5:11,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-2
Onyeka Okongwu,Not With Team
Team Totals,240,37,86,.430,8,28,.286,15,21,.714,8,31,39,18,3,8,11,14,97,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Johnson,8:42,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-24
Bogdan Bogdanović,7:26,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,0,0,1,0,-19
Dejounte Murray,9:18,3,7,.429,0,1,.000,0,0,,0,0,0,0,0,0,0,0,6,-13
