,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,34:05,5,14,.357,3,6,.500,4,5,.800,1,5,6,2,2,0,2,2,17,+15
Giannis Antetokounmpo,33:27,10,15,.667,2,2,1.000,2,3,.667,2,8,10,5,0,0,1,3,24,+16
Malik Beasley,28:05,7,12,.583,5,9,.556,0,0,,0,2,2,0,0,0,0,1,19,+18
Brook Lopez,24:35,3,9,.333,3,7,.429,2,2,1.000,0,3,3,4,0,3,0,2,11,+17
Jae Crowder,22:37,2,5,.400,0,2,.000,0,0,,0,2,2,1,2,0,1,4,4,+17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,27:59,5,11,.455,0,3,.000,4,5,.800,1,9,10,4,3,0,1,0,14,+8
Pat Connaughton,24:20,3,9,.333,2,7,.286,3,3,1.000,0,1,1,1,2,0,0,2,11,+3
Patrick Beverley,23:51,3,7,.429,1,2,.500,2,2,1.000,3,5,8,3,0,0,1,1,9,-8
Danilo Gallinari,12:24,1,3,.333,0,1,.000,0,0,,1,0,1,1,0,0,0,1,2,-13
A.J. Green,5:17,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-6
MarJon Beauchamp,3:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-7
Thanasis Antetokounmpo,Did Not Play
Andre Jackson Jr.,Did Not Play
Chris Livingston,Did Not Play
Team Totals,240,39,86,.453,16,39,.410,17,20,.850,8,36,44,21,9,3,7,18,111,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,8:46,1,3,.333,1,1,1.000,2,2,1.000,0,3,3,0,0,0,2,0,5,+11
Giannis Antetokounmpo,10:31,4,5,.800,0,0,,0,0,,2,3,5,2,0,0,0,1,8,+13
Malik Beasley,8:46,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,0,1,3,+11
Brook Lopez,6:19,1,2,.500,1,2,.500,2,2,1.000,0,1,1,1,0,2,0,2,5,+6
