,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,43:17,5,10,.500,3,5,.600,2,2,1.000,2,13,15,5,1,0,2,3,15,-11
Kyle Kuzma,37:15,7,16,.438,4,8,.500,2,2,1.000,2,8,10,4,1,3,2,3,20,0
Tyus Jones,36:39,3,7,.429,1,3,.333,1,1,1.000,0,1,1,11,2,0,3,0,8,+6
Marvin Bagley III,33:41,11,14,.786,1,1,1.000,0,1,.000,1,3,4,1,0,2,1,3,23,+11
Landry Shamet,16:29,2,7,.286,0,4,.000,0,0,,0,1,1,1,0,0,1,0,4,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,38:06,13,26,.500,5,12,.417,3,4,.750,0,3,3,7,1,1,3,4,34,-12
Corey Kispert,27:27,8,15,.533,2,7,.286,2,2,1.000,2,4,6,6,1,0,2,2,20,-4
Johnny Davis,16:41,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-3
Richaun Holmes,13:56,3,4,.750,1,1,1.000,0,0,,2,1,3,0,0,0,1,4,7,-8
Jules Bernard,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Anthony Gill,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,265,52,102,.510,17,41,.415,10,12,.833,10,35,45,35,6,6,15,19,131,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,8:55,3,4,.750,2,2,1.000,0,0,,1,2,3,2,1,0,1,0,8,-3
Kyle Kuzma,7:52,0,2,.000,0,0,,0,0,,0,1,1,1,0,2,1,0,0,+2
Tyus Jones,8:12,1,2,.500,0,1,.000,0,0,,0,0,0,1,1,0,0,0,2,+8
Marvin Bagley III,4:35,2,2,1.000,0,0,,0,1,.000,1,1,2,1,0,0,0,2,4,+4
Landry Shamet,5:07,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,6:53,3,6,.500,1,2,.500,1,1,1.000,0,1,1,2,0,1,0,0,8,+1
Corey Kispert,6:53,2,4,.500,1,3,.333,0,0,,1,0,1,2,0,0,0,1,5,+1
Johnny Davis,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Richaun Holmes,7:25,3,3,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,2,7,-1
Jules Bernard, 
Anthony Gill, 
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,60,14,26,.538,5,11,.455,1,2,.500,4,7,11,9,2,3,3,5,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,9:00,0,2,.000,0,1,.000,0,0,,1,4,5,3,0,0,0,1,0,-5
Kyle Kuzma,7:46,4,5,.800,2,3,.667,0,0,,0,1,1,0,0,0,0,2,10,-5
Tyus Jones,7:19,0,1,.000,0,0,,0,0,,0,0,0,5,0,0,1,0,0,-5
Marvin Bagley III,4:10,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,1,1,4,+1
Landry Shamet,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,12:00,5,7,.714,1,2,.500,1,1,1.000,0,1,1,2,1,0,0,1,12,-4
Corey Kispert,9:00,4,6,.667,1,3,.333,0,0,,0,2,2,1,1,0,1,1,9,-1
Johnny Davis,4:41,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+1
Richaun Holmes,3:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,1,0,+1
Jules Bernard, 
Anthony Gill,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,60,15,28,.536,4,10,.400,1,1,1.000,3,8,11,11,2,0,3,7,35,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,17:55,3,6,.500,2,3,.667,0,0,,2,6,8,5,1,0,1,1,8,-8
Kyle Kuzma,15:38,4,7,.571,2,3,.667,0,0,,0,2,2,1,0,2,1,2,10,-3
Tyus Jones,15:31,1,3,.333,0,1,.000,0,0,,0,0,0,6,1,0,1,0,2,+3
Marvin Bagley III,8:45,4,5,.800,0,0,,0,1,.000,1,1,2,1,0,0,1,3,8,+5
Landry Shamet,8:07,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,1,0,0,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,18:53,8,13,.615,2,4,.500,2,2,1.000,0,2,2,4,1,1,0,1,20,-3
Corey Kispert,15:53,6,10,.600,2,6,.333,0,0,,1,2,3,3,1,0,1,2,14,0
Johnny Davis,8:49,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+2
Richaun Holmes,10:25,3,4,.750,1,1,1.000,0,0,,2,1,3,0,0,0,0,3,7,0
Jules Bernard, 
Anthony Gill,0:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,120,29,54,.537,9,21,.429,2,3,.667,7,15,22,20,4,3,6,12,69,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,10:04,1,2,.500,1,2,.500,2,2,1.000,0,2,2,0,0,0,0,1,5,-2
Kyle Kuzma,8:06,0,3,.000,0,0,,0,0,,1,3,4,1,0,1,1,0,0,0
Tyus Jones,7:37,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,1,0,2,0
Marvin Bagley III,8:00,3,4,.750,1,1,1.000,0,0,,0,2,2,0,0,0,0,0,7,+5
Landry Shamet,5:41,1,2,.500,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,6:19,2,5,.400,1,3,.333,1,2,.500,0,1,1,1,0,0,2,2,6,-4
Corey Kispert,6:19,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,0,0,4,-4
Johnny Davis,4:23,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Richaun Holmes,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-8
Jules Bernard, 
Anthony Gill, 
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,60,9,21,.429,3,8,.375,5,6,.833,1,10,11,5,1,1,5,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,10:35,1,2,.500,0,0,,0,0,,0,3,3,0,0,0,0,0,2,+2
Kyle Kuzma,8:31,2,3,.667,1,2,.500,0,0,,0,2,2,2,0,0,0,0,5,+6
Tyus Jones,8:31,1,2,.500,1,1,1.000,1,1,1.000,0,0,0,2,0,0,1,0,4,+6
Marvin Bagley III,11:56,4,5,.800,0,0,,0,0,,0,0,0,0,0,2,0,0,8,+4
Landry Shamet,2:41,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,7:54,3,5,.600,2,4,.500,0,0,,0,0,0,2,0,0,0,1,8,-2
Corey Kispert,4:58,1,3,.333,0,1,.000,0,0,,1,1,2,2,0,0,1,0,2,0
Johnny Davis,3:29,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-2
Richaun Holmes, 
Jules Bernard,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Anthony Gill, 
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,60,13,21,.619,4,8,.500,1,1,1.000,1,7,8,9,0,2,2,1,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,20:39,2,4,.500,1,2,.500,2,2,1.000,0,5,5,0,0,0,0,1,7,0
Kyle Kuzma,16:37,2,6,.333,1,2,.500,0,0,,1,5,6,3,0,1,1,0,5,+6
Tyus Jones,16:08,2,4,.500,1,2,.500,1,1,1.000,0,1,1,4,1,0,2,0,6,+6
Marvin Bagley III,19:56,7,9,.778,1,1,1.000,0,0,,0,2,2,0,0,2,0,0,15,+9
Landry Shamet,8:22,2,3,.667,0,1,.000,0,0,,0,0,0,1,0,0,0,0,4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,14:13,5,10,.500,3,7,.429,1,2,.500,0,1,1,3,0,0,2,3,14,-6
Corey Kispert,11:17,2,5,.400,0,1,.000,2,2,1.000,1,2,3,3,0,0,1,0,6,-4
Johnny Davis,7:52,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
Richaun Holmes,3:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-8
Jules Bernard,1:25,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
Anthony Gill, 
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,120,22,42,.524,7,16,.438,6,7,.857,2,17,19,14,1,3,7,5,57,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Deni Avdija,4:43,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,1,0,-3
Kyle Kuzma,5:00,1,3,.333,1,3,.333,2,2,1.000,1,1,2,0,1,0,0,1,5,-3
Tyus Jones,5:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-3
Marvin Bagley III,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Landry Shamet, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,5:00,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-3
Corey Kispert,0:17,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Johnny Davis, 
Richaun Holmes, 
Jules Bernard, 
Anthony Gill, 
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,25,1,6,.167,1,4,.250,2,2,1.000,1,3,4,1,1,0,2,2,5,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Deni Avdija,43:17,.689,.650,.500,.200,5.1,37.9,20.4,13.3,1.1,0.0,15.5,12.9,131,119,0.2
Kyle Kuzma,37:15,.592,.563,.500,.125,5.9,27.1,15.8,13.5,1.3,5.5,10.6,22.0,117,114,2.9
Tyus Jones,36:39,.538,.500,.429,.143,0.0,3.4,1.6,33.4,2.6,0.0,28.7,12.3,115,120,-2.8
Marvin Bagley III,33:41,.796,.821,.071,.071,3.3,11.2,7.0,4.5,0.0,4.0,6.5,19.9,141,120,2.1
Landry Shamet,16:29,.286,.286,.571,.000,0.0,7.7,3.6,7.1,0.0,0.0,12.5,21.0,59,125,-18.2
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jordan Poole,38:06,.612,.596,.462,.154,0.0,9.9,4.6,28.7,1.2,1.8,9.8,35.0,116,120,2.4
Corey Kispert,27:27,.630,.600,.467,.133,8.0,18.4,12.9,31.7,1.7,0.0,11.2,28.2,127,120,5.0
Johnny Davis,16:41,.000,.000,.000,.000,6.6,7.6,7.1,0.0,0.0,0.0,0.0,7.8,31,125,-14.3
Richaun Holmes,13:56,.875,.875,.250,.000,15.8,9.1,12.7,0.0,0.0,0.0,20.0,15.6,136,124,-5.8
Jules Bernard,1:25,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-8.6
Anthony Gill,0:04,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,126,-9.1
Jared Butler,Did Not Play
Justin Champagnie,Did Not Play
Isaiah Livers,Did Not Dress
Eugene Omoruyi,Did Not Play
Team Totals,265,.611,.593,.402,.118,20.8,83.3,50.0,67.3,5.4,7.7,12.3,100.0,117.1,119.8,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,43:48,9,21,.429,4,11,.364,0,0,,0,6,6,5,1,1,3,4,22,+4
Anthony Davis,41:15,14,22,.636,0,0,,12,13,.923,3,12,15,4,1,3,1,2,40,+6
Austin Reaves,39:24,6,11,.545,0,2,.000,0,0,,1,5,6,4,1,1,1,3,12,+2
LeBron James,38:44,12,24,.500,2,5,.400,5,7,.714,0,4,4,9,1,1,4,1,31,-5
Rui Hachimura,35:09,4,11,.364,0,2,.000,0,0,,2,5,7,1,2,0,0,3,8,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,25:43,3,5,.600,2,3,.667,2,3,.667,0,0,0,3,0,0,1,2,10,+4
Taurean Prince,17:21,1,2,.500,0,0,,0,0,,0,2,2,3,0,0,1,1,2,-2
Jaxson Hayes,10:55,3,4,.750,0,0,,0,0,,1,4,5,0,0,0,0,0,6,-2
Max Christie,8:33,1,1,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,0,0,3,+2
Cam Reddish,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
Team Totals,265,53,101,.525,8,23,.348,20,24,.833,7,38,45,30,6,6,11,16,134,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,10:04,4,7,.571,3,5,.600,0,0,,0,0,0,1,0,0,2,0,11,+4
Anthony Davis,12:00,3,6,.500,0,0,,4,5,.800,2,3,5,1,0,1,0,0,10,-3
Austin Reaves,9:07,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-6
LeBron James,7:52,2,4,.500,0,2,.000,0,0,,0,2,2,1,0,0,0,0,4,-2
Rui Hachimura,7:11,1,3,.333,0,0,,0,0,,0,1,1,0,1,0,0,0,2,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,4:49,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,1,1,2,-4
Taurean Prince,4:49,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-4
Jaxson Hayes, 
Max Christie, 
Cam Reddish,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
Team Totals,60,12,23,.522,3,7,.429,4,5,.800,2,8,10,5,1,1,4,3,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,9:00,1,5,.200,0,2,.000,0,0,,0,1,1,2,0,0,0,1,2,+5
Anthony Davis,5:59,4,5,.800,0,0,,6,6,1.000,1,2,3,0,0,0,0,0,14,+6
Austin Reaves,7:50,0,1,.000,0,1,.000,0,0,,0,1,1,1,1,0,1,0,0,+5
LeBron James,7:40,3,4,.750,1,1,1.000,4,5,.800,0,0,0,1,0,0,1,0,11,-4
Rui Hachimura,8:22,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,7:50,2,3,.667,2,3,.667,0,1,.000,0,0,0,3,0,0,0,0,6,+5
Taurean Prince,3:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Jaxson Hayes,6:01,2,2,1.000,0,0,,0,0,,0,4,4,0,0,0,0,0,4,-2
Max Christie,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Cam Reddish, 
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
Team Totals,60,13,23,.565,3,8,.375,10,12,.833,1,10,11,8,1,0,2,1,39,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,19:04,5,12,.417,3,7,.429,0,0,,0,1,1,3,0,0,2,1,13,+9
Anthony Davis,17:59,7,11,.636,0,0,,10,11,.909,3,5,8,1,0,1,0,0,24,+3
Austin Reaves,16:57,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,0,1,1,2,-1
LeBron James,15:32,5,8,.625,1,3,.333,4,5,.800,0,2,2,2,0,0,1,0,15,-6
Rui Hachimura,15:33,2,6,.333,0,1,.000,0,0,,0,3,3,1,1,0,0,0,4,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Spencer Dinwiddie,12:39,3,4,.750,2,3,.667,0,1,.000,0,0,0,3,0,0,1,1,8,+1
Taurean Prince,7:57,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,1,1,0,-9
Jaxson Hayes,6:01,2,2,1.000,0,0,,0,0,,0,4,4,0,0,0,0,0,4,-2
Max Christie,4:10,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Cam Reddish,4:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Skylar Mays,Did Not Play
Dylan Windler,Did Not Play
Team Totals,120,25,46,.543,6,15,.400,14,17,.824,3,18,21,13,2,1,6,4,70,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
D'Angelo Russell,8:05,1,2,.500,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,-4
