,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,35:37,7,10,.700,2,3,.667,3,4,.750,3,7,10,1,1,0,2,5,19,-3
Lauri Markkanen,33:35,6,15,.400,4,7,.571,2,2,1.000,2,1,3,0,1,0,1,2,18,0
Keyonte George,31:07,5,12,.417,2,4,.500,7,7,1.000,0,3,3,9,1,0,2,0,19,-4
Collin Sexton,29:49,5,12,.417,3,5,.600,6,10,.600,0,3,3,4,1,0,1,0,19,-2
Taylor Hendricks,27:26,3,6,.500,2,4,.500,2,2,1.000,2,5,7,1,1,1,1,4,10,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,35:38,2,10,.200,1,5,.200,0,0,,0,5,5,7,2,0,2,2,5,-6
Kris Dunn,21:30,3,7,.429,1,4,.250,0,0,,0,1,1,2,1,0,1,3,7,-5
Brice Sensabaugh,13:48,0,2,.000,0,2,.000,2,2,1.000,0,1,1,1,0,0,3,4,2,-8
Luka Šamanić,11:30,3,6,.500,1,3,.333,1,1,1.000,0,4,4,0,0,0,0,2,8,-8
Talen Horton-Tucker,Did Not Play
Kira Lewis Jr.,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,240,34,80,.425,16,37,.432,23,28,.821,7,30,37,25,8,1,13,22,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,8:58,1,2,.500,1,1,1.000,0,0,,0,3,3,0,0,0,1,1,3,-8
Lauri Markkanen,9:52,1,4,.250,1,2,.500,0,0,,0,0,0,0,0,0,0,0,3,-4
Keyonte George,9:52,2,4,.500,1,2,.500,0,0,,0,1,1,4,0,0,0,0,5,-4
Collin Sexton,6:50,1,3,.333,1,1,1.000,0,0,,0,2,2,1,0,0,1,0,3,-4
Taylor Hendricks,5:15,0,2,.000,0,1,.000,2,2,1.000,0,0,0,0,0,1,0,1,2,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,5:10,0,2,.000,0,2,.000,0,0,,0,0,0,1,0,0,0,0,0,-4
Kris Dunn,6:45,1,2,.500,0,1,.000,0,0,,0,1,1,0,1,0,0,1,2,-5
Brice Sensabaugh,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Luka Šamanić,5:10,1,3,.333,0,2,.000,1,1,1.000,0,4,4,0,0,0,0,2,3,-4
Talen Horton-Tucker,Did Not Play
Kira Lewis Jr.,Did Not Play
Omer Yurtseven,Did Not Play
Team Totals,60,7,22,.318,4,12,.333,3,3,1.000,0,11,11,6,1,1,2,6,21,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
John Collins,8:59,5,5,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,11,+7
Lauri Markkanen,6:28,2,5,.400,2,2,1.000,0,0,,1,1,2,0,0,0,0,0,6,+6
Keyonte George,6:28,0,1,.000,0,0,,0,0,,0,2,2,3,0,0,1,0,0,+6
Collin Sexton,6:28,1,1,1.000,0,0,,3,6,.500,0,1,1,1,0,0,0,0,5,+6
Taylor Hendricks,8:33,1,2,.500,1,2,.500,0,0,,1,3,4,1,1,0,0,1,3,-1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Clarkson,12:00,1,3,.333,1,1,1.000,0,0,,0,2,2,1,1,0,0,1,3,+6
Kris Dunn,5:32,0,2,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,0,0,0
Brice Sensabaugh,5:32,0,1,.000,0,1,.000,2,2,1.000,0,0,0,1,0,0,2,0,2,0
Luka Šamanić, 
Talen Horton-Tucker,Did Not Play
Kira Lewis Jr.,Did Not Play
