,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,39:08,10,28,.357,7,17,.412,7,7,1.000,0,5,5,2,3,0,4,2,34,0
Fred VanVleet,38:33,6,16,.375,2,8,.250,7,7,1.000,1,5,6,5,0,1,2,4,21,-9
Jabari Smith Jr.,37:13,3,11,.273,1,6,.167,4,4,1.000,3,13,16,0,1,1,0,5,11,-5
Dillon Brooks,30:42,3,11,.273,0,6,.000,0,0,,3,5,8,1,1,0,2,1,6,-4
Alperen Şengün,22:42,3,7,.429,0,1,.000,2,2,1.000,1,2,3,4,0,0,1,6,8,-17
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,26:43,5,14,.357,0,5,.000,4,4,1.000,3,5,8,0,0,1,2,1,14,+10
Jeff Green,12:18,1,4,.250,1,1,1.000,0,2,.000,1,0,1,0,1,0,0,0,3,-6
Jock Landale,10:00,2,4,.500,0,0,,4,5,.800,5,1,6,0,0,2,0,3,8,+12
Amen Thompson,9:47,0,2,.000,0,0,,0,0,,2,2,4,0,2,0,1,4,0,-8
Aaron Holiday,9:05,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,1,0,0
Reggie Bullock,3:49,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,2,0,+2
Boban Marjanović,Did Not Play
Jae'Sean Tate,Did Not Play
Team Totals,240,33,99,.333,11,45,.244,28,31,.903,19,39,58,14,8,5,12,29,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,8:59,3,6,.500,2,3,.667,0,0,,0,0,0,0,1,0,2,1,8,-12
Fred VanVleet,9:02,1,4,.250,0,1,.000,0,0,,0,3,3,1,0,1,2,1,2,-12
Jabari Smith Jr.,9:28,0,2,.000,0,0,,2,2,1.000,1,3,4,0,0,0,0,1,2,-8
Dillon Brooks,9:02,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,1,0,0,-12
Alperen Şengün,8:59,0,3,.000,0,1,.000,2,2,1.000,1,1,2,0,0,0,1,0,2,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cam Whitmore,3:01,0,3,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-4
Jeff Green,3:01,1,2,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,-4
Jock Landale, 
Amen Thompson,5:30,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-12
Aaron Holiday,2:58,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-4
Reggie Bullock, 
Boban Marjanović,Did Not Play
Jae'Sean Tate,Did Not Play
Team Totals,60,5,23,.217,3,10,.300,4,4,1.000,4,9,13,2,1,1,6,6,17,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jalen Green,10:12,4,8,.500,3,6,.500,2,2,1.000,0,3,3,1,1,0,2,0,13,+8
Fred VanVleet,11:24,2,4,.500,1,3,.333,0,0,,1,1,2,3,0,0,0,1,5,+1
Jabari Smith Jr.,7:22,0,2,.000,0,2,.000,2,2,1.000,1,3,4,0,1,0,0,1,2,-3
Dillon Brooks,10:12,3,6,.500,0,1,.000,0,0,,2,2,4,0,1,0,0,0,6,+8
Alperen Şengün,8:52,1,2,.500,0,0,,0,0,,0,0,0,3,0,0,0,3,2,+4
