,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,30:09,4,12,.333,2,8,.250,0,0,,0,0,0,4,2,0,1,3,10,-28
Tyrese Haliburton,22:41,0,7,.000,0,6,.000,0,0,,0,3,3,3,0,0,1,0,0,-40
Aaron Nesmith,20:35,3,5,.600,2,3,.667,1,2,.500,0,3,3,3,0,0,0,2,9,-13
Pascal Siakam,20:22,5,10,.500,1,2,.500,1,2,.500,0,2,2,3,0,0,2,1,12,-43
Myles Turner,18:41,5,10,.500,0,1,.000,2,4,.500,2,3,5,0,0,3,2,3,12,-14
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarace Walker,26:41,2,9,.222,2,4,.500,0,0,,0,7,7,6,3,3,2,1,6,+15
Bennedict Mathurin,20:17,4,10,.400,1,3,.333,4,4,1.000,1,1,2,1,0,0,2,1,13,-20
Isaiah Jackson,17:57,6,9,.667,0,0,,1,2,.500,7,4,11,1,2,0,2,1,13,+5
T.J. McConnell,17:00,4,8,.500,0,0,,0,0,,2,2,4,3,1,0,2,1,8,+1
Obi Toppin,15:38,2,5,.400,1,3,.333,0,0,,1,1,2,0,1,0,1,3,5,+7
Jalen Smith,11:22,4,6,.667,1,2,.500,0,0,,2,1,3,0,0,0,1,1,9,-18
James Johnson,7:18,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,1,0,3,2,+1
Kendall Brown,6:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4
Oscar Tshiebwe,4:42,1,3,.333,0,0,,1,2,.500,2,0,2,0,0,1,0,1,3,+8
Team Totals,240,40,95,.421,10,32,.313,12,18,.667,17,27,44,25,9,8,16,21,102,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,7:05,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-12
Tyrese Haliburton,9:01,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,0,0,0,0,-20
Aaron Nesmith,10:04,1,1,1.000,1,1,1.000,0,0,,0,0,0,2,0,0,0,1,3,-14
Pascal Siakam,8:07,4,6,.667,1,2,.500,0,0,,0,0,0,1,0,0,0,0,9,-18
Myles Turner,8:46,2,4,.500,0,1,.000,2,2,1.000,1,0,1,0,0,1,1,1,6,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarace Walker, 
Bennedict Mathurin,4:55,0,1,.000,0,1,.000,4,4,1.000,0,0,0,0,0,0,0,0,4,-10
Isaiah Jackson, 
T.J. McConnell,4:55,1,2,.500,0,0,,0,0,,0,0,0,1,1,0,1,0,2,-10
Obi Toppin,3:53,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-4
Jalen Smith,3:14,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,0,0,-10
James Johnson, 
Kendall Brown, 
Oscar Tshiebwe, 
Team Totals,60,9,20,.450,2,9,.222,6,6,1.000,2,0,2,7,2,1,3,3,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,3:25,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-10
Tyrese Haliburton,4:10,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Aaron Nesmith,4:48,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+12
Pascal Siakam,4:16,1,3,.333,0,0,,1,2,.500,0,0,0,1,0,0,1,1,3,-10
Myles Turner,4:33,2,3,.667,0,0,,0,0,,1,2,3,0,0,1,0,0,4,+9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarace Walker,10:40,0,3,.000,0,1,.000,0,0,,0,5,5,3,1,1,1,0,0,+6
Bennedict Mathurin,5:13,1,3,.333,1,1,1.000,0,0,,0,1,1,1,0,0,1,0,3,-9
Isaiah Jackson, 
T.J. McConnell,7:44,3,4,.750,0,0,,0,0,,2,2,4,2,0,0,1,1,6,+11
Obi Toppin,7:44,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,+11
Jalen Smith,7:27,4,4,1.000,1,1,1.000,0,0,,1,1,2,0,0,0,0,1,9,-8
James Johnson, 
Kendall Brown, 
Oscar Tshiebwe, 
Team Totals,60,13,25,.520,3,6,.500,1,2,.500,4,12,16,7,2,2,4,4,30,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,10:30,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,0,0,0,-22
Tyrese Haliburton,13:11,0,3,.000,0,3,.000,0,0,,0,0,0,3,0,0,0,0,0,-27
Aaron Nesmith,14:52,3,4,.750,2,2,1.000,0,0,,0,1,1,2,0,0,0,1,8,-2
Pascal Siakam,12:23,5,9,.556,1,2,.500,1,2,.500,0,0,0,2,0,0,1,1,12,-28
Myles Turner,13:19,4,7,.571,0,1,.000,2,2,1.000,2,2,4,0,0,2,1,1,10,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarace Walker,10:40,0,3,.000,0,1,.000,0,0,,0,5,5,3,1,1,1,0,0,+6
Bennedict Mathurin,10:08,1,4,.250,1,2,.500,4,4,1.000,0,1,1,1,0,0,1,0,7,-19
Isaiah Jackson, 
T.J. McConnell,12:39,4,6,.667,0,0,,0,0,,2,2,4,3,1,0,2,1,8,+1
Obi Toppin,11:37,1,2,.500,0,1,.000,0,0,,0,0,0,0,1,0,0,2,2,+7
Jalen Smith,10:41,4,5,.800,1,2,.500,0,0,,2,1,3,0,0,0,1,1,9,-18
James Johnson, 
Kendall Brown, 
Oscar Tshiebwe, 
Team Totals,120,22,45,.489,5,15,.333,7,8,.875,6,12,18,14,4,3,7,7,56,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Nembhard,7:39,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,-15
Tyrese Haliburton,9:30,0,4,.000,0,3,.000,0,0,,0,3,3,0,0,0,1,0,0,-13
Aaron Nesmith,5:43,0,1,.000,0,1,.000,1,2,.500,0,2,2,1,0,0,0,1,1,-11
Pascal Siakam,7:59,0,1,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0,-15
Myles Turner,5:22,1,3,.333,0,0,,0,2,.000,0,1,1,0,0,1,1,2,2,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jarace Walker,4:01,0,2,.000,0,1,.000,0,0,,0,1,1,2,0,1,0,1,0,0
Bennedict Mathurin,4:46,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,1,2,-6
Isaiah Jackson,5:57,2,2,1.000,0,0,,1,2,.500,2,0,2,0,1,0,0,1,5,-4
T.J. McConnell,4:21,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Obi Toppin,4:01,1,3,.333,1,2,.500,0,0,,1,1,2,0,0,0,1,1,3,0
Jalen Smith,0:41,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
James Johnson, 
Kendall Brown, 
Oscar Tshiebwe, 
Team Totals,60,6,25,.240,2,10,.200,2,6,.333,4,10,14,4,1,2,4,9,16,
,Basic Box Score Stats
