,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,45:22,5,12,.417,3,6,.500,0,0,,1,18,19,10,2,2,2,2,13,+16
Donte DiVincenzo,39:18,11,22,.500,6,14,.429,0,0,,1,5,6,4,3,1,1,2,28,+9
Isaiah Hartenstein,22:55,4,7,.571,0,0,,0,0,,2,5,7,8,0,1,1,1,8,-3
Precious Achiuwa,21:32,6,8,.750,1,1,1.000,1,3,.333,3,1,4,0,2,3,2,3,14,+12
Jalen Brunson,0:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,47:13,6,15,.400,4,9,.444,0,0,,0,1,1,5,0,0,0,2,16,+11
Bojan Bogdanović,30:11,8,15,.533,1,6,.167,3,3,1.000,0,3,3,3,0,0,3,2,20,-8
Jericho Sims,21:22,0,0,,0,0,,0,0,,3,3,6,1,1,2,0,1,0,+17
Alec Burks,11:20,2,6,.333,1,3,.333,3,4,.750,0,1,1,1,0,0,0,0,8,-7
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,240,42,86,.488,16,39,.410,7,10,.700,10,37,47,32,8,9,9,13,107,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,2,2,1.000,2,2,1.000,0,0,,0,6,6,4,1,1,1,0,6,+9
Donte DiVincenzo,12:00,5,10,.500,2,5,.400,0,0,,1,2,3,1,0,0,0,1,12,+9
Isaiah Hartenstein,5:41,1,3,.333,0,0,,0,0,,1,2,3,2,0,0,1,1,2,-5
Precious Achiuwa,7:30,0,1,.000,0,0,,0,2,.000,1,1,2,0,2,1,1,0,0,+6
Jalen Brunson,0:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,11:13,3,4,.750,2,3,.667,0,0,,0,0,0,0,0,0,0,1,8,+11
Bojan Bogdanović,4:30,0,2,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,+3
Jericho Sims,6:19,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,0,0,+14
Alec Burks, 
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,60,11,23,.478,6,11,.545,0,2,.000,3,12,15,9,4,3,3,3,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,9:22,0,2,.000,0,0,,0,0,,0,4,4,2,0,0,0,0,0,-4
Donte DiVincenzo,7:39,0,3,.000,0,3,.000,0,0,,0,1,1,1,0,0,1,1,0,-12
Isaiah Hartenstein,5:40,2,2,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,4,-5
Precious Achiuwa,3:43,2,2,1.000,0,0,,0,0,,0,0,0,0,0,2,0,0,4,-5
Jalen Brunson, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,12:00,1,4,.250,0,0,,0,0,,0,0,0,2,0,0,0,0,2,-11
Bojan Bogdanović,12:00,5,6,.833,0,0,,0,0,,0,2,2,0,0,0,2,1,10,-11
Jericho Sims,2:37,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
Alec Burks,6:59,0,1,.000,0,1,.000,3,4,.750,0,1,1,1,0,0,0,0,3,-6
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,60,10,20,.500,0,4,.000,3,4,.750,0,9,9,8,0,2,3,3,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,21:22,2,4,.500,2,2,1.000,0,0,,0,10,10,6,1,1,1,0,6,+5
Donte DiVincenzo,19:39,5,13,.385,2,8,.250,0,0,,1,3,4,2,0,0,1,2,12,-3
Isaiah Hartenstein,11:21,3,5,.600,0,0,,0,0,,1,3,4,4,0,0,1,1,6,-10
Precious Achiuwa,11:13,2,3,.667,0,0,,0,2,.000,1,1,2,0,2,3,1,0,4,+1
Jalen Brunson,0:47,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,23:13,4,8,.500,2,3,.667,0,0,,0,0,0,2,0,0,0,1,10,0
Bojan Bogdanović,16:30,5,8,.625,0,1,.000,0,0,,0,3,3,1,0,0,2,1,10,-8
Jericho Sims,8:56,0,0,,0,0,,0,0,,0,0,0,1,1,1,0,1,0,+13
Alec Burks,6:59,0,1,.000,0,1,.000,3,4,.750,0,1,1,1,0,0,0,0,3,-6
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,120,21,43,.488,6,15,.400,3,6,.500,3,21,24,17,4,5,6,6,51,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,2,4,.500,0,2,.000,0,0,,0,5,5,3,0,1,1,0,4,+11
Donte DiVincenzo,12:00,6,7,.857,4,5,.800,0,0,,0,2,2,1,3,0,0,0,16,+11
Isaiah Hartenstein,6:40,1,1,1.000,0,0,,0,0,,0,1,1,3,0,0,0,0,2,+4
Precious Achiuwa,10:19,4,5,.800,1,1,1.000,1,1,1.000,2,0,2,0,0,0,1,3,10,+11
Jalen Brunson, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,12:00,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,0,1,0,+11
Bojan Bogdanović,1:41,1,1,1.000,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,4,0
Jericho Sims,5:20,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,0,0,+7
Alec Burks, 
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,60,14,21,.667,5,10,.500,3,3,1.000,2,9,11,9,3,2,2,4,36,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,12:00,1,4,.250,1,2,.500,0,0,,1,3,4,1,1,0,0,2,3,0
Donte DiVincenzo,7:39,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,1,0,0,0,+1
Isaiah Hartenstein,4:54,0,1,.000,0,0,,0,0,,1,1,2,1,0,1,0,0,0,+3
Precious Achiuwa, 
Jalen Brunson, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,12:00,2,4,.500,2,4,.500,0,0,,0,1,1,1,0,0,0,0,6,0
Bojan Bogdanović,12:00,2,6,.333,1,5,.200,1,1,1.000,0,0,0,2,0,0,1,1,6,0
Jericho Sims,7:06,0,0,,0,0,,0,0,,3,2,5,0,0,0,0,0,0,-3
Alec Burks,4:21,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-1
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,60,7,22,.318,5,14,.357,1,1,1.000,5,7,12,6,1,2,1,3,20,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Josh Hart,24:00,3,8,.375,1,4,.250,0,0,,1,8,9,4,1,1,1,2,7,+11
Donte DiVincenzo,19:39,6,9,.667,4,6,.667,0,0,,0,2,2,2,3,1,0,0,16,+12
Isaiah Hartenstein,11:34,1,2,.500,0,0,,0,0,,1,2,3,4,0,1,0,0,2,+7
Precious Achiuwa,10:19,4,5,.800,1,1,1.000,1,1,1.000,2,0,2,0,0,0,1,3,10,+11
Jalen Brunson, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Miles McBride,24:00,2,7,.286,2,6,.333,0,0,,0,1,1,3,0,0,0,1,6,+11
Bojan Bogdanović,13:41,3,7,.429,1,5,.200,3,3,1.000,0,0,0,2,0,0,1,1,10,0
Jericho Sims,12:26,0,0,,0,0,,0,0,,3,3,6,0,0,1,0,0,0,+4
Alec Burks,4:21,2,5,.400,1,2,.500,0,0,,0,0,0,0,0,0,0,0,5,-1
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,120,21,43,.488,10,24,.417,4,4,1.000,7,16,23,15,4,4,3,7,56,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Josh Hart,45:22,.542,.542,.500,.000,2.7,40.5,23.4,28.8,2.4,4.9,14.3,14.9,123,101,6.4
Donte DiVincenzo,39:18,.636,.636,.636,.000,3.1,13.0,8.5,17.1,4.2,2.8,4.3,28.3,126,107,8.5
Isaiah Hartenstein,22:55,.571,.571,.000,.000,10.7,22.3,17.0,49.8,0.0,4.9,12.5,16.9,143,113,11.1
Precious Achiuwa,21:32,.751,.813,.125,.375,17.1,4.7,10.4,0.0,5.1,15.6,17.7,25.4,118,98,4.3
Jalen Brunson,0:47,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.6,0,124,-66.0
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Miles McBride,47:13,.533,.533,.600,.000,0.0,2.2,1.2,14.2,0.0,0.0,0.0,15.3,122,122,-6.7
Bojan Bogdanović,30:11,.613,.567,.400,.200,0.0,10.2,5.5,16.3,0.0,0.0,15.5,30.9,107,120,-7.0
Jericho Sims,21:22,,,,,17.3,14.3,15.7,5.3,2.5,10.4,,0.0,235,106,0.3
Alec Burks,11:20,.515,.417,.500,.667,0.0,9.0,4.9,12.6,0.0,0.0,0.0,33.1,117,121,-5.8
OG Anunoby,Did Not Dress
Charlie Brown Jr.,Did Not Play
Julius Randle,Did Not Dress
Team Totals,240,.592,.581,.453,.116,25.6,78.7,54.7,76.2,9.1,20.9,9.1,100.0,121.5,111.2,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,39:34,7,14,.500,5,8,.625,0,0,,1,3,4,5,2,0,2,1,19,-6
Jarrett Allen,35:31,8,13,.615,0,0,,2,4,.500,1,6,7,6,1,1,1,1,18,-5
Isaac Okoro,34:25,7,13,.538,3,8,.375,0,1,.000,2,3,5,4,2,1,1,1,17,-4
Max Strus,29:32,2,9,.222,2,6,.333,0,0,,0,1,1,3,1,0,2,1,6,-10
Evan Mobley,27:59,6,11,.545,0,1,.000,1,3,.333,4,9,13,6,0,1,2,3,13,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sam Merrill,28:39,7,13,.538,7,13,.538,0,0,,1,2,3,2,0,0,0,3,21,0
Dean Wade,20:00,0,4,.000,0,4,.000,0,0,,0,3,3,2,0,2,1,0,0,-5
Georges Niang,15:53,0,6,.000,0,4,.000,0,0,,1,1,2,1,0,0,1,1,0,-6
Craig Porter Jr.,8:26,2,4,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,4,-3
Sharife Cooper,Did Not Play
Ty Jerome,Did Not Dress
Damian Jones,Did Not Play
Team Totals,240,39,87,.448,17,44,.386,3,8,.375,10,29,39,31,7,5,10,11,98,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Darius Garland,12:00,1,4,.250,0,2,.000,0,0,,0,1,1,2,1,0,0,0,2,-9
Jarrett Allen,9:54,2,4,.500,0,0,,0,0,,0,1,1,2,0,0,1,0,4,-5
Isaac Okoro,9:54,3,3,1.000,2,2,1.000,0,0,,1,1,2,1,1,0,1,1,8,-5
Max Strus,9:36,0,5,.000,0,3,.000,0,0,,0,1,1,1,1,0,1,0,0,-10
Evan Mobley,7:47,2,3,.667,0,0,,1,2,.500,0,4,4,2,0,0,1,1,5,+1
