,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,38:19,12,26,.462,1,4,.250,7,8,.875,1,4,5,1,2,1,2,1,32,-11
Paul George,34:24,5,16,.313,3,11,.273,2,3,.667,0,4,4,1,1,1,3,0,15,+2
James Harden,34:23,0,10,.000,0,6,.000,4,4,1.000,0,5,5,10,1,2,1,1,4,-10
Terance Mann,19:12,2,3,.667,0,1,.000,2,2,1.000,2,2,4,1,0,0,0,4,6,-17
Ivica Zubac,18:48,1,2,.500,0,0,,0,0,,0,2,2,1,0,0,1,0,2,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,28:59,2,7,.286,0,4,.000,0,0,,4,9,13,1,0,0,1,1,4,+14
Norman Powell,27:12,9,13,.692,6,8,.750,0,0,,0,3,3,0,1,0,1,4,24,+19
Amir Coffey,25:06,1,5,.200,0,0,,0,0,,0,4,4,0,2,1,0,1,2,+8
Bones Hyland,13:37,0,3,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+11
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,32,85,.376,10,34,.294,15,17,.882,7,33,40,17,7,5,9,12,89,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,12:00,2,6,.333,1,2,.500,0,0,,0,2,2,1,0,1,0,1,5,-12
Paul George,8:07,0,3,.000,0,3,.000,0,0,,0,1,1,0,0,0,2,0,0,-10
James Harden,9:24,0,3,.000,0,2,.000,0,0,,0,0,0,2,0,0,1,1,0,-13
Terance Mann,6:49,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,0,0,0,2,2,-16
Ivica Zubac,5:19,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,6:41,1,1,1.000,0,0,,0,0,,1,3,4,0,0,0,0,0,2,0
Norman Powell,5:11,3,4,.750,3,4,.750,0,0,,0,1,1,0,0,0,0,1,9,+4
Amir Coffey,3:53,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland,2:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,6,21,.286,4,12,.333,2,2,1.000,1,9,10,3,0,1,3,5,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,7:19,5,7,.714,0,0,,0,0,,1,1,2,0,1,0,1,0,10,+2
Paul George,6:17,2,3,.667,2,3,.667,2,3,.667,0,1,1,1,1,1,1,0,8,+12
James Harden,7:19,0,1,.000,0,1,.000,2,2,1.000,0,1,1,3,1,0,0,0,2,+2
Terance Mann,5:43,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+3
Ivica Zubac,5:29,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,6:31,1,2,.500,0,1,.000,0,0,,1,3,4,0,0,0,0,0,2,+12
Norman Powell,4:41,2,3,.667,1,1,1.000,0,0,,0,0,0,0,0,0,1,1,5,+13
Amir Coffey,12:00,1,2,.500,0,0,,0,0,,0,2,2,0,2,1,0,0,2,+15
Bones Hyland,4:41,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+13
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,12,21,.571,3,6,.500,4,5,.800,2,9,11,7,5,2,3,1,31,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,19:19,7,13,.538,1,2,.500,0,0,,1,3,4,1,1,1,1,1,15,-10
Paul George,14:24,2,6,.333,2,6,.333,2,3,.667,0,2,2,1,1,1,3,0,8,+2
James Harden,16:43,0,4,.000,0,3,.000,2,2,1.000,0,1,1,5,1,0,1,1,2,-11
Terance Mann,12:32,1,2,.500,0,1,.000,2,2,1.000,0,2,2,1,0,0,0,2,4,-13
Ivica Zubac,10:48,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,13:12,2,3,.667,0,1,.000,0,0,,2,6,8,0,0,0,0,0,4,+12
Norman Powell,9:52,5,7,.714,4,5,.800,0,0,,0,1,1,0,0,0,1,2,14,+17
Amir Coffey,15:53,1,5,.200,0,0,,0,0,,0,2,2,0,2,1,0,0,2,+13
Bones Hyland,7:17,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,+14
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,120,18,42,.429,7,18,.389,6,7,.857,3,18,21,10,5,3,6,6,49,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,12:00,3,8,.375,0,1,.000,3,3,1.000,0,0,0,0,0,0,0,0,9,-4
Paul George,8:00,0,4,.000,0,3,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
James Harden,8:41,0,3,.000,0,1,.000,2,2,1.000,0,2,2,2,0,2,0,0,2,-4
Terance Mann,6:27,1,1,1.000,0,0,,0,0,,2,0,2,0,0,0,0,2,2,-2
Ivica Zubac,8:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,1,0,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,4:00,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,-2
Norman Powell,5:33,1,3,.333,1,2,.500,0,0,,0,0,0,0,0,0,0,2,3,-2
Amir Coffey,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2
Bones Hyland,3:19,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
Mason Plumlee,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,6,23,.261,1,8,.125,5,5,1.000,3,7,10,3,0,2,2,5,18,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard,7:00,2,5,.400,0,1,.000,4,5,.800,0,1,1,0,1,0,1,0,8,+3
Paul George,12:00,3,6,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,7,+2
James Harden,8:59,0,3,.000,0,2,.000,0,0,,0,2,2,3,0,0,0,0,0,+5
Terance Mann,0:13,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Ivica Zubac, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Daniel Theis,11:47,0,2,.000,0,2,.000,0,0,,1,1,2,1,0,0,0,1,0,+4
Norman Powell,11:47,3,3,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,0,0,7,+4
