,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,38:18,15,27,.556,0,5,.000,5,7,.714,0,8,8,9,3,3,1,4,35,+13
Jalen Williams,32:52,10,19,.526,1,3,.333,1,1,1.000,1,3,4,2,3,0,1,3,22,+1
Chet Holmgren,31:35,5,10,.500,0,1,.000,4,5,.800,4,5,9,2,1,0,1,1,14,-19
Luguentz Dort,31:27,5,13,.385,3,7,.429,0,0,,1,4,5,0,3,1,1,3,13,-3
Josh Giddey,19:25,4,9,.444,2,4,.500,0,0,,0,1,1,2,2,2,1,2,10,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins,21:58,3,6,.500,0,2,.000,1,2,.500,0,3,3,0,4,1,0,0,7,+18
Cason Wallace,17:42,2,3,.667,1,1,1.000,0,0,,0,2,2,1,0,0,0,1,5,+7
Gordon Hayward,15:47,1,3,.333,0,0,,0,0,,2,1,3,1,0,0,0,0,2,-8
Isaiah Joe,14:31,3,9,.333,2,8,.250,0,0,,0,1,1,0,0,1,0,0,8,+6
Kenrich Williams,9:03,0,0,,0,0,,0,0,,0,3,3,3,0,0,0,1,0,+14
Bismack Biyombo,7:22,1,3,.333,0,0,,0,0,,2,0,2,1,0,0,0,0,2,+13
Mike Muscala,Did Not Play
Olivier Sarr,Did Not Play
Lindy Waters III,Did Not Play
Team Totals,240,49,102,.480,9,31,.290,11,15,.733,10,31,41,21,16,8,5,15,118,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,4,8,.500,0,1,.000,2,3,.667,0,2,2,2,0,1,0,0,10,+4
Jalen Williams,6:54,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-8
Chet Holmgren,7:58,2,2,1.000,0,0,,1,1,1.000,0,3,3,0,0,0,0,0,5,-5
Luguentz Dort,10:54,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,1,1,0,3,-1
Josh Giddey,4:23,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,-10
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Wiggins, 
Cason Wallace,1:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+5
Gordon Hayward,7:10,1,3,.333,0,0,,0,0,,2,1,3,0,0,0,0,0,2,+12
Isaiah Joe,5:33,2,3,.667,2,3,.667,0,0,,0,1,1,0,0,0,0,0,6,+14
Kenrich Williams,4:02,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,0,0,+9
Bismack Biyombo, 
Mike Muscala,Did Not Play
Olivier Sarr,Did Not Play
Lindy Waters III,Did Not Play
Team Totals,60,11,23,.478,3,7,.429,3,4,.750,2,11,13,4,0,3,1,2,28,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,5:51,4,8,.500,0,2,.000,0,0,,0,1,1,2,1,0,0,1,8,+7
Jalen Williams,6:42,2,3,.667,0,0,,1,1,1.000,0,1,1,2,1,0,1,2,5,+3
