,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,37:38,10,17,.588,1,4,.250,0,0,,3,5,8,1,1,0,1,5,21,-15
Tyrese Haliburton,36:09,4,16,.250,0,6,.000,4,4,1.000,3,3,6,8,0,1,1,0,12,-14
Myles Turner,30:19,6,17,.353,4,9,.444,0,0,,3,7,10,0,0,1,2,2,16,-7
Aaron Nesmith,27:36,1,7,.143,0,4,.000,2,2,1.000,0,1,1,2,1,0,2,2,4,-5
Andrew Nembhard,21:10,3,7,.429,1,2,.500,0,0,,2,1,3,1,3,0,2,1,7,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,31:29,2,8,.250,0,2,.000,9,13,.692,0,3,3,3,1,2,0,2,13,-5
T.J. McConnell,26:50,13,15,.867,0,0,,0,0,,1,1,2,5,3,0,1,0,26,-1
Obi Toppin,16:05,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,0,2,2,0
Jalen Smith,11:58,1,3,.333,0,2,.000,2,2,1.000,2,5,7,0,0,0,1,0,4,-2
Kendall Brown,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Isaiah Jackson,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,240,41,93,.441,6,30,.200,17,21,.810,14,28,42,20,9,4,10,14,105,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,7:22,1,4,.250,0,1,.000,0,0,,0,3,3,0,0,0,0,1,2,-12
Tyrese Haliburton,9:31,1,3,.333,0,2,.000,0,0,,0,2,2,1,0,0,1,0,2,-12
Myles Turner,6:53,1,4,.250,1,2,.500,0,0,,1,0,1,0,0,0,1,0,3,-10
Aaron Nesmith,9:22,0,3,.000,0,3,.000,0,0,,0,0,0,0,1,0,1,1,0,-8
Andrew Nembhard,7:22,0,1,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,1,0,-12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,5:07,0,1,.000,0,1,.000,1,2,.500,0,0,0,0,0,1,0,0,1,0
T.J. McConnell,4:38,4,4,1.000,0,0,,0,0,,0,0,0,0,1,0,0,0,8,+2
Obi Toppin,4:38,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,+2
Jalen Smith,5:07,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,0
Kendall Brown, 
Isaiah Jackson,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,7,22,.318,1,12,.083,1,2,.500,1,10,11,1,3,1,3,3,16,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,9:28,4,5,.800,1,1,1.000,0,0,,1,1,2,0,0,0,1,0,9,+5
Tyrese Haliburton,8:38,1,3,.333,0,0,,0,0,,1,1,2,3,0,0,0,0,2,+6
Myles Turner,7:31,0,3,.000,0,1,.000,0,0,,1,2,3,0,0,1,0,0,0,+6
Aaron Nesmith,6:44,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,+4
Andrew Nembhard,5:16,2,4,.500,1,1,1.000,0,0,,0,0,0,0,1,0,1,0,5,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bennedict Mathurin,8:38,1,2,.500,0,0,,4,5,.800,0,1,1,2,1,0,0,1,6,+2
T.J. McConnell,6:44,3,4,.750,0,0,,0,0,,0,1,1,3,0,0,1,0,6,+4
Obi Toppin,4:29,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0
Jalen Smith,2:32,1,1,1.000,0,0,,0,0,,1,1,2,0,0,0,1,0,2,+1
Kendall Brown, 
Isaiah Jackson,Did Not Play
James Johnson,Did Not Play
Oscar Tshiebwe,Did Not Play
Jarace Walker,Did Not Play
Team Totals,60,13,24,.542,2,3,.667,4,5,.800,4,9,13,8,2,1,5,2,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pascal Siakam,16:50,5,9,.556,1,2,.500,0,0,,1,4,5,0,0,0,1,1,11,-7
Tyrese Haliburton,18:09,2,6,.333,0,2,.000,0,0,,1,3,4,4,0,0,1,0,4,-6
Myles Turner,14:24,1,7,.143,1,3,.333,0,0,,2,2,4,0,0,1,1,0,3,-4
