,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Vince Williams Jr.,33:57,4,11,.364,1,4,.250,2,2,1.000,1,4,5,6,2,0,2,3,11,-4
Santi Aldama,31:44,5,11,.455,2,6,.333,0,0,,1,4,5,4,0,0,2,1,12,-6
John Konchar,30:41,2,3,.667,1,1,1.000,4,4,1.000,2,6,8,4,1,0,2,3,9,+15
Luke Kennard,26:48,8,11,.727,6,9,.667,3,3,1.000,0,2,2,7,0,0,5,0,25,+3
Trey Jemison,18:49,5,6,.833,0,0,,0,0,,1,6,7,0,0,1,1,6,10,+7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,28:38,4,12,.333,0,4,.000,6,8,.750,4,6,10,3,2,0,3,4,14,+6
Lamar Stevens,24:11,6,12,.500,0,3,.000,1,3,.333,2,4,6,1,0,1,0,2,13,+3
GG Jackson II,24:02,2,9,.222,1,4,.250,2,2,1.000,1,1,2,1,0,1,2,1,7,-6
Matthew Hurt,21:10,2,7,.286,1,6,.167,0,0,,3,2,5,0,1,0,1,2,5,+2
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,240,38,82,.463,12,37,.324,18,22,.818,15,35,50,26,6,3,18,22,106,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Vince Williams Jr.,9:52,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,1,0,0,1,3,-2
Santi Aldama,9:52,3,6,.500,2,4,.500,0,0,,0,1,1,2,0,0,0,0,8,-2
John Konchar,9:21,1,1,1.000,1,1,1.000,0,0,,0,2,2,1,0,0,0,0,3,0
Luke Kennard,7:13,2,4,.500,2,4,.500,0,0,,0,0,0,2,0,0,1,0,6,0
Trey Jemison,7:13,1,1,1.000,0,0,,0,0,,0,4,4,0,0,0,1,2,2,0
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,4:47,1,2,.500,0,0,,2,2,1.000,1,0,1,1,0,0,0,1,4,-2
Lamar Stevens,2:08,0,1,.000,0,1,.000,0,0,,0,2,2,1,0,0,0,0,0,0
GG Jackson II,4:47,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0,-2
Matthew Hurt,4:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,2,3,-2
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,10,19,.526,7,13,.538,2,2,1.000,1,11,12,9,1,0,4,6,29,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Vince Williams Jr.,6:38,0,2,.000,0,1,.000,0,0,,0,2,2,1,0,0,1,1,0,-2
Santi Aldama,6:38,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,-2
John Konchar,7:41,0,0,,0,0,,2,2,1.000,1,1,2,0,0,0,1,0,2,+4
Luke Kennard,6:06,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-1
Trey Jemison,4:51,3,3,1.000,0,0,,0,0,,1,0,1,0,0,0,0,1,6,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,8:14,2,4,.500,0,1,.000,2,4,.500,0,3,3,1,1,0,1,2,6,+8
Lamar Stevens,8:56,3,6,.500,0,2,.000,1,2,.500,0,0,0,0,0,1,0,0,7,+2
GG Jackson II,7:21,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,0
Matthew Hurt,3:35,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+5
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,9,19,.474,1,6,.167,5,8,.625,2,11,13,4,1,1,3,5,24,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Vince Williams Jr.,16:30,1,3,.333,1,2,.500,0,0,,0,4,4,3,1,0,1,2,3,-4
Santi Aldama,16:30,3,7,.429,2,5,.400,0,0,,0,4,4,2,0,0,0,0,8,-4
John Konchar,17:02,1,1,1.000,1,1,1.000,2,2,1.000,1,3,4,1,0,0,1,0,5,+4
Luke Kennard,13:19,2,4,.500,2,4,.500,0,0,,0,0,0,4,0,0,1,0,6,-1
Trey Jemison,12:04,4,4,1.000,0,0,,0,0,,1,4,5,0,0,0,1,3,8,+1
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,13:01,3,6,.500,0,1,.000,4,6,.667,1,3,4,2,1,0,1,3,10,+6
Lamar Stevens,11:04,3,7,.429,0,3,.000,1,2,.500,0,2,2,1,0,1,0,0,7,+2
