,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,29:36,5,13,.385,1,2,.500,9,9,1.000,2,5,7,4,4,2,4,3,20,-9
Josh Giddey,28:49,6,10,.600,1,2,.500,0,0,,2,3,5,4,1,1,3,2,13,+6
Chet Holmgren,28:10,6,14,.429,2,6,.333,1,1,1.000,3,4,7,1,0,1,0,0,15,-12
Jalen Williams,26:09,2,9,.222,1,3,.333,2,2,1.000,0,2,2,3,1,0,1,2,7,-9
Luguentz Dort,23:41,5,9,.556,5,7,.714,0,0,,1,1,2,2,1,0,0,3,15,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,22:02,3,8,.375,1,4,.250,0,0,,2,2,4,1,3,0,1,1,7,-13
Aaron Wiggins,16:28,4,8,.500,2,3,.667,2,2,1.000,1,0,1,1,1,1,1,1,12,-16
Gordon Hayward,14:29,1,5,.200,0,1,.000,0,0,,0,1,1,2,0,0,0,2,2,-10
Isaiah Joe,13:41,0,4,.000,0,3,.000,0,0,,0,2,2,0,0,1,0,0,0,-16
Mike Muscala,11:29,2,5,.400,1,3,.333,0,0,,0,3,3,0,0,0,0,0,5,+12
Kenrich Williams,9:11,1,4,.250,0,2,.000,0,0,,1,0,1,2,0,0,0,1,2,-6
Bismack Biyombo,6:38,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,4,0,-13
Lindy Waters III,5:17,1,3,.333,1,3,.333,0,0,,1,2,3,2,1,0,0,0,3,+12
Olivier Sarr,4:20,1,1,1.000,0,0,,1,2,.500,0,0,0,0,0,1,0,1,3,+10
Team Totals,240,37,94,.394,15,39,.385,15,16,.938,13,25,38,22,12,7,10,20,104,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,1,7,.143,0,1,.000,4,4,1.000,0,2,2,3,2,1,1,1,6,0
Josh Giddey,7:43,4,7,.571,0,1,.000,0,0,,2,0,2,0,0,0,1,0,8,+11
Chet Holmgren,7:45,2,4,.500,1,2,.500,0,0,,1,2,3,1,0,0,0,0,5,+11
Jalen Williams,7:45,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,0,0,+11
Luguentz Dort,7:43,1,2,.500,1,2,.500,0,0,,1,0,1,1,1,0,0,0,3,+11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Cason Wallace,4:15,1,3,.333,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,3,-11
Aaron Wiggins, 
Gordon Hayward,4:17,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,-11
Isaiah Joe,4:17,0,1,.000,0,0,,0,0,,0,1,1,0,0,1,0,0,0,-11
Mike Muscala, 
Kenrich Williams, 
Bismack Biyombo,4:15,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-11
Lindy Waters III, 
Olivier Sarr, 
