,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,43:01,13,26,.500,5,13,.385,3,3,1.000,0,5,5,14,0,0,4,4,34,+1
Duop Reath,38:55,10,14,.714,5,6,.833,1,2,.500,2,1,3,1,1,1,3,4,26,-9
Kris Murray,35:03,6,11,.545,1,5,.200,1,1,1.000,4,1,5,2,1,1,0,1,14,+6
Dalano Banton,33:17,7,20,.350,1,6,.167,3,5,.600,3,4,7,4,0,0,1,1,18,-10
Jabari Walker,28:23,2,9,.222,0,3,.000,0,0,,1,7,8,1,0,0,0,5,4,+3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rayan Rupert,23:22,5,7,.714,3,3,1.000,0,0,,1,5,6,0,0,0,1,3,13,-7
Ashton Hagans,19:42,0,1,.000,0,0,,0,0,,0,3,3,4,3,0,3,4,0,-1
Justin Minaya,9:36,1,3,.333,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-12
Moses Brown,8:41,1,1,1.000,0,0,,0,0,,1,2,3,2,0,1,1,3,2,+4
Ibou Badji,Did Not Play
Toumani Camara,Did Not Dress
Shaedon Sharpe,Did Not Dress
Team Totals,240,45,92,.489,16,39,.410,8,11,.727,12,29,41,28,5,3,13,26,114,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anfernee Simons,12:00,3,6,.500,1,4,.250,0,0,,0,3,3,4,0,0,0,0,7,-2
Duop Reath,9:02,2,2,1.000,1,1,1.000,1,2,.500,0,0,0,0,0,1,2,2,6,+2
Kris Murray,9:02,0,1,.000,0,1,.000,0,0,,1,1,2,1,1,0,0,0,0,+2
Dalano Banton,6:58,3,4,.750,0,0,,1,2,.500,0,1,1,0,0,0,0,0,7,-1
Jabari Walker,9:15,1,2,.500,0,1,.000,0,0,,0,3,3,0,0,0,0,1,2,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Rayan Rupert,2:58,1,3,.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-4
Ashton Hagans,5:02,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,0,0,-1
