,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,35:22,7,18,.389,2,6,.333,7,11,.636,0,5,5,8,0,0,1,3,23,-13
Deni Avdija,35:03,6,18,.333,0,4,.000,4,4,1.000,5,6,11,2,1,0,5,2,16,-2
Bilal Coulibaly,33:13,2,7,.286,1,2,.500,2,2,1.000,1,3,4,1,0,1,0,3,7,-19
Tyus Jones,30:00,8,11,.727,5,8,.625,0,0,,1,4,5,6,1,0,0,1,21,-6
Marvin Bagley III,23:04,2,7,.286,0,0,,2,2,1.000,2,7,9,4,1,0,2,0,6,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,28:52,11,18,.611,6,10,.600,4,4,1.000,0,1,1,2,2,1,3,2,32,-17
Landry Shamet,17:48,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,1,1,2,-18
Corey Kispert,16:07,2,9,.222,1,6,.167,0,0,,0,4,4,1,0,0,3,1,5,+6
Richaun Holmes,9:19,0,3,.000,0,0,,0,0,,1,1,2,0,1,1,0,1,0,+5
Johnny Davis,7:35,1,1,1.000,1,1,1.000,0,0,,0,1,1,1,0,0,0,0,3,+10
Eugene Omoruyi,3:37,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1
Jared Butler,Did Not Play
Anthony Gill,Did Not Play
Team Totals,240,40,94,.426,16,38,.421,19,23,.826,10,33,43,26,6,3,15,15,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,8:04,2,4,.500,1,2,.500,1,2,.500,0,1,1,5,0,0,0,1,6,+1
Deni Avdija,9:42,2,4,.500,0,0,,2,2,1.000,0,1,1,0,0,0,3,1,6,+11
Bilal Coulibaly,7:31,1,3,.333,0,1,.000,2,2,1.000,1,1,2,1,0,0,0,0,4,0
Tyus Jones,8:04,3,4,.750,2,3,.667,0,0,,0,1,1,1,1,0,0,0,8,+1
Marvin Bagley III,6:28,1,1,1.000,0,0,,0,0,,0,0,0,1,0,0,0,0,2,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,6:14,3,3,1.000,3,3,1.000,1,1,1.000,0,1,1,1,1,0,0,0,10,0
Landry Shamet, 
Corey Kispert,4:29,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,0,1,0,2,+6
Richaun Holmes,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Johnny Davis,3:56,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+5
Eugene Omoruyi,3:06,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,+1
Jared Butler,Did Not Play
Anthony Gill,Did Not Play
Team Totals,60,14,24,.583,7,13,.538,6,7,.857,1,6,7,10,2,0,4,4,41,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Kuzma,7:47,2,5,.400,0,1,.000,4,5,.800,0,1,1,1,0,0,0,0,8,-6
Deni Avdija,5:47,2,5,.400,0,1,.000,0,0,,3,1,4,1,0,0,1,0,4,+4
Bilal Coulibaly,8:21,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-10
Tyus Jones,5:47,2,2,1.000,1,1,1.000,0,0,,0,2,2,2,0,0,0,0,5,+4
Marvin Bagley III,8:09,1,2,.500,0,0,,0,0,,0,4,4,2,0,0,1,0,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jordan Poole,6:13,5,6,.833,2,3,.667,1,1,1.000,0,0,0,0,0,0,2,0,13,-9
Landry Shamet,6:13,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-9
Corey Kispert,4:13,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,+1
Richaun Holmes,3:20,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+2
Johnny Davis,3:39,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+5
Eugene Omoruyi,0:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Jared Butler,Did Not Play
Anthony Gill,Did Not Play
Team Totals,60,13,24,.542,3,7,.429,5,6,.833,3,10,13,8,1,0,4,3,34,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
