,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,33:13,9,19,.474,2,5,.400,2,2,1.000,0,5,5,3,0,0,5,1,22,+1
Franz Wagner,30:05,4,11,.364,0,5,.000,0,1,.000,1,2,3,2,1,0,4,1,8,-3
Wendell Carter Jr.,28:59,5,7,.714,2,4,.500,0,0,,4,5,9,1,1,0,1,1,12,0
Gary Harris,21:41,3,4,.750,2,2,1.000,1,2,.500,0,0,0,0,3,0,1,3,9,+6
Jalen Suggs,20:26,2,4,.500,0,2,.000,0,1,.000,0,4,4,3,1,0,1,4,4,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,27:34,3,5,.600,3,4,.750,1,4,.250,1,4,5,1,0,0,1,1,10,+7
Cole Anthony,22:48,5,11,.455,2,8,.250,2,2,1.000,0,3,3,3,2,0,2,3,14,+15
Moritz Wagner,18:15,5,8,.625,1,3,.333,0,0,,0,4,4,2,0,0,2,1,11,+12
Jonathan Isaac,17:32,4,4,1.000,1,1,1.000,2,3,.667,1,5,6,0,1,1,0,0,11,+2
Joe Ingles,17:09,0,1,.000,0,1,.000,0,0,,1,1,2,8,0,0,0,1,0,+15
Caleb Houstan,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Chuma Okeke,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Admiral Schofield,0:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Goga Bitadze,Did Not Play
Team Totals,240,40,74,.541,13,35,.371,8,15,.533,8,33,41,23,9,1,17,16,101,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paolo Banchero,10:07,2,4,.500,0,0,,0,0,,0,0,0,1,0,0,3,0,4,+2
Franz Wagner,7:40,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,2,0,0,-7
Wendell Carter Jr.,9:26,3,3,1.000,1,1,1.000,0,0,,2,2,4,0,0,0,0,0,7,-2
Gary Harris,9:26,2,3,.667,1,1,1.000,0,0,,0,0,0,0,3,0,1,2,5,-2
Jalen Suggs,9:26,1,2,.500,0,1,.000,0,0,,0,1,1,2,1,0,1,2,2,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Black,2:34,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+7
Cole Anthony,2:34,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,1,2,+7
