,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,33:20,7,16,.438,5,10,.500,1,1,1.000,0,1,1,6,1,1,2,0,20,-18
Giannis Antetokounmpo,32:34,8,15,.533,1,3,.333,6,9,.667,2,5,7,6,0,1,2,1,23,-6
Malik Beasley,32:21,2,10,.200,0,6,.000,0,0,,1,2,3,1,1,1,1,1,4,-19
Brook Lopez,27:31,4,11,.364,1,4,.250,0,0,,2,2,4,0,1,0,0,1,9,-12
Jae Crowder,17:24,2,6,.333,0,1,.000,0,0,,1,5,6,1,1,0,0,0,4,-3
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,23:47,8,13,.615,2,4,.500,2,2,1.000,0,6,6,1,0,0,5,5,20,-24
Pat Connaughton,22:24,2,4,.500,2,3,.667,0,0,,0,2,2,3,0,0,0,0,6,-21
Patrick Beverley,17:12,0,2,.000,0,0,,2,3,.667,0,4,4,0,1,2,2,2,2,-13
A.J. Green,12:55,1,6,.167,0,5,.000,0,0,,0,1,1,1,0,0,1,0,2,-21
Danilo Gallinari,9:05,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,1,0,0,-15
MarJon Beauchamp,4:15,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Andre Jackson Jr.,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-9
Thanasis Antetokounmpo,2:57,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,-5
Team Totals,240,34,89,.382,11,39,.282,11,15,.733,6,30,36,19,8,5,15,10,90,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,12:00,3,6,.500,1,1,1.000,1,1,1.000,0,0,0,4,0,0,0,0,8,-8
Giannis Antetokounmpo,7:48,3,5,.600,1,3,.333,2,4,.500,1,0,1,0,0,1,0,0,9,-7
Malik Beasley,7:12,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,0,1,0,2,-7
Brook Lopez,11:24,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Jae Crowder,7:12,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,0,0,0,2,-7
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,4:48,4,4,1.000,1,1,1.000,2,2,1.000,0,2,2,0,0,0,0,0,11,-1
Pat Connaughton,4:48,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,-1
Patrick Beverley,4:48,0,1,.000,0,0,,0,0,,0,1,1,0,1,1,2,0,0,-1
A.J. Green, 
Danilo Gallinari, 
MarJon Beauchamp, 
Andre Jackson Jr., 
Thanasis Antetokounmpo, 
Team Totals,60,12,24,.500,3,8,.375,5,7,.714,3,7,10,6,2,2,3,0,32,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,6:25,1,2,.500,1,2,.500,0,0,,0,0,0,0,0,1,1,0,3,-10
Giannis Antetokounmpo,8:34,1,1,1.000,0,0,,1,2,.500,0,0,0,2,0,0,0,0,3,-3
Malik Beasley,8:31,0,5,.000,0,4,.000,0,0,,0,0,0,1,0,0,0,1,0,-10
Brook Lopez,4:07,2,3,.667,1,1,1.000,0,0,,1,0,1,0,0,0,0,1,5,-10
Jae Crowder,2:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-8
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,11:14,3,5,.600,1,2,.500,0,0,,0,1,1,1,0,0,2,2,7,-11
Pat Connaughton,9:16,2,2,1.000,2,2,1.000,0,0,,0,1,1,2,0,0,0,0,6,-4
Patrick Beverley,5:40,0,0,,0,0,,2,3,.667,0,2,2,0,0,1,0,0,2,-2
A.J. Green, 
Danilo Gallinari,3:29,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-2
MarJon Beauchamp, 
Andre Jackson Jr., 
Thanasis Antetokounmpo, 
Team Totals,60,9,18,.500,5,11,.455,3,5,.600,1,4,5,6,1,2,4,4,26,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,18:25,4,8,.500,2,3,.667,1,1,1.000,0,0,0,4,0,1,1,0,11,-18
Giannis Antetokounmpo,16:22,4,6,.667,1,3,.333,3,6,.500,1,0,1,2,0,1,0,0,12,-10
Malik Beasley,15:43,1,7,.143,0,5,.000,0,0,,1,0,1,1,1,0,1,1,2,-17
Brook Lopez,15:31,2,4,.500,1,2,.500,0,0,,1,1,2,0,0,0,0,1,5,-18
Jae Crowder,9:56,1,5,.200,0,1,.000,0,0,,1,3,4,1,0,0,0,0,2,-15
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,16:02,7,9,.778,2,3,.667,2,2,1.000,0,3,3,1,0,0,2,2,18,-12
Pat Connaughton,14:04,2,2,1.000,2,2,1.000,0,0,,0,1,1,3,0,0,0,0,6,-5
Patrick Beverley,10:28,0,1,.000,0,0,,2,3,.667,0,3,3,0,1,2,2,0,2,-3
A.J. Green, 
Danilo Gallinari,3:29,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-2
MarJon Beauchamp, 
Andre Jackson Jr., 
Thanasis Antetokounmpo, 
Team Totals,120,21,42,.500,8,19,.421,8,12,.667,4,11,15,12,3,4,7,4,58,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,8:31,2,4,.500,2,4,.500,0,0,,0,1,1,1,1,0,0,0,6,+10
Giannis Antetokounmpo,12:00,3,7,.429,0,0,,3,3,1.000,1,4,5,4,0,0,1,1,9,+8
Malik Beasley,11:05,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,1,0,0,0,+6
Brook Lopez,6:27,2,5,.400,0,1,.000,0,0,,1,0,1,0,0,0,0,0,4,+14
Jae Crowder,7:28,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,5:33,1,2,.500,0,0,,0,0,,0,2,2,0,0,0,3,2,2,-6
Pat Connaughton,3:29,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-2
Patrick Beverley,4:32,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-4
A.J. Green,0:55,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Danilo Gallinari, 
MarJon Beauchamp, 
Andre Jackson Jr., 
Thanasis Antetokounmpo, 
Team Totals,60,9,23,.391,2,7,.286,3,3,1.000,2,13,15,6,2,1,4,4,23,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,6:24,1,4,.250,1,3,.333,0,0,,0,0,0,1,0,0,1,0,3,-10
Giannis Antetokounmpo,4:12,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,0,2,-4
Malik Beasley,5:33,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-8
Brook Lopez,5:33,0,2,.000,0,1,.000,0,0,,0,1,1,0,1,0,0,0,0,-8
Jae Crowder, 
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,2:12,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-6
Pat Connaughton,4:51,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-14
Patrick Beverley,2:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
A.J. Green,12:00,1,6,.167,0,5,.000,0,0,,0,1,1,0,0,0,1,0,2,-23
Danilo Gallinari,5:36,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-13
MarJon Beauchamp,4:15,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Andre Jackson Jr.,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-9
Thanasis Antetokounmpo,2:57,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,-5
Team Totals,60,4,24,.167,1,13,.077,0,0,,0,6,6,1,3,0,4,2,9,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Damian Lillard,14:55,3,8,.375,3,7,.429,0,0,,0,1,1,2,1,0,1,0,9,0
Giannis Antetokounmpo,16:12,4,9,.444,0,0,,3,3,1.000,1,5,6,4,0,0,2,1,11,+4
Malik Beasley,16:38,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,1,0,0,2,-2
Brook Lopez,12:00,2,7,.286,0,2,.000,0,0,,1,1,2,0,1,0,0,0,4,+6
Jae Crowder,7:28,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,0,0,2,+12
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Bobby Portis,7:45,1,4,.250,0,1,.000,0,0,,0,3,3,0,0,0,3,3,2,-12
Pat Connaughton,8:20,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-16
Patrick Beverley,6:44,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-10
A.J. Green,12:55,1,6,.167,0,5,.000,0,0,,0,1,1,1,0,0,1,0,2,-21
Danilo Gallinari,5:36,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-13
MarJon Beauchamp,4:15,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9
Andre Jackson Jr.,4:15,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-9
Thanasis Antetokounmpo,2:57,0,0,,0,0,,0,0,,0,0,0,0,2,0,0,0,0,-5
Team Totals,120,13,47,.277,3,20,.150,3,3,1.000,2,19,21,7,5,1,8,6,32,
,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Damian Lillard,33:20,.608,.594,.625,.063,0.0,3.8,1.7,36.1,1.4,2.8,10.8,24.0,113,127,6.9
Giannis Antetokounmpo,32:34,.607,.567,.200,.600,6.1,19.4,12.0,39.8,0.0,2.8,9.5,27.9,121,127,8.8
Malik Beasley,32:21,.200,.200,.600,.000,3.1,7.8,5.2,4.8,1.5,2.9,9.1,14.8,47,126,-11.8
Brook Lopez,27:31,.409,.409,.364,.000,7.3,9.2,8.1,0.0,1.7,0.0,0.0,17.3,88,127,-6.5
Jae Crowder,17:24,.333,.333,.167,.000,5.7,36.3,19.2,9.7,2.7,0.0,0.0,15.0,81,120,-3.3
Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bobby Portis,23:47,.720,.692,.308,.154,0.0,31.9,14.1,11.3,0.0,0.0,26.5,34.5,94,126,-2.4
Pat Connaughton,22:24,.750,.750,.750,.000,0.0,11.3,5.0,21.6,0.0,0.0,0.0,7.7,156,131,1.9
Patrick Beverley,17:12,.301,.000,.000,1.500,0.0,29.4,13.0,0.0,2.8,10.7,37.6,13.4,39,112,-8.4
A.J. Green,12:55,.167,.167,.833,.000,0.0,9.8,4.3,12.3,0.0,0.0,14.3,23.5,36,131,-19.3
Danilo Gallinari,9:05,.000,.000,1.000,.000,0.0,13.9,6.1,0.0,5.2,0.0,33.3,14.3,0,118,-15.0
MarJon Beauchamp,4:15,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.6,0,133,-33.2
Andre Jackson Jr.,4:15,.000,.000,.000,.000,0.0,29.7,13.1,0.0,0.0,0.0,50.0,20.4,0,128,-27.0
Thanasis Antetokounmpo,2:57,,,,,0.0,0.0,0.0,0.0,32.3,0.0,,0.0,0,55,29.1
Team Totals,240,.471,.444,.438,.169,12.5,78.9,41.9,55.9,7.9,9.6,13.6,100.0,89.4,124.1,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,30:46,10,18,.556,6,10,.600,3,4,.750,2,6,8,5,0,0,2,1,29,+15
Brandin Podziemski,26:16,3,7,.429,2,5,.400,0,0,,1,6,7,3,0,1,1,1,8,+11
Draymond Green,25:05,5,11,.455,2,4,.500,0,1,.000,0,6,6,6,0,2,3,4,12,+8
Jonathan Kuminga,25:00,9,14,.643,2,4,.500,0,0,,1,3,4,2,2,3,2,2,20,+12
Andrew Wiggins,13:42,1,5,.200,1,2,.500,0,0,,1,1,2,2,1,0,1,0,3,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,21:08,4,7,.571,2,5,.400,0,0,,0,2,2,4,0,0,0,1,10,+17
Moses Moody,20:45,3,7,.429,0,0,,0,0,,1,3,4,1,1,1,0,0,6,+22
Chris Paul,19:52,2,5,.400,2,5,.400,0,0,,0,2,2,9,3,0,2,1,6,+14
Trayce Jackson-Davis,18:34,7,8,.875,0,0,,1,2,.500,2,4,6,0,1,4,1,1,15,+20
Gary Payton II,15:55,4,4,1.000,1,1,1.000,0,0,,0,3,3,0,1,1,0,2,9,+19
Kevon Looney,5:57,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,+6
Lester Quinones,4:15,1,2,.500,1,2,.500,0,0,,0,4,4,0,1,0,0,0,3,+9
Jerome Robinson,4:15,0,0,,0,0,,0,0,,0,0,0,2,0,1,1,0,0,+9
Gui Santos,4:15,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+9
Dario Šarić,4:15,0,0,,0,0,,0,0,,0,1,1,2,0,0,1,0,0,+9
Team Totals,240,51,91,.560,19,39,.487,4,7,.571,8,42,50,37,10,13,14,13,125,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,11:24,4,7,.571,2,4,.500,0,0,,0,2,2,1,0,0,1,1,10,+8
Brandin Podziemski,7:12,2,3,.667,1,2,.500,0,0,,0,2,2,3,0,1,1,0,5,+7
Draymond Green,5:27,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,2,2,+2
Jonathan Kuminga,6:03,3,5,.600,0,1,.000,0,0,,0,1,1,1,0,0,0,0,6,+2
Andrew Wiggins,5:27,1,3,.333,1,1,1.000,0,0,,1,0,1,0,1,0,0,0,3,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,6:33,1,1,1.000,1,1,1.000,0,0,,0,1,1,2,0,0,0,0,3,+6
Moses Moody,0:36,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Chris Paul,4:48,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,1,0,0,0,3,+1
Trayce Jackson-Davis,0:36,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
Gary Payton II,5:57,2,2,1.000,0,0,,0,0,,0,1,1,0,0,1,0,0,4,+6
Kevon Looney,5:57,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,+6
Lester Quinones, 
Jerome Robinson, 
Gui Santos, 
Dario Šarić, 
Team Totals,60,17,26,.654,6,10,.600,0,0,,1,9,10,12,2,2,2,3,40,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,6:25,2,3,.667,1,1,1.000,2,2,1.000,2,2,4,2,0,0,1,0,7,+10
Brandin Podziemski,5:18,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Draymond Green,6:47,1,2,.500,0,1,.000,0,0,,0,1,1,2,0,1,0,0,2,+10
Jonathan Kuminga,7:57,4,5,.800,2,2,1.000,0,0,,0,1,1,1,1,0,0,1,10,+10
Andrew Wiggins,4:03,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,1,0,0,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,6:47,3,5,.600,1,3,.333,0,0,,0,1,1,1,0,0,0,0,7,+10
Moses Moody,7:48,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+2
Chris Paul,5:35,1,1,1.000,1,1,1.000,0,0,,0,0,0,3,1,0,1,1,3,+2
Trayce Jackson-Davis,5:13,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+2
Gary Payton II,4:07,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,+10
Kevon Looney, 
Lester Quinones, 
Jerome Robinson, 
Gui Santos, 
Dario Šarić, 
Team Totals,60,15,25,.600,6,9,.667,2,2,1.000,4,8,12,10,2,1,3,4,38,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,17:49,6,10,.600,3,5,.600,2,2,1.000,2,4,6,3,0,0,2,1,17,+18
Brandin Podziemski,12:30,2,4,.500,1,2,.500,0,0,,0,3,3,3,0,1,1,1,5,+9
Draymond Green,12:14,2,3,.667,0,1,.000,0,0,,0,2,2,3,0,1,0,2,4,+12
Jonathan Kuminga,14:00,7,10,.700,2,3,.667,0,0,,0,2,2,2,1,0,0,1,16,+12
Andrew Wiggins,9:30,1,4,.250,1,1,1.000,0,0,,1,0,1,1,1,0,1,0,3,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Klay Thompson,13:20,4,6,.667,2,4,.500,0,0,,0,2,2,3,0,0,0,0,10,+16
Moses Moody,8:24,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+2
Chris Paul,10:23,2,2,1.000,2,2,1.000,0,0,,0,0,0,6,2,0,1,1,6,+3
Trayce Jackson-Davis,5:49,2,3,.667,0,0,,0,0,,1,1,2,0,0,0,0,1,4,+2
Gary Payton II,10:04,4,4,1.000,1,1,1.000,0,0,,0,2,2,0,0,1,0,0,9,+16
Kevon Looney,5:57,2,2,1.000,0,0,,0,0,,0,1,1,1,0,0,0,0,4,+6
Lester Quinones, 
Jerome Robinson, 
Gui Santos, 
Dario Šarić, 
Team Totals,120,32,51,.627,12,19,.632,2,2,1.000,5,17,22,22,4,3,5,7,78,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Stephen Curry,8:42,2,6,.333,1,3,.333,1,2,.500,0,1,1,1,0,0,0,0,6,-10
Brandin Podziemski,6:01,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-12
Draymond Green,6:27,0,4,.000,0,1,.000,0,0,,0,3,3,1,0,0,2,1,0,-14
Jonathan Kuminga,7:30,1,2,.500,0,1,.000,0,0,,1,0,1,0,1,2,2,1,2,-7
Andrew Wiggins,4:12,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
