,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,39:12,6,13,.462,1,5,.200,8,8,1.000,0,5,5,7,1,1,2,2,21,+8
Kawhi Leonard,39:01,11,18,.611,1,4,.250,5,5,1.000,1,5,6,7,2,0,0,1,28,+9
Paul George,38:40,7,15,.467,4,9,.444,3,3,1.000,1,6,7,2,1,1,2,0,21,+9
Terance Mann,27:03,5,5,1.000,3,3,1.000,2,2,1.000,0,2,2,0,0,0,0,2,15,+7
Ivica Zubac,14:46,1,4,.250,0,0,,1,2,.500,2,3,5,1,0,2,1,1,3,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,28:37,4,9,.444,3,5,.600,1,2,.500,0,2,2,0,1,0,0,0,12,+5
Mason Plumlee,19:56,4,5,.800,0,0,,0,2,.000,4,7,11,0,0,3,1,5,8,+14
Amir Coffey,13:10,0,1,.000,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,0,2,-5
Bones Hyland,10:26,3,6,.500,0,2,.000,0,0,,0,1,1,1,0,0,1,2,6,-3
Daniel Theis,9:09,3,4,.750,0,0,,0,0,,0,1,1,0,0,1,1,4,6,-1
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,240,44,80,.550,12,29,.414,22,26,.846,8,33,41,19,5,8,9,17,122,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,8:54,3,5,.600,1,1,1.000,1,1,1.000,0,2,2,1,0,0,1,1,8,-6
Kawhi Leonard,12:00,1,3,.333,0,1,.000,0,0,,0,2,2,1,0,0,0,0,2,-8
Paul George,7:36,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Terance Mann,9:28,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Ivica Zubac,5:25,0,3,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,4:24,1,3,.333,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,3,-5
Mason Plumlee, 
Amir Coffey,3:06,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Bones Hyland,3:06,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-2
Daniel Theis,6:01,1,1,1.000,0,0,,0,0,,0,0,0,0,0,1,1,2,2,-6
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,8,20,.400,2,5,.400,1,1,1.000,0,9,9,2,0,1,2,3,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,9:14,1,3,.333,0,2,.000,0,0,,0,2,2,0,1,1,1,0,2,-2
Kawhi Leonard,7:51,4,6,.667,0,1,.000,2,2,1.000,0,1,1,1,1,0,0,0,10,-1
Paul George,12:00,1,4,.250,0,2,.000,0,0,,0,3,3,0,1,1,2,0,2,-5
Terance Mann,5:44,1,1,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,3,+4
Ivica Zubac,9:21,1,1,1.000,0,0,,1,2,.500,2,1,3,1,0,2,1,1,3,-9
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,8:55,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,0,0,3,-5
Mason Plumlee, 
Amir Coffey,4:09,0,1,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,1,0,2,-4
Bones Hyland,2:46,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-3
Daniel Theis, 
Brandon Boston Jr.,Did Not Play
Xavier Moon,Did Not Play
P.J. Tucker,Did Not Play
Team Totals,60,9,20,.450,2,11,.182,5,6,.833,2,9,11,3,3,4,6,2,25,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden,18:08,4,8,.500,1,3,.333,1,1,1.000,0,4,4,1,1,1,2,1,10,-8
Kawhi Leonard,19:51,5,9,.556,0,2,.000,2,2,1.000,0,3,3,2,1,0,0,0,12,-9
Paul George,19:36,1,6,.167,0,3,.000,0,0,,0,4,4,0,1,1,2,0,2,-8
Terance Mann,15:12,2,2,1.000,1,1,1.000,0,0,,0,1,1,0,0,0,0,1,5,0
Ivica Zubac,14:46,1,4,.250,0,0,,1,2,.500,2,3,5,1,0,2,1,1,3,-13
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Norman Powell,13:19,2,6,.333,2,4,.500,0,0,,0,1,1,0,0,0,0,0,6,-10
