,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Aaron Fox,39:27,19,32,.594,2,6,.333,4,5,.800,0,4,4,4,2,0,3,3,44,+5
Domantas Sabonis,38:12,7,13,.538,0,1,.000,2,3,.667,4,16,20,12,2,0,3,2,16,+11
Keegan Murray,31:02,3,8,.375,1,6,.167,0,0,,1,2,3,3,0,1,0,3,7,-4
Harrison Barnes,15:27,5,7,.714,1,3,.333,0,0,,0,0,0,0,0,1,2,2,11,-10
Kevin Huerter,11:42,1,3,.333,0,2,.000,0,0,,1,0,1,3,1,0,0,3,2,-5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,31:52,10,19,.526,3,5,.600,3,3,1.000,1,4,5,8,2,0,3,2,26,+19
Trey Lyles,30:21,3,5,.600,0,2,.000,1,1,1.000,1,5,6,1,0,0,0,1,7,+14
Davion Mitchell,18:16,4,4,1.000,4,4,1.000,0,0,,0,1,1,1,0,0,0,2,12,+4
Keon Ellis,13:53,2,4,.500,1,2,.500,0,0,,1,2,3,0,1,0,1,1,5,+17
Alex Len,9:48,0,2,.000,0,0,,0,0,,0,3,3,0,0,0,1,4,0,-1
Chris Duarte,Did Not Play
Kessler Edwards,Did Not Play
Mason Jones,Did Not Play
JaVale McGee,Did Not Play
Team Totals,240,54,97,.557,12,31,.387,10,12,.833,9,37,46,32,8,2,13,23,130,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
De'Aaron Fox,9:23,3,5,.600,1,2,.500,2,2,1.000,0,0,0,0,0,0,1,1,9,-6
Domantas Sabonis,9:19,2,5,.400,0,1,.000,0,0,,0,2,2,1,0,0,1,1,4,-14
Keegan Murray,9:07,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,1,0,-12
Harrison Barnes,7:41,2,3,.667,0,1,.000,0,0,,0,0,0,0,0,0,2,1,4,-17
Kevin Huerter,5:14,0,2,.000,0,2,.000,0,0,,1,0,1,2,1,0,0,1,0,-11
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Malik Monk,6:46,1,3,.333,0,1,.000,3,3,1.000,0,3,3,2,0,0,0,0,5,+2
Trey Lyles,4:19,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,0,0,3,+8
Davion Mitchell,3:50,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,1,3,-10
Keon Ellis,1:40,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+10
Alex Len,2:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+5
Chris Duarte,Did Not Play
Kessler Edwards,Did Not Play
Mason Jones,Did Not Play
JaVale McGee,Did Not Play
