,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,37:06,10,25,.400,2,7,.286,8,10,.800,3,8,11,1,0,6,3,4,30,+10
Vince Williams Jr.,36:42,6,9,.667,2,3,.667,3,3,1.000,1,6,7,9,2,1,3,2,17,0
Santi Aldama,35:21,6,13,.462,3,8,.375,2,2,1.000,1,3,4,7,1,3,1,0,17,+4
Luke Kennard,27:47,5,10,.500,3,6,.500,2,2,1.000,0,2,2,2,0,0,1,1,15,0
John Konchar,27:43,1,3,.333,1,3,.333,0,0,,1,3,4,1,0,2,2,4,3,+5
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,31:57,7,15,.467,2,4,.500,3,4,.750,5,8,13,0,0,3,3,3,19,+8
GG Jackson II,21:40,3,10,.300,0,5,.000,0,0,,2,4,6,1,0,0,0,0,6,+5
Lamar Stevens,15:32,3,4,.750,0,0,,2,2,1.000,1,5,6,0,0,0,2,0,8,+1
Matthew Hurt,6:12,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-3
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,240,41,91,.451,13,37,.351,20,23,.870,15,39,54,21,3,15,15,14,115,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,11:10,4,8,.500,0,2,.000,0,0,,0,2,2,0,0,0,0,1,8,+3
Vince Williams Jr.,9:56,3,3,1.000,1,1,1.000,1,1,1.000,0,2,2,2,1,0,0,1,8,+6
Santi Aldama,8:11,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,+3
Luke Kennard,8:11,1,3,.333,1,3,.333,0,0,,0,1,1,2,0,0,1,0,3,+3
John Konchar,7:58,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,0,3,+2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,3:49,4,5,.800,2,3,.667,0,0,,1,0,1,0,0,0,1,0,10,+3
GG Jackson II,6:06,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+4
Lamar Stevens,3:49,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+3
Matthew Hurt,0:50,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+3
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,15,25,.600,6,14,.429,1,1,1.000,1,9,10,7,1,0,2,2,37,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,6:38,2,5,.400,0,2,.000,0,0,,1,1,2,0,0,2,2,1,4,-8
Vince Williams Jr.,10:04,1,2,.500,0,1,.000,0,0,,0,1,1,3,0,0,2,0,2,-10
Santi Aldama,8:06,1,2,.500,1,2,.500,1,1,1.000,0,0,0,0,0,0,0,0,4,-12
Luke Kennard,6:38,2,4,.500,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5,-8
John Konchar,5:22,0,1,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-6
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,9:24,0,3,.000,0,1,.000,0,0,,0,3,3,0,0,2,0,1,0,-10
GG Jackson II,4:32,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,-8
Lamar Stevens,3:54,2,2,1.000,0,0,,0,0,,1,0,1,0,0,0,1,0,4,-2
Matthew Hurt,5:22,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,-6
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
Team Totals,60,8,22,.364,2,10,.200,1,1,1.000,4,6,10,3,0,4,6,3,19,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jaren Jackson Jr.,17:48,6,13,.462,0,4,.000,0,0,,1,3,4,0,0,2,2,2,12,-5
Vince Williams Jr.,20:00,4,5,.800,1,2,.500,1,1,1.000,0,3,3,5,1,0,2,1,10,-4
Santi Aldama,16:17,2,4,.500,2,4,.500,1,1,1.000,0,1,1,2,0,0,0,0,7,-9
Luke Kennard,14:49,3,7,.429,2,4,.500,0,0,,0,1,1,2,0,0,1,0,8,-5
John Konchar,13:20,1,3,.333,1,3,.333,0,0,,1,1,2,1,0,0,1,1,3,-4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jake LaRavia,13:13,4,8,.500,2,4,.500,0,0,,1,3,4,0,0,2,1,1,10,-7
GG Jackson II,10:38,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,0,0,2,-4
Lamar Stevens,7:43,2,2,1.000,0,0,,0,0,,1,2,3,0,0,0,1,0,4,+1
Matthew Hurt,6:12,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0,-3
Yuta Watanabe,Did Not Dress
Ziaire Williams,Did Not Dress
