,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,35:57,13,23,.565,0,3,.000,11,12,.917,0,3,3,5,1,1,4,2,37,+3
Chet Holmgren,33:11,6,9,.667,1,4,.250,8,10,.800,2,12,14,5,0,1,1,1,21,+32
Jalen Williams,32:24,9,17,.529,4,5,.800,9,10,.900,0,4,4,3,3,1,2,3,31,+24
Josh Giddey,32:13,8,9,.889,1,2,.500,2,2,1.000,1,5,6,7,1,0,5,3,19,+17
Luguentz Dort,29:43,2,5,.400,2,3,.667,0,0,,0,1,1,1,1,0,1,4,6,-2
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,18:03,3,3,1.000,1,1,1.000,3,5,.600,0,2,2,0,2,0,2,0,10,-13
Cason Wallace,16:57,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,1,1,0,2,+4
Aaron Wiggins,16:45,1,2,.500,0,1,.000,0,0,,2,1,3,0,1,0,0,2,2,-2
Isaiah Joe,16:00,0,1,.000,0,1,.000,0,0,,0,1,1,2,1,1,0,2,0,-8
Kenrich Williams,8:47,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,2,1,0,-15
Bismack Biyombo,Did Not Play
Mike Muscala,Did Not Play
Olivier Sarr,Did Not Play
Lindy Waters III,Did Not Play
Team Totals,240,43,74,.581,9,22,.409,33,39,.846,7,32,39,23,10,5,18,18,128,
,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Shai Gilgeous-Alexander,12:00,3,5,.600,0,1,.000,4,4,1.000,0,0,0,2,0,0,1,0,10,+5
Chet Holmgren,7:14,2,2,1.000,1,1,1.000,0,0,,0,3,3,2,0,0,0,0,5,+15
Jalen Williams,6:48,1,3,.333,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,4,+13
Josh Giddey,7:10,2,2,1.000,0,0,,2,2,1.000,0,3,3,1,1,0,1,1,6,+10
Luguentz Dort,8:56,2,2,1.000,2,2,1.000,0,0,,0,0,0,1,0,0,0,1,6,+4
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Gordon Hayward,5:59,0,0,,0,0,,1,2,.500,0,1,1,0,1,0,1,0,1,-6
